CountryName,CapitalName,CapitalLatitude,CapitalLongitude,CountryCode,ContinentName
Kenya,Nairobi,-1.2833333333333332,36.816667,KE,Africa
Kiribati,Tarawa,-0.8833333333333333,169.533333,KI,Australia
North Korea,Pyongyang,39.016666666666666,125.750000,KP,Asia
South Korea,Seoul,37.55,126.983333,KR,Asia
Kosovo,Pristina,42.666666666666664,21.166667,KO,Europe
Kuwait,Kuwait City,29.366666666666667,47.966667,KW,Asia
Kyrgyzstan,Bishkek,42.86666666666667,74.600000,KG,Asia
Laos,Vientiane,17.966666666666665,102.600000,LA,Asia
Latvia,Riga,56.95,24.100000,LV,Europe
Lebanon,Beirut,33.86666666666667,35.500000,LB,Asia
Lesotho,Maseru,-29.316666666666666,27.483333,LS,Africa
Liberia,Monrovia,6.3,-10.800000,LR,Africa
Libya,Tripoli,32.88333333333333,13.166667,LY,Africa
Liechtenstein,Vaduz,47.13333333333333,9.516667,LI,Europe
Lithuania,Vilnius,54.68333333333333,25.316667,LT,Europe
Luxembourg,Luxembourg,49.6,6.116667,LU,Europe
Macedonia,Skopje,42,21.433333,MK,Europe
Madagascar,Antananarivo,-18.916666666666668,47.516667,MG,Africa
Malawi,Lilongwe,-13.966666666666667,33.783333,MW,Africa
Malaysia,Kuala Lumpur,3.1666666666666665,101.700000,MY,Asia
Maldives,Male,4.166666666666667,73.500000,MV,Asia
Mali,Bamako,12.65,-8.000000,ML,Africa
Malta,Valletta,35.88333333333333,14.500000,MT,Europe
Marshall Islands,Majuro,7.1,171.383333,MH,Australia
Mauritania,Nouakchott,18.066666666666666,-15.966667,MR,Africa
Mauritius,Port Louis,-20.15,57.483333,MU,Africa
Mexico,Mexico City,19.433333333333334,-99.133333,MX,Central America
Federated States of Micronesia,Palikir,6.916666666666667,158.150000,FM,Australia
Moldova,Chisinau,47,28.850000,MD,Europe
