CountryName,CapitalName,CapitalLatitude,CapitalLongitude,CountryCode,ContinentName
Puerto Rico,San Juan,18.466666666666665,-66.116667,PR,North America
Qatar,Doha,25.283333333333335,51.533333,QA,Asia
Romania,Bucharest,44.43333333333333,26.100000,RO,Europe
Russia,Moscow,55.75,37.600000,RU,Europe
Rwanda,Kigali,-1.95,30.050000,RW,Africa
Saint Barthelemy,Gustavia,17.883333333333333,-62.850000,BL,North America
Saint Helena,Jamestown,-15.933333333333334,-5.716667,SH,Africa
Saint Kitts and Nevis,Basseterre,17.3,-62.716667,KN,North America
Saint Lucia,Castries,14,-61.000000,LC,North America
Saint Pierre and Miquelon,Saint-Pierre,46.766666666666666,-56.183333,PM,Central America
Saint Vincent and the Grenadines,Kingstown,13.133333333333333,-61.216667,VC,Central America
Samoa,Apia,-13.816666666666666,-171.766667,WS,Australia
San Marino,San Marino,43.93333333333333,12.416667,SM,Europe
Sao Tome and Principe,Sao Tome,0.3333333333333333,6.733333,ST,Africa
Saudi Arabia,Riyadh,24.65,46.700000,SA,Asia
Senegal,Dakar,14.733333333333333,-17.633333,SN,Africa
Serbia,Belgrade,44.833333333333336,20.500000,RS,Europe
Seychelles,Victoria,-4.616666666666667,55.450000,SC,Africa
Sierra Leone,Freetown,8.483333333333333,-13.233333,SL,Africa
Singapore,Singapore,1.2833333333333332,103.850000,SG,Asia
Sint Maarten,Philipsburg,18.016666666666666,-63.033333,SX,North America
Slovakia,Bratislava,48.15,17.116667,SK,Europe
Slovenia,Ljubljana,46.05,14.516667,SI,Europe
Solomon Islands,Honiara,-9.433333333333334,159.950000,SB,Australia
Somalia,Mogadishu,2.066666666666667,45.333333,SO,Africa
South Africa,Pretoria,-25.7,28.216667,ZA,Africa
South Sudan,Juba,4.85,31.616667,SS,Africa
Spain,Madrid,40.4,-3.683333,ES,Europe
Sri Lanka,Colombo,6.916666666666667,79.833333,LK,Asia
