CountryName,CapitalName,CapitalLatitude,CapitalLongitude,CountryCode,ContinentName
Belize,Belmopan,17.25,-88.766667,BZ,Central America
Benin,Porto-Novo,6.483333333333333,2.616667,BJ,Africa
Bermuda,Hamilton,32.28333333333333,-64.783333,BM,North America
Bhutan,Thimphu,27.466666666666665,89.633333,BT,Asia
Bolivia,La Paz,-16.5,-68.150000,BO,South America
Bosnia and Herzegovina,Sarajevo,43.86666666666667,18.416667,BA,Europe
Botswana,Gaborone,-24.633333333333333,25.900000,BW,Africa
Brazil,Brasilia,-15.783333333333333,-47.916667,BR,South America
British Virgin Islands,Road Town,18.416666666666668,-64.616667,VG,North America
Brunei Darussalam,Bandar Seri Begawan,4.883333333333333,114.933333,BN,Asia
Bulgaria,Sofia,42.68333333333333,23.316667,BG,Europe
Burkina Faso,Ouagadougou,12.366666666666667,-1.516667,BF,Africa
Myanmar,Rangoon,16.8,96.150000,MM,Asia
Burundi,Bujumbura,-3.3666666666666667,29.350000,BI,Africa
Cambodia,Phnom Penh,11.55,104.916667,KH,Asia
Cameroon,Yaounde,3.8666666666666667,11.516667,CM,Africa
Canada,Ottawa,45.416666666666664,-75.700000,CA,Central America
Cape Verde,Praia,14.916666666666666,-23.516667,CV,Africa
Cayman Islands,George Town,19.3,-81.383333,KY,North America
Central African Republic,Bangui,4.366666666666666,18.583333,CF,Africa
Chad,N'Djamena,12.1,15.033333,TD,Africa
Chile,Santiago,-33.45,-70.666667,CL,South America
China,Beijing,39.916666666666664,116.383333,CN,Asia
Christmas Island,The Settlement,-10.416666666666666,105.716667,CX,Australia
Cocos Islands,West Island,-12.166666666666666,96.833333,CC,Australia
Colombia,Bogota,4.6,-74.083333,CO,South America
Comoros,Moroni,-11.7,43.233333,KM,Africa
Democratic Republic of the Congo,Kinshasa,-4.316666666666666,15.300000,CD,Africa
Republic of Congo,Brazzaville,-4.25,15.283333,CG,Africa
