Name,iso3c,cowc,cown,wb,State,Name,Type,Twitter_personal,Twitter_institution,Facebook_personal,Facebook_institution,Twitter_personal_id,Twitter_institution_id,Facebook_personal_id,Facebook_institution_id
Enda Kenny,IRL,IRE,205,IRL,Ireland,Enda Kenny,Taoiseach ,EndaKennyTD,merrionstreet,NA,merrionstreet,135514272,148000327,NA,116635611711738
Benjamin Netanyahu,ISR,ISR,666,ISR,Israel,Benjamin Netanyahu,Prime Minister ,netanyahu,israelipm,Netanyahu,IsraeliPM,17061263,141084952,268108602075,124149704266450
Enrico Letta,ITA,ITA,325,ITA,Italy,Enrico Letta,President of the Council of Ministers ,EnricoLetta,Palazzo_Chigi,enricoletta.it,NA,419622371,963938472,10065481044,NA
Portia Simpson-Miller,JAM,JAM,51,JAM,Jamaica,Portia Simpson-Miller,Prime Minister,PSimpsonMiller,OPMJamaica,Portia.Simpson.Milller,NA,440460647,48574376,71039727836,NA
Shinzō Abe,JPN,JPN,740,JPN,Japan,Shinzō Abe,Prime Minister ,AbeShinzo,JPN_PMO,100003403570846,Japan.PMO,468122115,266991549,100003403570846,119541591451378
Uhuru Kenyatta,KEN,KEN,501,KEN,Kenya,Uhuru Kenyatta,President,Ukenyatta,StateHouseKenya,myuhurukenyatta,StateHouseKenya,183165874,364830542,148874415141120,623565507658977
Valdis Dombrovskis,LVA,LAT,367,LVA,Latvia,Valdis Dombrovskis,Prime Minister ,Vdombrovskis,Brivibas36,100003587906775,NA,42183750,45522221,100003587906775,NA
Algirdas Butkevičius,LTU,LIT,368,LTU,Lithuania,Algirdas Butkevičius,Prime Minister ,Abutkevicius,Vyriausybe,algirdas.butkevicius,96251623407,271372111,41348717,152825321424882,96251623407
Xavier Bettel,LUX,LUX,212,LUX,Luxembourg,Xavier Bettel,Prime Minister ,Xavier_Bettel,gouv_lu,76714151717,792509457440940,173929268,2599948532,76714151717,792509457440940
Nikola Gruevski,MKD,MAC,343,MKD,Macedonia,Nikola Gruevski,President of the Government ,GruevskiNikola,VMRO_DPMNE,Ngruevski,vmromakedonija,299942973,56079348,10642907715,90137764259
Joyce Banda,MWI,MAW,553,MWI,Malawi,Joyce Banda,President,DrJoyceBanda,MalawiGovt,DrJoyceBanda,malawigovernment,2302798239,2189970192,325799237543309,195859813933854
Najib Razak,MYS,MAL,820,MYS,Malaysia,Najib Razak,Prime Minister ,NajibRazak,PMOMalaysia,najibrazak,NA,16389180,196484517,157851205951,NA
Abdulla Yameen,MDV,MAD,781,MDV,Maldives,Abdulla Yameen,President,PresYameen,presidencymv,PresidentYameen,presidencymv,1951275630,235827932,167500346783870,174022165989770
Joseph Muscat,MLT,MLT,338,MLT,Malta,Joseph Muscat,Prime Minister ,JosephMuscat_JM,DOImalta,josephmuscatdotcom,DOImalta,29466039,265920717,63887949740,175517589160635
Enrique Peña Nieto,MEX,MEX,70,MEX,Mexico,Enrique Peña Nieto,President,EPN,PresidenciaMX,EnriquePN,PresidenciaMX,2897441,34666670,37107394336,370845909672873
Iurie Leancă,MDA,MLD,359,MDA,Moldova,Iurie Leancă,Prime Minister ,IurieLeanca,GuvernulRMD,IurieLeancaUE,GuvernulRepubliciiMoldova,1479879036,2734569528,374999635943550,319803971471711
Norovyn Altankhuyag,MNG,MON,712,MNG,Mongolia,Norovyn Altankhuyag,Prime Minister of Mongolia ,altankhuyag_mn,zasagmn,altankhuyag.norov,www.zasag.mn,236272572,806124644,227192547292661,145117162296730
Mark Rutte,NLD,NTH,210,NLD,Netherlands,Mark Rutte,Prime Minister ,MinPres,Rijksoverheid,ministerpresident,NA,155507136,15595333,166039216791132,NA
Goodluck Jonathan,NGA,NIG,475,NGA,Nigeria,Goodluck Jonathan,President,presgoodluck,GovNigeria,jonathangoodluck,NA,262660092,2700548979,105479482835768,NA
Erna Solberg,NOR,NOR,385,NOR,Norway,Erna Solberg,Prime Minister ,erna_solberg,Statsmin_kontor,ernasolberg,NA,16432083,36028993,56800396831,NA
Rami Hamdallah,PSE,NA,NA,WBG,Palestine,Rami Hamdallah,Prime Minister ,RamiHamdalla,PalestinianGov,NA,pgmc.media,1494909290,85518943,NA,126356524104847
Horacio Cartes,PRY,PAR,150,PRY,Paraguay,Horacio Cartes,President,Horacio_Cartes,PresidenciaPy,horaciocartesoficial,DireccionGeneraldeInformacionPresidencial,361445173,99295157,214727188594831,138282352917817
César Villanueva,PER,PER,135,PER,Peru,César Villanueva,President of the Council of Ministers ,CesarVPeru,prensapalacio,NA,presidenciaperu,2551357284,122441438,NA,200505530012627
Donald Tusk,POL,POL,290,POL,Poland,Donald Tusk,President of the Council of Ministers ,donaldtusk,PremierRP,NA,kancelaria.premiera,375146901,57626153,NA,176114889652
Pedro Passos Coelho,PRT,POR,235,PRT,Portugal,Pedro Passos Coelho,Prime Minister ,Pministrocoelho,govpt,NA,NA,471291491,31237480,NA,NA
Victor Ponta,ROU,ROM,360,ROM,Romania,Victor Ponta,Prime Minister ,Victor_Ponta,guv_ro,victor.ponta,guv.ro,156221710,27864636,150967671609795,304735519648377
Dmitry Medvedev,RUS,RUS,365,RUS,Russia,Dmitry Medvedev,Chairman of the Government ,MedvedevRussia,Pravitelstvo_RF,Dmitry.Medvedev,government.ru,153812887,634725546,175517041850,185581274852486
Pierre Habumuremyi,RWA,RWA,517,RWA,Rwanda,Pierre Habumuremyi,Prime Minister ,HabumuremyiP,PrimatureRwanda,636543799714653,RwandaGov,399923953,440647714,636543799714653,359060614156407
Denzil Douglas,KNA,SKN,60,KNA,Saint Kitts and Nevis,Denzil Douglas,Prime Minister ,DenzilLDouglas,skngov,NA,473920689327764,1713189170,2389574116,NA,473920689327764
