CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,ACTION,VIOLATION CODE,INSPECTION TYPE,NTA
50069320,TOFU TOFU,Manhattan,96,BOWERY,10013.0,2127962597,Korean,F,08A,Cycle Inspection / Initial Inspection,MN24
41418789,THE ORIGINAL EMILIO'S PIZZA,Bronx,3843,EAST TREMONT AVENUE,10465.0,7184090929,Pizza,B,,Administrative Miscellaneous / Re-inspection,BX52
40363834,CARVEL,Staten Island,1111,HYLAN BOULEVARD,10305.0,7188167807,Frozen Desserts,D,08A,Cycle Inspection / Initial Inspection,SI14
41158746,BROTHERS PIZZA,Queens,30-50,14 STREET,11102.0,7187771111,Pizza,D,06D,Cycle Inspection / Initial Inspection,QN71
50002039,KABIR'S BAKERY,Brooklyn,1425,FOSTER AVENUE,11230.0,7188592348,Bakery Products/Desserts,O,04N,Cycle Inspection / Reopening Inspection,BK42
50055527,GREAT FLAVOR RESTAURANT,Brooklyn,1489,SAINT JOHNS PLACE,11213.0,3474425992,Caribbean,D,10F,Cycle Inspection / Initial Inspection,BK61
50075239,EAST PALACE,Manhattan,819,2 AVENUE,10017.0,2129497708,Chinese,D,10D,Pre-permit (Operational) / Re-inspection,MN19
50038278,TACO REY RESTAURANT #2,Bronx,2319,HUGHES AVENUE,10458.0,7189750404,Tex-Mex,U,02H,Cycle Inspection / Re-inspection,BX06
50011814,HARLEM FOOD CT,Manhattan,66,WEST  116 STREET,10026.0,2127227300,American,G,09B,Cycle Inspection / Initial Inspection,MN11
41503176,CALI AJI CON SABOR RESTAURANT,Queens,9815,ASTORIA BOULEVARD,11369.0,7184768935,Latin American,F,04N,Cycle Inspection / Initial Inspection,QN27
50081476,800Â° Woodfired Kitchen,Manhattan,1,EAST   33 STREET,10016.0,9173042353,Mediterranean,U,02C,Cycle Inspection / Initial Inspection,MN17
50042336,J & M KELLYS JAMAICAN & AMERICAN RESTAURANT,Queens,11823,GUY R BREWER BLVD,11434.0,7187495406,Caribbean,F,02G,Cycle Inspection / Initial Inspection,QN76
50060387,OLD GIA LAM,Brooklyn,4810,8 AVENUE,11220.0,7186332272,Southeast Asian,D,06C,Cycle Inspection / Initial Inspection,BK34
41412907,CITY ISLAND LOBSTER HOUSE,Bronx,691,BRIDGE STREET,10464.0,7188851459,Seafood,P,06B,Cycle Inspection / Initial Inspection,BX10
50066680,ADDICTIVE WINE BAR & TAPAS 1,Queens,8701,NORTHERN BLVD,11372.0,3478320951,Tapas,P,02G,Cycle Inspection / Initial Inspection,QN28
50076534,FALAFEL TANAMI,Brooklyn,1305,EAST   17 STREET,11230.0,7184839100,Jewish/Kosher,D,10F,Cycle Inspection / Re-inspection,BK43
41714097,GANDHI INDIAN RESTAURANT,Brooklyn,2032,BEDFORD AVENUE,11226.0,7182827012,Indian,D,10H,Cycle Inspection / Re-inspection,BK60
41644384,WASABI RESTAURANT,Brooklyn,7222,18 AVENUE,11204.0,7183313933,Japanese,D,04L,Cycle Inspection / Initial Inspection,BK28
50081090,HALSEY STREET GRILL,Brooklyn,444,ROCKAWAY AVENUE,11212.0,9172929859,Other,B,,Pre-permit (Operational) / Initial Inspection,BK81
41547909,OISHII SUSHI JAPAN`,Queens,37-04,DITMARS BOULEVARD,11105.0,7186260588,Japanese,F,10F,Cycle Inspection / Re-inspection,QN72
50007366,THE ROOST,Manhattan,222,AVENUE B,10009.0,6469186700,Coffee/Tea,D,10F,Cycle Inspection / Initial Inspection,MN22
50100057,VESELKA ESSEX,Manhattan,115,DELANCEY STREET,10002.0,9173012232,Russian,D,06C,Pre-permit (Operational) / Re-inspection,MN27
50098630,JUICE HEALTHY FOOD AND DRINKS,Manhattan,156,EAST   33 STREET,10016.0,2128821611,"Juice, Smoothies, Fruit Salads",O,06D,Pre-permit (Operational) / Reopening Inspection,MN20
