title,album,track,year
cookie jar,on and on,12.0,2003.0
god don't make lonely girls,bringing down the horse,9.0,1996.0
hey luno!,myths legends and other amazing adventures vol. 2,2.0,2000.0
she will be loved,songs about jane,4.0,2002.0
hard wired,let it rain,6.0,2002.0
o do not forsake me,john henry,10.0,1994.0
the way you do the things you do,black rain soundtrack,2.0,1989.0
fun fun fun,shut down vol. 2,1.0,1964.0
new age girl,different story,1.0,1994.0
beat it,thriller,5.0,1982.0
mexico,gorilla,1.0,1975.0
come as you are,nevermind,3.0,1991.0
baby one more time,freaky friday soundtrack,9.0,2003.0
we want a rock,flood,9.0,1990.0
snow (hey oh),stadium arcadium,2.0,2006.0
how do i live,songbook: a collection of hits,1.0,1997.0
smoke gets in your eyes,,,1958.0
anchor of my soul,especially for youth - joy in the journey (1998),2.0,1998.0
the memory of trees,paint the sky with stars:  the best of enya,15.0,1997.0
barracuda,little queen,1.0,1977.0
galileo,rites of passage,2.0,1992.0
the facts about jimmy,a few small repairs,3.0,1996.0
sassy girl,monkey business,1.0,
whoomp! (there it is),whoomp! (there it is),1.0,1993.0
lo que fui es lo que soy,mtv unplugged (alejandro sanz),12.0,2001.0
two dozen and one greyhounds,songs in the key of springfield,22.0,1997.0
you never know,gutterflower,4.0,2002.0
what i've done,minutes to midnight,6.0,2007.0
huele a tristeza,donde jugaran los ni&ntilde;os?,11.0,1992.0
sometimes you can't make it on your own,how to dismantle an atomic bomb,3.0,2004.0
collide,stop all the world now,3.0,2003.0
where you are,goodbye alice in wonderland,12.0,2006.0
which part is mine?,one heart in the right place,2.0,1990.0
set adrift on memory bliss,of the heart of the soul and of the cross,9.0,1991.0
end credits (renaissance version),songs in the key of springfield,38.0,1997.0
fortunate fool,brushfire fairytales,7.0,2002.0
mummers' dance,the book of secrets,2.0,1997.0
i'm trying to be like jesus,consider the lilies,9.0,2003.0
the ballad of jebadiah springfield,go simpsonic with the simpsons,27.0,1999.0
better days (and the bottom drops out),mobile estates,2.0,1999.0
broken,the punisher soundtrack,5.0,2004.0
female of the species,spiders,3.0,1996.0
graduate,third eye blind,5.0,1997.0
the house is on fire,motherland,1.0,2001.0
we never change,parachutes,9.0,2000.0
absence of fear,spirit,13.0,1998.0
carmina burana - o fortuna,,,1935.0
man of sorrows,my servant joseph,8.0,1993.0
goodbye,let it rain,10.0,2002.0
with a shout,october,8.0,1981.0
stop drop and roll,bedlam ballroom,5.0,2000.0
angel,mirrorball,14.0,1999.0
i'm your angel,these are special times,14.0,1998.0
polkas on 45,in 3-d,6.0,1984.0
tomorrow morning,on and on,10.0,2003.0
danger woman!,myths legends and other amazing adventures vol. 2,10.0,2000.0
i believe,,,2008.0
like a virgin,like a virgin,3.0,1984.0
on almost any sunday morning,saturday nights &amp; sunday mornings,8.0,2008.0
rain king,august and everything after,7.0,1993.0
caribbean plaid,forever plaid soundtrack,10.0,1990.0
stones in my passway,trouble no more,1.0,2003.0
sweet surrender,surfacing,3.0,1997.0
u can't touch this,please hammer don't hurt 'em,2.0,1990.0
temporal wake,star trek first contact soundtrack,3.0,1996.0
waltz into me,looking for lucky,12.0,2005.0
a water prayer,home,5.0,1995.0
respect,i never loved a man the way i love you,1.0,1967.0
one step closer,how to dismantle an atomic bomb,9.0,2004.0
