OpenedDate,OpenedYear,PracticeCode,PracticeName,BusinessCategory,BusinessName,BusinessCity,BusinessState,BusinessZip
10/03/2016,2016,206,Right To Cancel,Travel,Choice Hotels,,  ,         
03/05/2020,2020,999,Other/Miscellaneous,Unclassified Establishments,Facebook,Palo Alto,CA,         
10/11/2013,2013,100,Misrepresentation of Terms,Retail Sales,Monterey Financial Services,Oceanside,CA,92056    
08/26/2014,2014,444,Foreclosure Issue,Mortgage Lending,Wells Fargo CRA Risk Management,Charlotte,NC,28256-0947
07/24/2018,2018,301,Failure To Deliver/Perform,Electronic Shopping,Amazon.com,Seattle,WA,98108-1226
09/28/2016,2016,303,Questionable Quality Product/Service,Carpet & Upholstery Cleaning Services,,Bend,OR,97701    
04/03/2018,2018,301,Failure To Deliver/Perform,Website Design,iePlexus Inc,Bothell,WA,98021    
03/01/2021,2021,999,Other/Miscellaneous,Security Systems (including locksmiths),Brinks Home Security fka Monitronics/Moni Smart Security,Dallas,TX,75381-4530
04/25/2020,2020,998,Governement agency complaint,Transit & ground passenger transportation,Spokane Transit Authority,Spokane,WA,99201    
10/29/2020,2020,642,Landlord/Tenant - Residential,Residential Landlord,T-Square Real Estate Services,Bothell,WA,98011    
04/17/2017,2017,203,Internet & Mobile device based transaction,Electronic Shopping,Amazon.com,Seattle,WA,98108-1226
10/08/2019,2019,316,Billing Issues,Telecommunications,CenturyLink,Spokane,WA,99208    
06/27/2019,2019,999,Other/Miscellaneous,Residential Landlord,Emerald Management & Consulting,Seattle,WA,98168    
06/29/2020,2020,999,Other/Miscellaneous,Government Agencies,,Forest,MS,39074    
01/08/2015,2015,301,Failure To Deliver/Perform,Website Design,Web.com,Jacksonville,FL,32258    
10/30/2015,2015,410,Discrimination,Civic & Social Organizations,YMCA of Pierce and Kitsap Counties,Tacoma,WA,98405    
08/18/2016,2016,999,Other/Miscellaneous,Automobile Manufacturing,FCA US LLC,Center Line,MI,48015    
05/07/2020,2020,316,Billing Issues,Utilities,City of Ferndale,Ferndale,WA,98248    
01/29/2020,2020,17,Imposter scam,Collections, Unknown,,  ,         
02/06/2017,2017,316,Billing Issues,Insurance,Progressive Insurance,Bothell,WA,98011-8242
10/21/2020,2020,300,Excessive Price or Charge,Auto Sales,Auto Track,Mount Vernon,WA,98273    
11/14/2017,2017,402,Collections - Threatening behavior includes arrest,Collections,Unknown - Fraudulent Collection Agency,,  ,         
01/29/2014,2014,206,Right To Cancel,Exterminating & pest control Services,Pest Free,Kirkland,WA,98034    
04/28/2021,2021,60,Unauthorized Debit,Credit Card Issuers,Netspend Corporation,Austin,TX,78761    
01/22/2020,2020,316,Billing Issues,Broadband Providers,Dish Network,Littleton,CO,80120    
09/25/2013,2013,304,Questionable Quality/Used,Auto Sales,Paramount Motors NW,Seattle,WA,98134    
03/12/2013,2013,422,Credit/Financing,Auto Sales,Gilbert Auto Group,College Place,WA,99324    
01/07/2021,2021,999,Other/Miscellaneous,Auto Sales,,Spokane Valley,WA,99202    
06/26/2013,2013,641,Failed communication attempts,Consumer Lending & Transfer Agents,Western Union,Englewood,CO,80112-5939
04/06/2015,2015,302,Not As Ordered,Auto Sales,Seaview Buick GMC,Lynnwood,WA,98037    
05/15/2020,2020,999,Other/Miscellaneous,Contractors,DEAR Services,Kent,WA,98032    
05/16/2018,2018,999,Other/Miscellaneous,Software Publishers,Microsoft Corporation,Redmond,WA,98052    
02/03/2015,2015,316,Billing Issues,Health Care,Naficy Plastic Surgery,Bellevue,WA,98004    
