OpenedDate,OpenedYear,PracticeCode,PracticeName,BusinessCategory,BusinessName,BusinessCity,BusinessState,BusinessZip
11/13/2020,2020,996,COVID-19,"Promoters of performing arts, sports & similar eve",Brown Paper Tickets,Seattle,WA,98109    
02/19/2020,2020,318,Charge:Service Not Performed/Product not delivered,Telecommunications,Assurance Wireless,Irving,TX,75016-9014
02/05/2013,2013,529,Direct Mail Advertising,Mortgage Lending,Loan Payment Administration,Xenia ,OH,45385    
07/18/2016,2016,422,Credit/Financing,Auto Sales,Legend Auto Sales,Burien,WA,98168    
01/25/2013,2013,301,Failure To Deliver/Perform,Telecommunications,Republic Wireless / Bandwidth Venture III,Raleigh,NC,27606    
12/07/2017,2017,203,Internet & Mobile device based transaction,"Promoters of performing arts, sports & similar eve",,New York,NY,10001    
01/14/2013,2013,422,Credit/Financing,Auto Sales,Jay Lee's Honda of Sumner,Sumner,WA,98390    
05/13/2014,2014,320,Unsatisfactory Repair/Service,Telecommunications,T-Mobile,Albuquerque,NM,87176    
04/01/2015,2015,206,Right To Cancel,Dating Clubs and Social Networking,Events and Adventures,Gilbert,AZ,85234    
01/10/2019,2019,320,Unsatisfactory Repair/Service,Contractors,,Seattle,WA,98177    
04/10/2015,2015,316,Billing Issues,Auto Sales,Toyota of Renton fka Bob Bridge Toyota,Renton,WA,98057    
03/28/2014,2014,303,Questionable Quality Product/Service,Auto Sales,Northwest Motorsports,Puyallup,WA,98371    
02/18/2016,2016,320,Unsatisfactory Repair/Service,Auto Sales,Pierre Money Mart,Seattle,WA,98125    
03/13/2019,2019,999,Other/Miscellaneous,Retail Sales,Ashley Furniture/Ashley Homestore - Tukwila,Tukwila,WA,98188    
01/06/2016,2016,319,Unauthorized Repair/Service,Credit Reporting & Related Activities,Experian Consumer Services/Experian Interactive/Consumer Info/AutoCheck,Allen,TX,75013    
07/15/2016,2016,203,Internet & Mobile device based transaction,Educational Services,,Austin,TX,78727    
06/08/2016,2016,999,Other/Miscellaneous,Health Care,Evergreen Healthcare,Kirkland,WA,98034-3098
12/16/2019,2019,19,Inadequate Disclosure,"Admin. & support services (office admin., faciliti",Your Vital Records,,  ,         
02/08/2017,2017,998,Governement agency complaint,Government Agencies,Washington State Office of the Attorney General,Olympia,WA,98504    
04/22/2021,2021,886,ADA (Americans w/Disabilities Act),Taxi Service,Lyft Inc,Olympia,WA,98501    
06/01/2016,2016,999,Other/Miscellaneous,Health Care,Group Health Cooperative,Tukwila,WA,98168    
02/21/2017,2017,316,Billing Issues,Retail Sales,,Seattle,WA,98112    
05/26/2020,2020,25,Refund Policies,Water Transportation,Princess Cruises,Seattle,WA,98119    
06/28/2016,2016,303,Questionable Quality Product/Service,Telecommunications,T-Mobile,Albuquerque,NM,87176    
