Client,Status,Pro Class,Contract Title,Contract Requirement,Route to Market,Agreement Type,Contract Start Date,Contract Term (Months),Maximum Duration of Contract (Months),Contract End Date,Ext. Applied to Contract,Maximum Extend Date,Review Date,Estimated Annual Value,Estimated Total Value,Supplier Name,Supplier Type,Registered Number,Postcode,Council Directorate
Stockport Council,Live (Ongoing),231400-Highway Equipment & Materials : Street Lighting : ,Street Lighting & Street Furniture Maintenance ,-,OJEU Tender,Contract,1-Apr-09,60,120,31-Mar-20,Yes,31-Mar-20,1-Aug-16,"ÃÂ£427,777.78","ÃÂ£2,566,666.67",Acorn Lighting Services Limited,SME,3724243,HG1 3EH,Stockport- Services to Place
Stockport Council,Live (Ongoing),271501-Information Communication Technology : Services : ,Fixed Webcasting Service for Council Meetings,-,Tender,Contract,12-Sep-13,36,72,30-Sep-19,Yes,30-Sep-19,1-Apr-19,"ÃÂ£13,487.00","ÃÂ£80,922.00",Public-I-Group Ltd,SME,3998680,BN3 1DD,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),151000-Consultancy : Business : ,Service Support for Business Incubator,-,OJEU Tender,Contract,1-Sep-13,95,95,20-Jul-21,,20-Jul-21,1-Jan-20,"ÃÂ£260,302.00","ÃÂ£2,082,416.00",Oxford Innovation Ltd,SME,2177191,OX1 1BY,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),321000ÃÂ  Social Community Care Supplies & Services - Adult,Supply of Complex Aids for Daily Living ,"This is a small range of equipment including hospital beds, pressure mattresses and hoists, Comprising approximatley 40 different lines of standard equipment of which a total of approximatley 4,000 are issued each year. ",OJEU Tender,Contract,1-Oct-15,30,54,31-Mar-20,Yes,31-Mar-20,10-Jan-19,"ÃÂ£600,000.00","ÃÂ£2,700,000.00",Rosscare,SME,469301,CH44 7HX,Stockport- Services to People
Stockport Council,Live (Ongoing),321100-Social Community Care Supplies & Services - Children :  ,Occupational and Speech Therapy,-,OJEU Tender,Contract,1-Oct-16,34,46,31-Aug-20,Yes,31-Aug-20,1-Dec-19,"ÃÂ£300,000.00","ÃÂ£1,200,000.00",Together Trust ,SME,301722,SK8 1JE ,Stockport- Services to People
Stockport Council,Live (Ongoing),321000ÃÂ  Social Community Care Supplies & Services - Adult,Alliance for Positive Relationships,"The service will offer professional, high-quality independent advocacy to Adults across all categories of need",OJEU Tender,Contract,1-Aug-15,36,60,31-Jul-20,Yes,31-Jul-20,30-Jan-18,"ÃÂ£280,000.00","ÃÂ£1,400,000.00",Stockport Without Abuse Alliance,SME,3890735,SK1 3QP,Stockport- Services to People
Stockport Council,Live (Ongoing),321000ÃÂ  Social Community Care Supplies & Services - Adult,Targeted Prevention Alliance,"Provision of proactive and preventative support for people who are vulnerable due to their health, wellbeing or situation, with the aim of enabling and empowering them to work towards independence, and prevent or reduce the need for statutory services provision.",OJEU Tender,Contract,1-Jun-15,36,60,31-May-20,Yes,31-May-20,31-May-19,"ÃÂ£1,500,000.00","ÃÂ£7,500,000.00",Stockport Homes ,Large,4521257,SK1 3NQ,Stockport- Services to People
Stockport Council,Live (Ongoing),321000ÃÂ  Social Community Care Supplies & Services - Adult,Stockport Advocacy Services ,"The service will offer support across all categories of need including learning disabilities, dementia, mental health needs, acquired brain injury, physical and sensory impairment The service will be mainly working with adults but some under 18 may also be eligible for support particularly young people in transition to adult services. ",Tender,Contract,1-Apr-15,36,60,31-Mar-20,Yes,31-Mar-20,30-Nov-17,"ÃÂ£200,000.00","ÃÂ£1,000,000.00",Stockport Advocacy Trust,SME,5274481,SK1 3DL,Stockport- Services to People
Stockport Council,Live (Ongoing),321119-Social Community Care Supplies & Services - Children : Youth Services : Youth Offending Services,Restorative Services to the Youth Offending Service 2016/17,-,Tender,Contract,1-Apr-16,36,36,31-Mar-19,No,31-Mar-19,31-Mar-18,"ÃÂ£39,896.00","ÃÂ£119,688.00",Remedi,SME,1063359,S1 4FW,Stockport- Services to People
Stockport Council,Live (Ongoing),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,OJEU Tender,Contract,6-Jan-10,84,122,31-Mar-20,Yes,31-Mar-20,1-Mar-19,"ÃÂ£75,000.00","ÃÂ£750,000.00",Midland HR&Payroll Solutions,SME,8099611,B79 9DZ,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,-,Absolute Care at Home,SME,"L43803000
 ",SK8 4JQ ,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,-,African Caribbean Care Group,SME,"03225158
 ",AL7 1GL,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,-,Allied Healthcare ,SME,"10139143
 ",M11 2WH ,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,-,Apex bought out by CRG ,SME,"06779537
 ",SK9 2TB ,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,-,Castlerock Recruitment Group Ltd,SME,"RC000772
 ",M5 5WG ,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,-,Comfort Call Limited,SME,301722,SK8 1JE ,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,-,Community Integrated Care,SME,"00061625
 ",IG6 1QG,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,-,Creative Support,SME,"03864620
 ",ST4 7RY,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,-,Harbex,SME,469481,M20 6TR,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,-,IAS,SME,N/a,OL11 2PG,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,-,Medacs Healthcare plc,SME,6052980,OL16 1XU,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,-,Premier Care Ltd,SME,NY599254B,OL1 4TL,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,-,SOS Homecare Ltd,SME,149 2009 76,Ol11 5EF,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,-,The Care Company Plus Limited ,SME,"02774692
 ",OL16 1SN,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,-,The Human Support Group,SME,"3594949
 ","OL15 9HW
 ",Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,-,The Mears Group,SME,"1641966
 ",OL16 1QT,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,-,TLC Private Home Care Services,SME,9213501,BL9 5BT,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),351000-Street & Traffic Management : Parking : Car Parks,Redrock Car Park Management ,-,OJEU Tender,Contract,18-Jan-16,48,84,17-Jan-20,No,17-Jan-23,1-Jul-19,"ÃÂ£400,000.00","ÃÂ£2,800,000.00",National Car Parks Ltd (NCP),SME,253240,EC1N 8XE,Stockport- Services to Place
Stockport Council,Live (Ongoing),321000ÃÂ  Social Community Care Supplies & Services - Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 1 - Wellbeing and Indepenence at Home,service to assist people to access community based support,OJEU Tender,Contract,1-Oct-15,36,60,30-Sep-20,Yes,30-Sep-20,30-Mar-19,"ÃÂ£300,000.00","ÃÂ£1,855,861.00",Age UK,SME,1139547,SK1 3AQ,Stockport- Services to People
Stockport Council,Live (Ongoing),321000ÃÂ  Social Community Care Supplies & Services - Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 2 - Independent Living and Wellbeing in the Community,"The WIN will incorporate a range of practical, social and emotional support which promotes and enables peopleÃÂs ability to live well, independently and with a good quality of life. ",OJEU Tender,Contract,1-Oct-15,36,60,30-Sep-20,Yes,30-Sep-20,31-Dec-19,"ÃÂ£300,000.00","ÃÂ£1,500,000.00",Pure Innovations,SME,5241249,SK3 0RF,Stockport- Services to People
Stockport Council,Live (Ongoing),321000ÃÂ  Social Community Care Supplies & Services - Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 3 - Wellbeing and Independence through Community Transport,"The WIN will incorporate a range of practical, social and emotional support which promotes and enables peopleÃÂs ability to live well, independently and with a good quality of life. ",OJEU Tender,Contract,1-Oct-15,36,60,30-Sep-20,Yes,30-Sep-20,31-Dec-19,"ÃÂ£120,000.00","ÃÂ£600,000.00",Stockport Car Scheme,SME,1091546,SK4 3LD,Stockport- Services to People
Stockport Council,Live (Ongoing),361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,-,OJEU Tender,DPS (Dynamic Purchasing System),1-Aug-15,48,48,31-Jul-20,No,31-Jul-19,1-Jan-19,"ÃÂ£4,000,000.00","ÃÂ£16,000,000.00",Approved supplier list maintained by the Council. Contact STAR Procurement for further details,,,,Stockport- Services to Place
Stockport Council,Live (Ongoing),191000-Facilities & Management Services : Advertising : ,Management & Promotion of Stockport Town Centre Managed Sites,-,Tender,Concession,12-Feb-16,48,48,12-Feb-20,,12-Feb-20,15-Apr-19,"ÃÂ£40,000.00","ÃÂ£80,000.00",PinPointer Ltd ,SME,5196344,M3 5EJ,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),191700-Facilities & Management Services : Property Management : ,Fire Risk Assessments,-,OJEU Tender,Framework Agreement,4-Jan-16,24,48,3-Jan-20,Yes,3-Jan-20,1-Jun-19,"ÃÂ£50,000.00","ÃÂ£100,000.00",Various - See Below,Various - See Below,Various - See Below,Various - See Below,Stockport- Services to Place
Stockport Council,Live (Ongoing),191700-Facilities & Management Services : Property Management : ,Fire Risk Assessments,-,-,-,-,-,-,-,-,-,-,-,-,Firesec North West Ltd,SME,2459259,M30 9PS,Stockport- Services to Place
Stockport Council,Live (Ongoing),191700-Facilities & Management Services : Property Management : ,Fire Risk Assessments,-,-,-,-,-,-,-,-,-,-,-,-,The Oakleaf  Surveying Ltd,Large,3578140,B37 7YE,Stockport- Services to Place
Stockport Council,Live (Ongoing),191700-Facilities & Management Services : Property Management : ,Fire Risk Assessments,-,-,-,-,-,-,-,-,-,-,-,-,Fire Protection Association,Large,3901222,WF10 4UA,Stockport- Services to Place
Stockport Council,Live (Ongoing),191700-Facilities & Management Services : Property Management : ,Fire Risk Assessments,-,-,-,-,-,-,-,-,-,-,-,-,BB7 Fire Limited,SME,1809894,OL15 9EW,Stockport- Services to Place
Stockport Council,Live (Ongoing),201800-Financial Services : Insurance : ,Insurance Advisory and Broking Service,-,Call Off (External),Contract,1-Jan-16,36,60,1-Jan-21,,1-Jan-21,1-Aug-18,"ÃÂ£14,000.00","ÃÂ£70,000.00",Arthur J Gallagher ,Large,8887139,M3 5AG,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),321000ÃÂ  Social Community Care Supplies & Services - Adult,Supported Living Services (103.7 - Phase 5),"The Service aims to enable people to live as independent and as fulfilling a life as is possible in their local community looking at areas of work, leisure and relationships. ",Mini Competition (Internal),Contract,1-Dec-15,36,48,30-Nov-18,No,30-Nov-19,1-Jul-18,"ÃÂ£214,766.76","ÃÂ£859,067.04",Home Focus,VCSE,2147139,M30 0DL,Stockport- Services to People
Stockport Council,Live (Ongoing),321100-Social Community Care Supplies & Services - Children :  ,"Stockport Information, advice and support",-,Tender,Contract,1-Apr-16,36,36,31-Mar-20,Yes,31-Mar-20,31-Oct-19,"ÃÂ£50,000.00","ÃÂ£150,000.00",KIDS,VCSE,1346252,B72 1EA,Stockport- Services to People
Stockport Council,Live (Ongoing),191000-Facilities & Management Services : Advertising : ,Provision of an Advertising Service on agreed sites in the Borough of Trafford and/or Stockport,-,Tender,Concession,8-Dec-15,48,48,7-Dec-19,,7-Dec-19,30-Nov-18,Income,Income,Marketing Force Limited,Large,3744053,SL9 7PZ,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),321000ÃÂ  Social Community Care Supplies & Services - Adult,Carer Support Service (Supporting MH Recovery),The Stockport Mental Health Carer Support Service will offer services to carers caring for adults aged 18 and over with mental health illness and distress.,OJEU Tender,Contract,1-Nov-15,29,53,31-Mar-20,Yes,31-Mar-20,1-Sep-19,"ÃÂ£57,245.00","ÃÂ£252,832.08",Stockport & District Mind,VCSE,5879337,SK1 3NP,Stockport- Services to People
Stockport Council,Live (Ongoing),321000ÃÂ  Social Community Care Supplies & Services - Adult,LD Supported Living Contract (103.8 - Phase 6),"The Service aims to enable people to live as independent and as fulfilling a life as is possible in their local community looking at areas of work, leisure and relationships. ",Tender,Contract,9-May-16,36,48,8-May-20,Yes,8-May-20,1-Nov-19,"ÃÂ£320,924.25","ÃÂ£1,283,697.00",Fitzroy Support,VCSE,2699902,GU32 3JY,Stockport- Services to People
Stockport Council,Live (Ongoing),321000ÃÂ  Social Community Care Supplies & Services - Adult,Supported Employment,"support eligible people to obtain and maintain paid employment, or take significant steps to move closer to paid employment.",OJEU Tender,Contract,1-Apr-16,36,60,31-Mar-19,No,31-Mar-21,1-Nov-18,"ÃÂ£220,000.00","ÃÂ£1,100,000.00",Pure Innovations Limited,Medium,5241249,SK3 0RF,Stockport- Services to People
Stockport Council,Live (Ongoing),321000ÃÂ  Social Community Care Supplies & Services - Adult,Day Care Services,"Day centres provide people with the chance to socialise, make friends, enjoy a hot meal and take part in games and activities",OJEU Tender,Framework Agreement,1-Apr-16,36,48,31-Mar-20,Yes,31-Mar-20,1-Apr-19,"ÃÂ£1,100,000.00","ÃÂ£4,400,000.00",Various - See Below,Various - See Below,Various - See Below,Various - See Below,Stockport- Services to People
Stockport Council,Live (Ongoing),321000ÃÂ  Social Community Care Supplies & Services - Adult,Day Care Services,-,-,-,-,-,-,-,-,-,-,-,-,Altruistic Care t/a plane tree,Large,0031192IP,RG74AB,Stockport- Services to People
Stockport Council,Live (Ongoing),321000ÃÂ  Social Community Care Supplies & Services - Adult,Day Care Services,-,-,-,-,-,-,-,-,-,-,-,-,Disability Stockport,Large,8041420,"OL9 9XA,",Stockport- Services to People
Stockport Council,Live (Ongoing),321000ÃÂ  Social Community Care Supplies & Services - Adult,Day Care Services,-,-,-,-,-,-,-,-,-,-,-,-,Indian Senior Citizen Centre,SME,3112191,M41 9JN,Stockport- Services to People
Stockport Council,Live (Ongoing),321000ÃÂ  Social Community Care Supplies & Services - Adult,Day Care Services,-,-,-,-,-,-,-,-,-,-,-,-,Lifeline Project Ltd,SME,4577158,BB4 7BD,Stockport- Services to People
Stockport Council,Live (Ongoing),321000ÃÂ  Social Community Care Supplies & Services - Adult,Day Care Services,-,-,-,-,-,-,-,-,-,-,-,-,NAS Services Ltd,SME,234252,BL3 4LA,Stockport- Services to People
Stockport Council,Live (Ongoing),321000ÃÂ  Social Community Care Supplies & Services - Adult,Day Care Services,-,-,-,-,-,-,-,-,-,-,-,-,Pure Innovations Limited ,SME,3176431,E8 2NG,Stockport- Services to People
Stockport Council,Live (Ongoing),321000ÃÂ  Social Community Care Supplies & Services - Adult,Day Care Services,-,-,-,-,-,-,-,-,-,-,-,-,Step Out Stockport,Large,5552698,SE1 0AS,Stockport- Services to People
Stockport Council,Live (Ongoing),321000ÃÂ  Social Community Care Supplies & Services - Adult,Day Care Services,-,-,-,-,-,-,-,-,-,-,-,-,Stockport CP Society,VCSE,2350533,PR71NY,Stockport- Services to People
Stockport Council,Live (Ongoing),321000ÃÂ  Social Community Care Supplies & Services - Adult,Day Care Services,-,-,-,-,-,-,-,-,-,-,-,-,The Weekend Day Centre,VCSE,550457,EC1Y 0RT,Stockport- Services to People
Stockport Council,Live (Ongoing),321000ÃÂ  Social Community Care Supplies & Services - Adult,Day Care Services,-,-,-,-,-,-,-,-,-,-,-,-,Together Trust ,SME,6042569,PR2 1JR,Stockport- Services to People
Stockport Council,Live (Ongoing),361300-Public Transport : Passenger Transport : ,School Swimming Transport,-,Tender,Contract,1-Sep-16,36,48,31-Aug-20,Yes,31-Aug-20,1-Jun-19,"ÃÂ£103,409.02","ÃÂ£413,636.08",Belle Vue Manchester Ltd,Large,3272014,Sk4 5DZ,Stockport- Services to Place
Stockport Council,Live (Ongoing),201300-Financial Services : Cash Collection : ,Bailiff Services,-,Call Off (External),Contract,1-Nov-14,48,60,31-Oct-19,Yes,31-Oct-19,31-Oct-16,nil,nil,Various - See Below,Various - See Below,Various - See Below,Various - See Below,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),201300-Financial Services : Cash Collection : ,Bailiff Services,-,-,-,-,-,-,-,-,-,-,-,-,Equita,Sole Trader,-,-,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),201300-Financial Services : Cash Collection : ,Bailiff Services,-,-,-,-,-,-,-,-,-,-,-,-,Jacobs,Sole Trader,-,-,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),201300-Financial Services : Cash Collection : ,Bailiff Services,-,-,-,-,-,-,-,-,-,-,-,-,Phoenix,Other,-,-,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),201300-Financial Services : Cash Collection : ,Bailiff Services,-,-,-,-,-,-,-,-,-,-,-,-,Rossendales,Sole Trader,-,-,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),271400-Information Communication Technology : Office & Reprographics Equipment : ,SAP Maintenance & Support,-,Exemption,Contract,1-Jan-16,12,36,31-Dec-19,Yes,31-Dec-19,1-Jun-19,"ÃÂ£88,904.07","ÃÂ£88,904.07",SAP UK Ltd,Large,2152073,TW14 8HD,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),340000-Stationery :  ,Stationery and Office Supplies,-,OJEU Tender,Framework Agreement,1-Mar-17,24,48,28-Feb-21,,28-Feb-21,1-Sep-18,"ÃÂ£250,000.00","ÃÂ£1,000,000.00",Lyreco UK Limited,SME,442696,TF2 7NB,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),181810-Environmental Services : Technical Equipment : Laboratory,COMA - High voltage Transformers,-,Quote,Contract,1-Mar-16,48,48,28-Feb-20,No,28-Feb-20,1-Oct-19,"ÃÂ£2,929.20","ÃÂ£11,716.80",SPEC,SME,GB759355684,WF20XW,Stockport- Services to Place
Stockport Council,Live (Ongoing),271510-Information Communication Technology : Services : Application Service Provision,"Provision of a System for Public Safety and Protection, Planning, Building Control and Land ChargesÃÂ (Divided into 2 Lots) Utilising the CCS Framework RM1059 Lot 3",-,Mini Competition (External),Framework Agreement,1-Apr-16,36,48,31-Mar-20,Yes,31-Mar-20,1-Oct-19,"ÃÂ£42,000.00","ÃÂ£168,000.00",Idox Group,Large,2933889,G2 7JZ,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),271510-Information Communication Technology : Services : Application Service Provision,Provision of an Education Management Information and Case Management System ,-,OJEU Tender,Contract,1-Apr-16,60,108,31-Mar-21,No,31-Mar-25,1-Oct-20,"ÃÂ£108,996.05","ÃÂ£980,964.45",Tribal Education Limited,Large,4163300,BS2 0HQ,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),261100-Human Resources : Interpretation & Translation : ,British Sign Language,-,Tender,Contract,3-Oct-16,36,48,2-Oct-20,Yes,2-Oct-20,1-Jan-19,"ÃÂ£12,500.00","ÃÂ£50,000.00",Various - See Below,Various - See Below,Various - See Below,Various - See Below,Stockport- Services to People
Stockport Council,Live (Ongoing),261100-Human Resources : Interpretation & Translation : ,British Sign Language,-,-,-,-,-,-,-,-,-,-,-,-,Action on Hearing Loss ,Sole Trader,-,-,Stockport- Services to People
Stockport Council,Live (Ongoing),261100-Human Resources : Interpretation & Translation : ,British Sign Language,-,-,-,-,-,-,-,-,-,-,-,-,Manchester Deaf School ,Sole Trader,-,-,Stockport- Services to People
Stockport Council,Live (Ongoing),191200-Facilities & Management Services : Document Archiving & Storage : ,Off Site Storage ,-,OJEU Tender,Contract,1-Jun-17,36,60,31-May-20,No,31-May-22,31-May-19,"ÃÂ£10,069.00","ÃÂ£50,346.00",DataSpace UK Limited,Small,3816685,CW9 6GB,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),121000-Cemetery & Crematorium : Burial & Cremation : ,Public Funerals ,-,OJEU Tender,Contract,3-Apr-18,36,60,31-Mar-21,No,31-Mar-23,31-Oct-20,"ÃÂ£9,150.00","ÃÂ£40,920.00",Aidan Gaunt Funeral service,SME,,SK1 42SW,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),182011-Environmental Services : Waste Management : Consumables (was Equipment),Litter Bins ,-,Call Off (External),Contract,1-Aug-17,36,48,31-Jul-20,No,31-Jul-21,1-May-18,"ÃÂ£50,000.00","ÃÂ£150,000.00",Wybone,SME,952455,S74 9TF,Stockport- Services to Place
Stockport Council,Live (Ongoing),269999-Human Resources : Not Elsewhere Classified : ,Occupational Health Service,-,Call Off (External),Contract,1-Mar-16,48,48,29-Feb-20,,29-Feb-20,31-Oct-19,"ÃÂ£100,000.00","ÃÂ£400,000.00",Health Management Ltd,Large,4369949,BN8 5NN,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),321000ÃÂ  Social Community Care Supplies & Services - Adult,Supported Living Services (103.9 - Phase 7),"The Service aims to enable people to live as independent and as fulfilling a life as is possible in their local community looking at areas of work, leisure and relationships. ",Mini Competition (Internal),Contract,1-Aug-16,36,48,31-Jul-20,Yes,31-Jul-20,31-Jul-19,"ÃÂ£355,887.62","ÃÂ£1,423,550.48",Royal Mencap Society,VCSE,550457 comp no  222377 charity,EC1Y 0RT,Stockport- Services to People
Stockport Council,Live (Ongoing),321000ÃÂ  Social Community Care Supplies & Services - Adult,Supported Living Services (103.10 - Phase 8),"The Service aims to enable people to live as independent and as fulfilling a life as is possible in their local community looking at areas of work, leisure and relationships. ",Tender,Contract,16-Jan-17,36,48,15-Jan-21,Yes,15-Jan-21,1-Sep-20,"ÃÂ£880,584.00","ÃÂ£3,522,336.00",Royal Mencap  ,VCSE,"550457
222377",M16 9HU,Stockport- Services to People
Stockport Council,Live (Ongoing),321100-Social Community Care Supplies & Services - Children :  ,Independent Travel Training 2016 - Stockport,-,Tender,Contract,1-Sep-16,24,36,31-Aug-20,Yes,31-Aug-20,31-Mar-19,"ÃÂ£130,000.00","ÃÂ£390,000.00",Pure Innovations Limited,Medium,5241249,SK3 0RF,Stockport- Services to People
