Indicator Name,Age Group,County,Provider,Eligible Population,Number With QI Flag,Rate High?
3AP,18+,Albany,OFFICE MENTAL HEALTH MH,487,5,NO
3AP,18+,Brooklyn,"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC",321,0,
2AP,18+,Manhattan,"BRIDGING ACCESS TO CARE, INC.",28,5,
2AP,0-17,Wayne,County,113,5,
3AP,18+,Westchester,"WESTCHESTER JEWISH COMMUNITY SERVICES, INC.",151,0,
2AP,18+,Queens,County,10406,1353,
2AP,0-17,Bronx,NYC-HHC JACOBI MEDICAL CENTER,62,2,NO
3AP,18+,Brooklyn,PARCARE COMMUNITY HEALTH NETWORK,40,0,
2AP,18+,Dutchess,County,1274,149,
2AP,0-17,Delaware,County,39,1,NO
3AP,0-17,Queens,"LIFELINE CENTER FOR CHILD DEVELOPMENT, INC.",24,0,NO
2AP,18+,Dutchess,County,1322,153,
2AP,0-17,Oswego,County,103,2,
2AP,18+,Westchester,ST. JOHN'S RIVERSIDE HOSPITAL,281,19,
2AP,18+,Saint Lawrence,County,278,17,NO
2AP,0-17,Wayne,WAYNE BEHAVIORAL HEALTH NETWORK,28,0,NO
3AP,18+,Albany,County,5212,27,
3AP,18+,Nassau,"PENINSULA COUNSELING CENTER, INC.",77,0,NO
3AP,18+,Albany,County,6132,41,
2AP,18+,Herkimer,County,305,26,
2AP,18+,Steuben,STEUBEN COUNTY COMMUNITY MENTAL HEALTH CENTER,21,4,
2AP,0-17,Tioga,County,10,1,
2AP,0-17,Albany,County,1607,58,
2AP,18+,Manhattan,ISABELLA VISITING CARE INC TBI,27,2,
2AP,18+,Broome,"ONONDAGA CASE MGMNT SERVICES, INC DBA CIRCARE",39,3,
2AP,18+,Queens,"THE FORTUNE SOCIETY, INC.",36,3,
2AP,0-17,Chautauqua,UPMC CHAUTAUQUA AT WCA,110,2,
3AP,18+,Manhattan,"ST. MARK'S PLACE INSTITUTE FOR MENTAL HEALTH,",202,1,NO
2AP,18+,Rockland,"JAWONIO, INC.",73,21,YES
3AP,18+,Brooklyn,THE INSTITUTE FOR FAMILY HEALTH,142,0,
3AP,18+,Niagara,MOUNT ST MARY HSP HLTH CTR,235,0,
2AP,18+,Essex,County,134,15,
2AP,18+,Greene,County,277,21,
3AP,18+,Statewide,Statewide,31,0,
3AP,0-17,Montgomery,County,147,0,NO
2AP,18+,Chautauqua,UPMC CHAUTAUQUA AT WCA,421,36,
2AP,18+,Washington,County,111,10,
2AP,18+,Delaware,County,120,12,
3AP,18+,Manhattan,WILLIAM F. RYAN COMMUNITY HEALTH CENTER,474,3,
3AP,18+,Saratoga,County,406,1,
3AP,18+,Nassau,"SO.SHORE ASSOCIATION F/INDEPENDENT LIVING, IN",63,0,NO
2AP,18+,Lewis,County,117,15,
3AP,18+,Niagara,County,1375,4,
2AP,18+,Herkimer,County,19,0,
3AP,18+,Oswego,County,187,0,
2AP,18+,Erie,ERIE COUNTY MEDICAL CENTER,415,43,NO
2AP,18+,Rockland,County,1078,190,
3AP,0-17,Albany,ALBANY MEMORIAL HOSPITAL,25,0,NO
2AP,0-17,Livingston,County,79,1,
2AP,18+,Manhattan,"SERVICES FOR THE UNDERSERVED, INC.",330,39,
2AP,0-17,Orange,County,244,12,
2AP,18+,Dutchess,County,1327,148,
2AP,18+,Queens,County,9892,1248,
2AP,18+,Schenectady,County,1620,112,
2AP,18+,Oneida,"UPSTATE CEREBRAL PALSY, INC.",689,51,
3AP,18+,Dutchess,County,1,0,
2AP,18+,Erie,MH SERVS-ERIE CO SE CORP V DBA SPECTRUM HSVCS,303,30,NO
3AP,18+,Monroe,"BEHAVIORAL HEALTH NETWORK, INC.",437,0,NO
2AP,18+,Chautauqua,UPMC CHAUTAUQUA AT WCA,218,14,
2AP,18+,Columbia,"MENTAL HEALTH ASSOC/COLUMBIA-GREENE COS., INC",74,7,
2AP,18+,Jefferson,County,208,18,
3AP,18+,Erie,NORTHWEST COMMUNITY MENTAL HEALTH CENTER,115,2,
3AP,0-17,Albany,"REHABILITATION SUPPORT SERVICES, INC.",24,0,
3AP,18+,Herkimer,HERKIMER COUNTY COMMUNITY SERVICES BOARD,31,0,NO
2AP,0-17,Sullivan,County,104,7,
2AP,0-17,Brooklyn,NEW YORK CITY CHILDREN'S CENTER,35,0,
3AP,18+,Orange,County,1444,8,
3AP,18+,Monroe,LIFETIME HEALTH MEDICAL GROUP,112,1,NO
3AP,18+,Queens,OUTREACH DEVELOPMENT CORPORATION,116,0,
3AP,18+,Schenectady,VISITING NURS SVC/SCHTD & SAR CNTY,170,1,
3AP,18+,Yates,County,1,0,
2AP,18+,Manhattan,JGB MENTAL HEALTH AND MENTAL RETARDATION SVCS,37,2,NO
3AP,0-17,Westchester,"FOUR WINDS, INC.",346,0,
2AP,0-17,Wayne,County,117,4,
3AP,18+,Queens,NEW YORK FLUSHING HOSPITAL AND MEDICAL CENTER,439,2,
2AP,18+,Suffolk,NEW YORK FLUSHING HOSPITAL AND MEDICAL CENTER,28,3,
2AP,0-17,Saratoga,County,306,5,
3AP,18+,Albany,ALBANY MEDICAL CENTER,692,2,
2AP,18+,Fulton,County,300,30,
3AP,18+,Saratoga,ALLIANCE EMERGENCY SYSTEMS,77,1,NO
3AP,0-17,Albany,County,231,0,
2AP,0-17,Ontario,County,147,8,
3AP,0-17,Rensselaer,County,127,0,
3AP,18+,Brooklyn,BROOKLYN HOSPITAL CENTER,443,0,NO
2AP,18+,Bronx,MORRIS HEIGHTS HEALTH CENTER,271,17,
2AP,18+,Dutchess,NORTHERN DUTCHESS HOSPITAL,106,10,
3AP,0-17,Saratoga,County,176,0,
2AP,18+,Albany,"ONONDAGA CASE MGMNT SERVICES, INC DBA CIRCARE",62,17,
2AP,18+,Westchester,ECON OPP COUNCIL SUFFOLK AI,67,5,
2AP,0-17,Saint Lawrence,CLAXTON-HEPBURN MEDICAL CENTER,29,1,
2AP,18+,Bronx,GATEWAY COUNSELING CENTER,67,14,NO
3AP,0-17,Suffolk,"FAMILY SERVICE LEAGUE, INC.",39,0,NO
3AP,18+,Dutchess,HUDSON VALLEY CARE COALITION,25,0,NO
2AP,18+,Saratoga,"FW OF SARATOGA, INC.",66,1,NO
2AP,18+,Cayuga,County,271,33,
2AP,0-17,Bronx,NEW YORK PSYCHOTHERAPY AND COUNSELING CENTER,136,7,NO
3AP,18+,Manhattan,CONEY ISLAND HOSPITAL SCM,41,0,NO
3AP,18+,Manhattan,"UPPER MANHATTAN M H CENTER, INC. AKA THE EMMA",532,2,NO
2AP,0-17,Rockland,County,165,6,
2AP,18+,Chautauqua,County,883,96,
2AP,0-17,Oneida,County,513,14,
2AP,18+,Schuyler,County,75,4,
2AP,18+,Manhattan,"PROJECT RENEWAL, INC.",104,4,
3AP,18+,Manhattan,NYC-HHC WOODHULL MEDICAL & MENTAL HEALTH CENT,983,1,
2AP,18+,Schoharie,County,120,15,
2AP,0-17,Nassau,County,541,16,
3AP,18+,Bronx,UNITED CEREBRAL PALSY OF NYC,30,0,
3AP,18+,Brooklyn,BROOKDALE HOSPITAL MEDICAL CENTER,1027,4,NO
3AP,18+,Dutchess,County,1151,9,
3AP,18+,Putnam,County,240,0,
2AP,18+,Nassau,"FAMILY RESIDENCES&ESSENTIAL ENTERPRISES, INC.",51,15,
2AP,18+,Queens,HELP/PROJECT SAMARITAN SVCS CORP,118,12,
2AP,18+,Genesee,UNITED MEMORIAL MEDICAL CTR,211,10,NO
2AP,18+,Warren,"BEHAVIORAL HEALTH SERVICES NORTH, INC.",32,3,NO
3AP,18+,Ulster,County,957,7,
2AP,0-17,Allegany,County,25,1,NO
2AP,18+,Greene,County,259,23,
3AP,18+,Brooklyn,"ST. VINCENT'S SERVICES, INC. DBA HEARTSHARE S",59,0,
2AP,0-17,Manhattan,NEW YORK PRESBYTERIAN HOSPITAL,148,3,NO
3AP,0-17,Westchester,WESTCHESTER MEDICAL CENTER,234,1,NO
2AP,18+,Brooklyn,County,12277,1329,
3AP,0-17,Manhattan,COORDINATED BEHAVIORAL CARE IPA,355,0,
2AP,0-17,Niagara,County,303,9,
2AP,0-17,Orange,County,248,14,
3AP,18+,Queens,QUEENS VLG COM FOR MH/J CAP,24,0,NO
3AP,0-17,Brooklyn,"INTERBOROUGH DEVELOP & CONSULTATION CTR, INC.",77,0,
2AP,18+,Westchester,"REHABILITATION SUPPORT SERVICES, INC.",184,40,YES
3AP,0-17,Nassau,MERCYFIRST,21,1,NO
2AP,18+,Rockland,County,1102,167,
2AP,18+,Dutchess,"MENTAL HEALTH AMERICA OF DUTCHESS COUNTY, INC",415,55,NO
2AP,18+,Bronx,County,14962,1533,
2AP,18+,Montgomery,County,476,45,
2AP,18+,Monroe,HIGHLAND HOSPITAL OF ROCHESTER,138,13,NO
3AP,0-17,Manhattan,PREMIER HEALTHCARE D & T CTR,127,0,
2AP,0-17,Greene,"CAPITAL BEHAVIORAL HEALTH NETWORK, LLC BHCC",57,4,
2AP,18+,Tompkins,"CAYUGA MEDICAL CENTER AT ITHACA, INC.",87,6,NO
2AP,18+,Nassau,ANGELO J. MELILLO CENTER FOR MENTAL HEALTH,47,11,
2AP,0-17,Orleans,County,13,0,
2AP,0-17,Clinton,County,104,4,
3AP,18+,Lewis,County,48,0,
2AP,0-17,Onondaga,CATHOLIC CHARITIES OF BROOME COUNTY - DIOCESE,21,0,
3AP,18+,Queens,"TRANSITIONAL SERVICES FOR NEW YORK, INC.",296,2,NO
2AP,18+,Monroe,County,4309,347,
3AP,18+,Manhattan,COORDINATED BEHAVIORAL CARE IPA,4913,19,
3AP,18+,Columbia,"HUDSON RIVER HEALTHCARE, INC. D/B/A SUN RIVER",85,0,
3AP,18+,Staten Island,RECOVERY HEALTH SOLUTIONS IPA,41,0,
2AP,18+,Manhattan,"A.R.E.B.A.-CASRIEL, INC. D/B/A ADDICTION CARE",204,16,
3AP,18+,Albany,ST PETERS HOSPITAL ALBANY,284,0,NO
2AP,18+,Queens,County,10032,1287,
3AP,18+,Schuyler,County,74,0,
3AP,0-17,Livingston,County,79,0,
2AP,18+,Onondaga,"CENTRAL NEW YORK SERVICES, INC.",98,13,
3AP,0-17,Suffolk,"FAMILY SERVICE LEAGUE, INC.",101,0,
2AP,18+,Hamilton,County,5,1,
2AP,18+,Brooklyn,"PUERTO RICAN FAMILY INSTITUTE, INC.",40,7,
3AP,18+,Otsego,County,317,0,
3AP,18+,Monroe,DEPAUL ADDICTION SERVICES INC,31,0,
2AP,18+,Schoharie,County,52,5,
2AP,18+,Erie,ASPIRE OF WESTERN NEW YORK IN,88,18,
2AP,0-17,Delaware,County,28,0,
2AP,18+,Warren,County,781,62,
2AP,0-17,Queens,County,681,29,
3AP,18+,Westchester,DOCTORS UNITED,42,0,
3AP,18+,Schoharie,County,52,1,
3AP,18+,Otsego,County,759,1,
2AP,18+,Oneida,County,1636,151,
2AP,18+,Orleans,County,105,12,
2AP,18+,Brooklyn,PREMIUM HEALTH INC,74,6,
3AP,18+,Queens,NATIONAL ASSOCIATION ON DRUG ABUSE PROBLEMS,53,0,
2AP,0-17,Queens,JAMAICA HOSPITAL MEDICAL CENTER,100,3,
3AP,18+,Clinton,County,205,1,NO
3AP,18+,Jefferson,THE CHILDREN'S HOME OF JEFFERSON COUNTY,107,1,NO
3AP,18+,Manhattan,"THE GUIDANCE CENTER OF BROOKLYN, INC.",44,0,
2AP,0-17,Nassau,NORTHWELL HEALTH NETWORK,199,4,
2AP,18+,Suffolk,SEAFIELD CENTER INC,34,3,NO
3AP,18+,Bronx,PERRY AVE FAMILY MEDICAL CTR,28,0,
3AP,0-17,Clinton,"BEHAVIORAL HEALTH SERVICES NORTH, INC.",57,0,
2AP,18+,Brooklyn,"REALIZATION CENTER, INC. (CLOSED)",109,7,NO
2AP,18+,Brooklyn,County,240,10,
2AP,18+,Rockland,County,1075,191,
2AP,18+,Rockland,County,1067,185,
2AP,18+,Brooklyn,SERVICES FOR THE UNDERSERVED,123,18,NO
2AP,0-17,Rockland,County,138,3,
3AP,18+,Staten Island,County,1594,10,
3AP,18+,Sullivan,County,1821,8,
2AP,18+,Brooklyn,"COMMUNITY HEALTHCARE NETWORK, INC.",330,33,NO
