OpenedYear,Status,PracticeCode,PracticeName,NAICS,NAICS Name,BusinessStreetLine1,BusinessCity,BusinessState,PracticeId,id
2015,Closed,404,Collection Practices,561440-Collection Agencies,Collection Agencies,800 SW 39th St,Renton,WA,46,46000466919
2018,Closed,300,Excessive Price or Charge,522320-Financial Transaction Processing,,355 Lexington Ave Fl 3,New York,NY,32,32000539734
2020,Closed,998,Governement agency complaint,920000-Public Administration,,475 L'Enfant Plz,Washington,DC,179,179000579914
2015,Closed,320,Unsatisfactory Repair/Service,541100-Legal Services- Attorneys,,,Selah,WA,42,42000473617
2017,Closed,301,Failure To Deliver/Perform,513200-Cable Networks & Program Distribution,Cable Networks & Program Distribution,1323 34th Ave,Fife,WA,33,33000497856
2020,Closed,444,Foreclosure Issue,541620-Legal Services- All other legal services,,13555 SE 36th St Ste 300,Bellevue,WA,155,155000578668
2020,New,999,Other/Miscellaneous,"560000-Admin. & support services (office admin., faciliti",,Avda del Litoral 12 - 5A,"Barcelona, Spain",  ,60,60000561329
2017,New,999,Other/Miscellaneous,920000-Public Administration,,PO Box 45131,Olympia,WA,60,60000511628
2021,Closed,316,Billing Issues,513200-Cable Networks & Program Distribution,,1323 34th Ave,Fife,WA,107,107000592151
2018,Closed,888,Spanish Language Complaints,441100-Automotive Dealers,,15431 Hwy 99,Lynnwood,WA,172,172000539051
2019,New,999,Other/Miscellaneous,441100-Automotive Dealers,,585 Rainier Ave S,Renton,WA,60,60000555106
2013,Closed,404,Collection Practices,990000-Unclassified Establishments,Unclassified Establishments,PO Box 19677,Los Angeles,CA,46,46000437866
2017,Closed,203,Internet & Mobile device based transaction,541511-Website Design,,707 S Grady Wy Ste 600,Renton,WA,27,27000517584
2017,New,999,Other/Miscellaneous,513200-Cable Networks & Program Distribution,,PO Box 9040,Littleton,CO,60,60000516967
2018,Closed,318,Charge:Service Not Performed/Product not delivered,561720-Janitorial Services,,8 The Green Ste A,Dover,DE,40,40000533052
2018,New,999,Other/Miscellaneous,454100-Electronic Shopping & Mail Order Houses,,16201 E Indiana Ave #2150,Spokane Valley,WA,60,60000533644
2013,Closed,22,Failure To Adjust/Refund,"451000-Sporting Goods, Hobby, Book & Music Stores",,,El Segundo,CA,16,16000423809
2020,Closed,22,Failure To Adjust/Refund,454100-Electronic Shopping & Mail Order Houses,,c/o Ticket Fulfillment Services LP,Seaford,DE,16,16000570883
2015,Closed,206,Right To Cancel,522110-Commercial Banking,Commercial Banking,200 S 6th St,Minneapolis,MN,30,30000476490
2016,Closed,518,Unregistered or Unlicensed Business,"813219-Charities, Grantmaking, Civic & Giving Services","Charities, Grantmaking, Civic & Giving Services",225 Mitchell Rigdon Road #15,Statesboro,GA,55,55000488771
2020,Closed,25,Refund Policies,454100-Electronic Shopping & Mail Order Houses,,,,  ,18,18000581491
2013,Closed,206,Right To Cancel,561620-Security Systems (including locksmiths),Security Systems (including locksmiths),Attn: Legal 160,Provo,UT,30,30000431732
2017,Closed,303,Questionable Quality Product/Service,513320-Telecommunications/Wireless,,6955 S Morelos Pl,Chandler,AZ,35,35000502890
2017,Closed,19,Inadequate Disclosure,442110-Furniture stores,,12943 SE 288th PL,Auburn,WA,13,13000499548
2021,New,999,Other/Miscellaneous,511210-Software Publishers,,999 18th St 4th Fl 4,Denver,CO,60,60000591219
2013,Closed,614,Screening / denial of sale or tenancy,531190-MHU Use Only - MH landlord,MHU Use Only - MH landlord,c/o First Commercial Property Corp.,Seattle,WA,130,130000429566
2019,Closed,26,Advertising,513320-Telecommunications/Wireless,,PO Box 37380,Albuquerque,NM,19,19000558869
2019,New,999,Other/Miscellaneous,"233000-General Contracting, building, & developing",,,Spokane Valley,WA,60,60000555107
2019,Closed,203,Internet & Mobile device based transaction,511140-Database & Directory Publishers,,907 Westwood Blvd #359,Los Angeles,CA,27,27000543414
2015,Closed,61,Phishing,993000-Phishing,Phishing,,,  ,111,111000473355
2013,Closed,58,Telemarketing,993000-Phishing,Phishing,,,  ,20,20000433463
2020,Closed,996,COVID-19,452910-Warehouse Clubs & Superstores,,999 Lake Dr,Issaquah,WA,216,216000567481
2018,Closed,18,Service Representation,488400-Motor Vehicle Towing,,,Olympia,WA,12,12000527164
2020,Closed,206,Right To Cancel,713940-Fitness & Recreational Industries,,18600 Woodinville Snohomish Rd NE Ste 100,Woodinville,WA,30,30000583657
2018,Closed,629,General maintenance,531190-MHU Use Only - MH landlord,,20440 International Blvd,SeaTac,WA,144,144000528374
2016,Closed,61,Phishing,993000-Phishing,Phishing,This is the ALL Major,,  ,111,111000486066
2018,New,999,Other/Miscellaneous,"560000-Admin. & support services (office admin., faciliti",,,Andover,MA,60,60000536995
2017,Closed,203,Internet & Mobile device based transaction,454100-Electronic Shopping & Mail Order Houses,,PO Box 81226,Seattle,WA,27,27000514297
2017,Closed,28,Other Vulnerable Audience Exploitation,"235000-Special trade Contractors (includes plumbers, elec",,,Renton,WA,103,103000512274
2020,Closed,100,Misrepresentation of Terms,524128-Extended Service contract companies,,400 Skokie Blvd Ste 105,Northbrook,IL,22,22000583259
2019,Closed,316,Billing Issues,513200-Cable Networks & Program Distribution,,1323 34th Ave,Fife,WA,107,107000554735
2017,Closed,7,Warranty,"233000-General Contracting, building, & developing",,PO Box 1135 ,Sumner,WA,6,6000512115
2016,Closed,13,Misrepresentation of product or service,511210-Software Publishers,Software Publishers,One Microsoft Wy,Redmond,WA,10,10000480095
2018,New,999,Other/Miscellaneous,488400-Motor Vehicle Towing,,3834 4th Ave S,Seattle,WA,60,60000535144
2019,Closed,17,Imposter scam,990000-Unclassified Establishments,,,,  ,194,194000542961
2013,Closed,632,Rules & enforcement,721100-Travel Accomodations,Travel Accomodations,6355 Metro W Blvd Ste 180,Orlando,FL,147,147000423293
2018,Closed,17,Imposter scam,993000-Phishing,,This is the ALL Major,,  ,194,194000525905
2017,New,999,Other/Miscellaneous,921190-Government (General),,PO Box 24928,Seattle,WA,60,60000503996
2013,Closed,22,Failure To Adjust/Refund,"453000-Misc. Stores (incl. florists, office supplies, gif","Misc. Stores (incl. florists, office supplies, gif",One Geoffrey Way,Wayne,NJ,16,16000423095
2020,Closed,444,Foreclosure Issue,522390-Real Estate Loan Servicing,,,Eureka,WA,155,155000566132
2020,Closed,443,Unsolicited Text Message,990000-Unclassified Establishments,,,,  ,165,165000569786
2017,Closed,213,Free to Pay,"511100-Newspaper, Periodicals, Book & Database Publishers",,,Palm Coast,FL,164,164000511764
2017,Closed,300,Excessive Price or Charge,"235000-Special trade Contractors (includes plumbers, elec",,1901 Center St,Tacoma,WA,32,32000521710
2020,Closed,996,COVID-19,920000-Public Administration,,1125 Washington St SE,Olympia,WA,216,216000570738
2020,Closed,13,Misrepresentation of product or service,454100-Electronic Shopping & Mail Order Houses,,1226 S Angelo St,Seattle,WA,10,10000563342
2021,Closed,303,Questionable Quality Product/Service,990000-Unclassified Establishments,,,,  ,35,35000590593
2013,Closed,28,Other Vulnerable Audience Exploitation,511000-Publishing Industries,Publishing Industries,PO Box 321,Pinellas Park,FL,103,103000427578
2020,New,999,Other/Miscellaneous,531311-Residential property managers (includes landlords),,25102 62nd Ave S,Kent,WA,60,60000574984
2020,Closed,415,Unemployment Fraud,920000-Public Administration,,PO Box 9046,Olympia,WA,218,218000571992
2020,Closed,410,Discrimination,813300-Social Advocacy Organizations,,,Olympia,WA,47,47000565712
2016,Closed,222,Advance Fee Fraud,992000-Advance Fee Fraud,,,Ciudad de Mexico,  ,114,114000483582
