Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
"Department for Environment, Food and Rural Affairs",Ministerial Department,"Department for Environment, Food and Rural Affairs",167,158.97,319,305.06,973,940.26,546,524.83,95,91.55,0,0,2100,2020.67,19,19,10,10,60,60,1,1,90,90,2190,2110.67,"£6,851,365",£0,"£8,104","£51,158","£1,308,856","£570,518","£8,790,001","£744,985","£17,840","£762,825","£9,552,826",
Animal Health and Veterinary Laboratories Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",833,761.01,552,518.94,754,708.22,177,172.31,8,8,0,0,2324,2168.48,38,37.4,0,0,40,40,0,0,78,77.4,2402,2245.88,"£5,324,259","£88,786","£11,900","£72,132","£1,038,411","£415,548","£6,951,036","£197,381",£0,"£197,381","£7,148,417",
"Centre for Environment, Fisheries and Aquaculture Science",Executive Agency,"Department for Environment, Food and Rural Affairs",80,75.35,130,123.48,246,230.74,89,84.42,3,3,0,0,548,516.99,0,0,0,0,0,0,0,0,0,0,548,516.99,"£1,306,518","£40,767",£0,"£15,231","£248,934","£103,525","£1,714,975",£0,£0,£0,"£1,714,975",
Food and Environment Research Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",150,138.52,134,123.58,210,193.65,76,73.19,4,4,15,15,589,547.94,11,11,3,3,5,5,2,2,21,21,610,568.94,"£1,284,326","£16,021","£34,160","£11,822","£94,934","£239,930","£1,681,193","£84,742","£101,576","£186,318","£1,867,511",
Rural Payments Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",769,679.66,647,597.78,589,564.47,167,165.4,16,16,0,0,2188,2023.31,53,53,59,59,0,0,0,0,112,112,2300,2135.31,"£4,662,891","£85,750","£7,025","£85,230","£858,630","£349,602","£6,049,129","£56,499","£696,621","£753,119","£6,802,248",
Veterinary Medicines Directorate ,Executive Agency,"Department for Environment, Food and Rural Affairs",38,36.54,29,27.96,49,48.09,41,40.7,3,3,0,0,160,156.29,6,4.5,0,0,3,1.4,0,0,9,5.9,169,162.19,"£461,841","£9,733","£11,200",£187,"£93,530","£45,526","£622,017","£23,369",£0,"£23,369","£645,386",
Agricultural Wages Board for England and Wales,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Board does not employ any staff
Agricultural Wages Committee x 15,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Committees do not employ any staff
Agriculture and Horticulture Development Board,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,0,0,0,0,0,0,0,0,390,379.56,390,379.56,15,15,0,0,5,5,0,0,20,20,410,399.56,"£1,112,939","£45,823",£0,£255,"£96,250","£122,416","£1,377,683","£38,443",£0,"£38,443","£1,416,126",AHDB is funded through a levy paid by farmers and others in the agricultural supply chain.  No funding towards staffing or other running costs is received from the Government. 
Consumer Council for Water,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",10,9.42,27,25.79,19,18.81,8,8,5,5,0,0,69,67.02,2,2,1,1,0,0,0,0,3,3,72,70.02,"£184,922","£3,783",£0,£0,"£33,143","£15,649","£237,497","£12,942",£0,"£12,942","£250,439",
