CAMIS,DBA,PHONE,CUISINE DESCRIPTION,SCORE,INSPECTION TYPE,BBL,NTA
50091820,NYC FALAFEL CO,6469186877,Indian,53.0,Cycle Inspection / Initial Inspection,1004170019.0,MN27
50002120,STARBUCKS,2124871906,Coffee/Tea,9.0,Cycle Inspection / Initial Inspection,1000337501.0,MN25
50072218,CHINA MOON OPEN KITCHEN,7184494088,Chinese,,Administrative Miscellaneous / Initial Inspection,3069090003.0,BK29
50051064,GREGORYS COFFEE,2127646730,Coffee/Tea,5.0,Cycle Inspection / Initial Inspection,1008150001.0,MN17
50048617,HALAL BUFFET,7183223333,Middle Eastern,32.0,Cycle Inspection / Initial Inspection,4119660017.0,QN76
50070412,CROWN FRIED CHICKEN,3475244071,Chicken,11.0,Pre-permit (Operational) / Initial Inspection,2039320174.0,BX46
41719380,JACKS COFFEE,2126752007,Coffee/Tea,39.0,Cycle Inspection / Initial Inspection,1006460057.0,MN23
50046505,LE BAOBAB GOUYGI II RESTAURANT,7184844866,African,67.0,Cycle Inspection / Re-inspection,3018420054.0,BK75
40400686,PEKING DUCK HOUSE,2127598260,Chinese,14.0,Cycle Inspection / Reopening Inspection,1013260033.0,MN19
50005885,MANCORA BAR & APNA MASALA INDIAN CUISINE,9172999478,Indian,33.0,Cycle Inspection / Re-inspection,1004470028.0,MN22
50079098,"RBQ BAR, RESTAURANT AND MARKET",9178035678,Barbecue,27.0,Cycle Inspection / Initial Inspection,4161530001.0,QN10
41688851,VIA PONTE PIZZERIA,7188160567,Pizza,23.0,Cycle Inspection / Initial Inspection,5031000006.0,SI14
50036053,ASADERO LA FOGATA,3476146034,Latin American,14.0,Cycle Inspection / Re-inspection,4019440205.0,QN25
50081288,LUZZO'S,7184330555,Pizza,22.0,Pre-permit (Operational) / Initial Inspection,4004297501.0,QN31
40393761,SAN PIETRO,2127539015,Italian,37.0,Cycle Inspection / Initial Inspection,1012890014.0,MN17
50095564,CITY TAMALE,7189911606,Mexican,16.0,Pre-permit (Operational) / Initial Inspection,2027720087.0,BX27
40856729,"CRIF DOGS , PLEASE DON'T TELL",2126142728,American,8.0,Cycle Inspection / Reopening Inspection,1004360040.0,MN22
40746560,BOWLERO,7186510440,American,30.0,Cycle Inspection / Initial Inspection,4012560001.0,QN28
50064646,IMLI,2122560073,Indian,33.0,Cycle Inspection / Initial Inspection,1014570004.0,MN31
40854950,RISTORANTE SETTEPANI,9174924806,Italian,21.0,Cycle Inspection / Initial Inspection,1017180069.0,MN11
40979620,JACK'S COFFEE,2129290821,Coffee/Tea,7.0,Cycle Inspection / Initial Inspection,1006100048.0,MN23
50042621,RAIN II,3475834044,Thai,18.0,Cycle Inspection / Initial Inspection,1021220084.0,MN36
50036552,CHIPTOLE MEXICAN GRILL #2407,7183392197,Mexican,18.0,Cycle Inspection / Initial Inspection,3067760035.0,BK25
50066664,GOURMET BAGEL,2125353030,Sandwiches,11.0,Cycle Inspection / Re-inspection,1014000016.0,MN40
40665052,LA CARRETA RESTAURANT,7185673566,Latin American,11.0,Cycle Inspection / Initial Inspection,3007910001.0,BK32
41413288,MR. WONTON,7184821117,Chinese,19.0,Cycle Inspection / Re-inspection,4002680011.0,QN31
50081955,STAND UP CAFE,7182328866,Chinese,23.0,Cycle Inspection / Initial Inspection,3061940003.0,BK28
41685091,SPIRO'S CAFE & PIZZA,7188405780,Spanish,41.0,Cycle Inspection / Initial Inspection,3006920041.0,BK32
50056755,FRAME,2127190111,Sandwiches,17.0,Cycle Inspection / Initial Inspection,1007890040.0,MN17
40425143,BAGEL SHOPPE,7184236692,Bagels/Pretzels,10.0,Cycle Inspection / Initial Inspection,4076380001.0,QN42
41659448,JOHN'S RESTAURANT,9175094668,American,25.0,Cycle Inspection / Re-inspection,4101020004.0,QN61
50017293,MANOUSHEH,3479715778,Middle Eastern,12.0,Cycle Inspection / Initial Inspection,1005427502.0,MN23
50066689,TD BIG J DELI CORP.,7183922525,Latin American,29.0,Cycle Inspection / Initial Inspection,4003110003.0,QN31
50001842,AMAZE,2126888808,Asian/Asian Fusion,36.0,Cycle Inspection / Initial Inspection,1013700001.0,MN19
40845101,AZALEA,2122620105,Italian,23.0,Cycle Inspection / Initial Inspection,1010220043.0,MN17
50064578,JUNIOR'S RESTAURANT,2123655900,American,13.0,Cycle Inspection / Initial Inspection,1010210026.0,MN17
50101734,57th BAGELS & MORE,6463580865,Bagels/Pretzels,12.0,Pre-permit (Operational) / Initial Inspection,1010860030.0,MN15
50052256,NORWINDS,7184171450,Latin American,13.0,Cycle Inspection / Initial Inspection,3030120026.0,BK77
41421128,MARY O'S,2125055610,American,12.0,Cycle Inspection / Initial Inspection,1003980004.0,MN22
50003842,T- 45,6466403775,American,12.0,Cycle Inspection / Initial Inspection,1009980015.0,MN17
50033207,ISTANBUL BAY TURKISH CAFE,7187144300,Turkish,11.0,Cycle Inspection / Re-inspection,3063810037.0,BK28
50016961,NEW TOP TACO & CHINA,7186152288,Tex-Mex,13.0,Cycle Inspection / Re-inspection,3074590034.0,BK17
41474909,MI CASITA RESTARANT,2122343331,Mexican,31.0,Cycle Inspection / Initial Inspection,1019870031.0,MN06
41606171,IHOP,2123881499,Pancakes/Waffles,13.0,Cycle Inspection / Initial Inspection,1.0,
50044770,MAMAN,6468828682,Sandwiches/Salads/Mixed Buffet,11.0,Cycle Inspection / Re-inspection,1001787502.0,MN24
50010055,NEW HONG KONG,7187672333,Chinese,11.0,Cycle Inspection / Initial Inspection,4045460028.0,QN49
50049804,ASKA,9174153265,Scandinavian,13.0,Cycle Inspection / Re-inspection,,
50038675,KAM MAN KITCHEN,7182823400,Chinese,16.0,Cycle Inspection / Initial Inspection,3051080041.0,BK95
41311922,HAPPY FRESH TORTILLA GRILL,7184999881,Tex-Mex,7.0,Cycle Inspection / Re-inspection,3010880001.0,BK37
50064934,SIMMER DOWN RESTAURANT,7183426128,Caribbean,48.0,Cycle Inspection / Initial Inspection,3015520007.0,BK79
50050214,CARNIVAL PALACE,7188466888,Chinese,9.0,Cycle Inspection / Re-inspection,4088700053.0,QN53
41575103,PAPA JOHN'S,7187847272,Pizza,12.0,Cycle Inspection / Initial Inspection,4002020031.0,QN31
50013555,GRILL ON THE HILL,6468388879,American,10.0,Cycle Inspection / Re-inspection,1020727501.0,MN04
40394761,E & L BAKERY & COFFEE SHOP,7183248152,Bakery Products/Desserts,9.0,Cycle Inspection / Re-inspection,2049970058.0,BX62
50011932,ANTICA RISTORANTE,2124803880,Italian,23.0,Cycle Inspection / Re-inspection,1000100033.0,MN25
50060130,NO. 1 RESTAURANT,2129520890,Chinese,0.0,Pre-permit (Operational) / Re-inspection,1000290086.0,MN25
50056949,SABI SUSHI,6468632374,Japanese,7.0,Cycle Inspection / Re-inspection,1000047501.0,MN25
50015572,BUTTER LANE,2126772880,Bakery Products/Desserts,22.0,Cycle Inspection / Initial Inspection,1004350041.0,MN22
50010978,NEW CHANG LE FAN DIAN,7185673888,Chinese,21.0,Cycle Inspection / Initial Inspection,3008420039.0,BK34
41498400,THE BEDFORD,7183021002,American,10.0,Cycle Inspection / Re-inspection,3022970013.0,BK73
41441357,FEI HUANG BAKERY,7182322268,Bakery Products/Desserts,11.0,Cycle Inspection / Re-inspection,3055420002.0,BK28
41247133,MERMELSTEIN CATERERS,7187783100,Jewish/Kosher,24.0,Cycle Inspection / Re-inspection,3012860001.0,BK63
41499313,YI HONG RESTAURANT,7182416570,Chinese,13.0,Cycle Inspection / Initial Inspection,3082370010.0,BK50
41621317,GRACE KITCHEN,7185295850,Chinese,10.0,Cycle Inspection / Initial Inspection,4116390038.0,QN55
41535706,AFGHAN KEBOB HOUSE,7183431160,Afghan,15.0,Cycle Inspection / Initial Inspection,4087710006.0,QN44
50033249,LOIS BAR,2124751400,American,12.0,Cycle Inspection / Re-inspection,1003760005.0,MN28
41635314,SUBWAY,7186841582,Sandwiches,22.0,Cycle Inspection / Re-inspection,2043170060.0,BX49
50079930,MAH KENNEDY FRIED CHICKEN,7189812400,Chicken,12.0,Cycle Inspection / Re-inspection,5000470109.0,SI22
