CAMIS,DBA,PHONE,CUISINE DESCRIPTION,SCORE,INSPECTION TYPE,BBL,NTA
50087943,Wayan,9172614388,Indonesian,27.0,Pre-permit (Non-operational) / Initial Inspection,1004790018.0,MN24
50037823,BAI DAR CAFE,9176851431,Mediterranean,12.0,Cycle Inspection / Initial Inspection,3058620046.0,BK31
50074248,BAKE CULTURE,6468582898,Bakery Products/Desserts,39.0,Pre-permit (Operational) / Initial Inspection,1002020025.0,MN27
50044928,KELLY D JAMAICAN AND AMERICAN RESTAURANT,7189490390,Caribbean,12.0,Cycle Inspection / Re-inspection,4129630340.0,QN66
50017469,HOUSE OF SEAFOOD EXPRESS,9178737039,Seafood,20.0,Cycle Inspection / Initial Inspection,1019160031.0,MN03
41412502,CAFE GRUMPY,7184994404,American,13.0,Cycle Inspection / Initial Inspection,3010960004.0,BK37
50007974,MR CAKE BAKERY & DESSERT,7186841166,Bakery Products/Desserts,13.0,Cycle Inspection / Initial Inspection,2038200001.0,BX59
50018668,SVL BAR,7188046957,Greek,12.0,Cycle Inspection / Re-inspection,4.0,QN71
41299757,1 OAK,2122421111,American,,Administrative Miscellaneous / Initial Inspection,1007150005.0,MN13
50037985,PICK AND EAT 2,2127950056,American,21.0,Cycle Inspection / Initial Inspection,1022350020.0,MN01
50039363,ESANATION,2123150555,Thai,16.0,Cycle Inspection / Initial Inspection,1010410064.0,MN15
50035278,MEXICUE,6469227289,Mexican,2.0,Cycle Inspection / Initial Inspection,1008567502.0,MN13
50048546,THAILAND CAFE,2124771872,Thai,13.0,Cycle Inspection / Re-inspection,1004610031.0,MN22
41351700,CARVEL,7188220407,Frozen Desserts,9.0,Cycle Inspection / Initial Inspection,2043060008.0,BX49
41201799,CHIPOTLE MEXICAN GRILL,2125758424,Tex-Mex,8.0,Cycle Inspection / Initial Inspection,1010010029.0,MN17
50050712,PIG BEACH,9172591176,Barbecue,40.0,Cycle Inspection / Re-inspection,3004380007.0,BK33
40654328,CAFE AL MERCATO,7183647681,Pizza,15.0,Cycle Inspection / Initial Inspection,2030730013.0,BX06
50048548,KENNEDY FRIED CHICKEN,7186846364,Chicken,13.0,Cycle Inspection / Re-inspection,2033210067.0,BX05
50098576,1 DOZEN,6466176570,Bakery Products/Desserts,11.0,Pre-permit (Operational) / Initial Inspection,3011120003.0,BK37
50059945,LOTUS 1,7189563388,Southeast Asian,12.0,Cycle Inspection / Re-inspection,4006820001.0,QN70
50007306,CORNER GRIND,9172130611,American,26.0,Cycle Inspection / Initial Inspection,3018270001.0,BK75
41611969,CATCH,2123923978,Seafood,12.0,Cycle Inspection / Re-inspection,1006450044.0,MN23
50002135,HALAL FRIED CHICKEN & PIZZA,3474046843,Chicken,12.0,Cycle Inspection / Initial Inspection,3037040016.0,BK85
40378774,FAME DINER,7184784674,American,41.0,Cycle Inspection / Initial Inspection,4025010029.0,QN30
41558513,ESSEN DELI,7188591002,Jewish/Kosher,13.0,Cycle Inspection / Initial Inspection,3067130082.0,BK43
50014212,CHICKEN SHACK,7187213035,Chicken,56.0,Cycle Inspection / Re-inspection,4006490001.0,QN70
50059272,SISTERS,3477632537,American,29.0,Cycle Inspection / Initial Inspection,3020120032.0,BK69
