Minister,Date,Name of organisation or individual,Purpose of meeting
Greg Clark ,09/10/2017,"JCB Company, Emma Bridgewater Factory, Whitbread plc, Vodafone Group plc,  Nestle UK & Ireland, Aston Martin Lagonda Ltd, Balfour Beatty plc, Morgan Stanley Wealth Management, WPP plc, HSBC Holdings plc, UK & Ireland Managing Partner EY, GlaxoSmithKline, Associated British Foods plc",Prime Ministers Business Council
Greg Clark ,10/10/2017,"Opel Group, Vauxhall Motors Limited, Group General Counsel - Groupe PSA",To discuss automotive issues
Greg Clark ,11/10/2017,"Confederation of British Industry, British Chambers of Commerce, Institute of Directors, EEF -The Manufacturers Organisation",To discuss Industrial Strategy
Greg Clark ,11/10/2017,Unite the Union,To discuss issues affecting the aerospace industry
Greg Clark ,11/10/2017,Trade Union Congress,To discuss EU Exit and Industrial Strategy
Greg Clark ,11/10/2017,EEF - The Manufacturers Organisation,To discuss the cost of Energy Review (by telephone)
Greg Clark ,12/10/2017,Boeing International & Boeing UK,To discuss issues affecting the aerospace industry
Greg Clark ,13/10/2017,Bombardier Inc,To discuss issues affecting the aerospace industry (by telephone)
Greg Clark ,13/10/2017,BMW Company,To discuss automotive issues (by telephone)
Greg Clark ,16/10/2017,"Morgan Stanley International, US Chamber of Commerce",To discuss future EU Exit
Greg Clark ,16/10/2017,Bombardier Inc,To discuss issues affecting the aerospace industry (by telephone)
Greg Clark ,17/10/2017,"Statoil ASA, New Energy Solutions Ltd,",To discuss Industrial Strategy
Greg Clark ,18/10/2017,"Confederation of British Industry, EEF -The Manufacturers Organisation, Federation of Small Businesses",To discuss Industrial Strategy
Greg Clark ,18/10/2017,Jaguar Land Rover ,To discuss the automotive Sector
Greg Clark ,18/10/2017,SembCorp Utilities (UK) Limited,To discuss energy issues
Greg Clark ,18/10/2017,Ford Motor Company,To discuss automotive issues
Greg Clark , 2017-10-18,Bombardier Inc,To discuss issues affecting the aerospace industry (by telephone)
Greg Clark ,19/10/2017,EDF Energy Company,To discuss energy issues
Greg Clark ,19/10/2017,Korea Electric Power Corporation,To discuss energy issues
Greg Clark ,23/10/2017,Rolls Royce Ltd,To discuss issues affecting the aerospace industry
Greg Clark ,25/10/2017,E.ON UK,To discuss Industrial Strategy and future for energy in Britain
Greg Clark ,30/10/2017,"Confederation of British Industry, EEF -The Manufacturers Organisation, Federation of Small Businesses, British Chambers of Commerce, Institute of Directors",EU Exit Business Advisory Group 
