name,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,address1,address2,address3,longitude,latitude,easting,northing,runtime
Moth Club,HACKNEY,www.mothclub.co.uk,100023022302.0,E09000012,Homerton,E05009376,Hackney Trades Hall Valette Street,Hackney,,-0.0544200069460836,51.5456389548926,535005.9632945792,184764.9226076908,04/11/2021
Total Refreshment Centre,,www.totalrefreshment.net,,,,,2A Foulden Road,,,-0.0738396010883762,51.55578362091325,533629.8136675081,185857.36230870135,04/11/2021
The White Hart,Lewisham,,100000000000.0,E09000023,Telegraph Hill,E05000453,184 New Cross Road,Lewisham,,-0.0467074016127809,51.47449528776908,535751.9632140604,176867.92487308604,04/11/2021
The Camden Assembly Pub,Camden,www.camdenassembly.com,5020249.0,E09000007,Haverstock,E05000136,49 Chalk Farm Road,Camden,,-0.1492784558085157,51.543119103378885,528435.9652038788,184313.92285042212,04/11/2021
Peckham Levels,Southwark,www.peckhamlevels.org/events,0.0,E09000028,Rye Lane,E05011113,Peckham Levels 95a Rye Lane,London Se15 4st,,-0.0681923499121909,51.47074174162057,534270.9636170462,176410.92499714927,04/11/2021
Fold,,www.shapescollective.com,,,,,Gillian House,Stephenson Street,,0.0042112821756739,51.5193377645108,539151.3130732048,181949.91494428957,04/11/2021
Kansas Smitty's,,www.kansassmittys.com,,,,,63-65 Broadway Market,,,-0.0613943995392465,51.537326413861926,534546.8794309753,183827.6977736061,04/11/2021
Big Easy,,www.bigeasy.co.uk,,,,,Crossrail Place,,,-0.0177852098319986,51.5043819746329,537670.3732484231,180245.28993495132,04/11/2021
Sister Midnight Records,,www.sistermidnightrecords.co.uk,,,,,4 Tanner's Hill,,,-0.0259940968013587,51.47468690951841,537189.8000313122,176927.82970821584,04/11/2021
Tooting Tram & Social,,www.tootingtramandsocial.co.uk,,,,,46-48 Mitcham Rd,,,-0.1669589792367957,51.42678940479523,527533.8778263828,171347.05750186573,04/11/2021
The Unicorn,Camden,www.theunicorncamden.com,,,,,227a Camden Road,,,-0.129557504808049,51.54890978080631,529786.9459722242,184992.6256681297,04/11/2021
St John's Music Hall,,www.musichalls.org/posts/st-johns-music-hall,,,,,High Rd,Leytonstone,,0.0109162830594339,51.56877283822514,539465.3679926491,187459.92076741796,04/11/2021
EartH,,https://earthackney.co.uk/,,,,,11-17 Stoke Newington Rd,,,-0.0751935503341895,51.55084592303333,533550.39205956,185305.80706112183,04/11/2021
Jamboree,,www.jamboreevenue.co.uk,,,,,27 Three Colt St,,,-0.029687355537876,51.511701432956485,536822.4619738912,181036.89368517045,04/11/2021
Oslo Hackney,,www.oslohackney.com,,,,,1A Amhurst Rd,,,-0.0575148540344569,51.54801828674351,534784.360962462,185023.801404032,04/11/2021
Pickle Factory,,www.ovalspace.co.uk,,,,,13-14 The Oval,,,-0.0592930222281482,51.53260751033441,534706.5269805504,183306.80740715173,04/11/2021
Paper Dress Vintage,,www.paperdressvintage.co.uk,,,,,352 Mare Street,,,-0.0547680124876976,51.54738629954975,534976.6712835147,184958.58790049847,04/11/2021
Slim Jim's Liquor Store,Islington,www.slimjimsliquorstore.com,,,,,112 Upper St,,,-0.1028648772999315,51.5379902816437,531669.0735775583,183826.0322376142,04/11/2021
The Sound Lounge,,www.thesoundlounge.org.uk,,,,,216-220 High Street,,,-0.1942187448437319,51.36654935595027,525803.8627152424,164601.26359956502,04/11/2021
Under the Bridge,,www.underthebridge.co.uk,,,,,Fulham Road,,,-0.1899841105871755,51.48201340795256,525781.5533077489,177448.23708703718,04/11/2021
Leytonstone Ex-Servicemens Club,Waltham Forest,www.leytonstonesocial.club,100000000000.0,E09000031,Leytonstone,E05000605,2 Harvey Road,Waltham Forest,,0.0116568187570074,51.567375291470185,539520.9621899968,187305.922038068,04/11/2021
Thousand Island,Islington,www.thegarage.london/listings/#=.thousand-island,0.0,E09000019,Highbury East,E05000372,20-22 Highbury Corner Highbury East,,,-0.104002006219068,51.54674851266244,531564.9643505255,184797.92271902488,04/11/2021
The Fighting Cocks,Kingston Upon Thames,www.the-fighting-cocks.co.uk,100000000000.0,E09000021,Grove,E05000408,56 Old London Road,Kingston Upon Thames,,-0.2981579626575987,51.410673610519005,518454.9679166389,169334.9269209631,04/11/2021
The Hideaway,Lambeth,http://www.hideawaylive.co.uk/,100000000000.0,E09000022,St. Leonard's,E05000428,2 Empire Mews,Lambeth,,-0.1304128103038768,51.426606974694415,530074.9647564064,171390.92636150663,04/11/2021
The White Lion,Lambeth,www.whitelionsw16.co.uk,100000000000.0,E09000022,St. Leonard's,E05000428,234 Streatham High Road,Lambeth,,-0.1297740749573064,51.43062554385583,530107.964746516,171838.92624119652,04/11/2021
The Bedford,Wandsworth,www.thebedford.com,100000000000.0,E09000032,Balham,E05000610,77 Bedford Hill,Wandsworth,,-0.1492693561952485,51.44267957995069,528718.965126215,173144.92588812468,04/11/2021
The Windmill,Lewisham,www.windmillbrixton.co.uk,100000000000.0,E09000023,Perry Vale,E05000450,22 Blenheim Gardens,Lambeth,,-0.0502010313431171,51.44152254603548,535606.9632524624,173194.92587350006,04/11/2021
Patchworks,Richmond Upon Thames,www.cabbagepatch.co.ukwhats-on,100000000000.0,E09000027,Twickenham Riverside,E05000531,67 London Road,Richmond Upon Thames,,-0.3299701627921004,51.44880938281385,516145.96854343126,173524.92578232285,04/11/2021
