CAMIS,DBA,PHONE,CUISINE DESCRIPTION,SCORE,INSPECTION TYPE,BBL,NTA
41387635,ANGELOS DELI RESTAURANT,7183864423,Mexican,9.0,Cycle Inspection / Re-inspection,4026110130.0,QN30
50060968,NEPALI BHANCHHA GHAR,3477614223,Asian/Asian Fusion,30.0,Cycle Inspection / Initial Inspection,4012850004.0,QN28
50017262,ROYAL CUISINE YARD FOOD,3474046346,Caribbean,39.0,Cycle Inspection / Initial Inspection,3014080037.0,BK61
40400710,IL BUCO RESTAURANT,2125331932,Italian,41.0,Cycle Inspection / Initial Inspection,1005297506.0,MN23
41470674,ONE AND ONE,2125989126,Irish,13.0,Cycle Inspection / Re-inspection,1004290001.0,MN22
40819045,RATHBONES PUB,2123697361,American,13.0,Cycle Inspection / Initial Inspection,1015510002.0,MN32
50078907,A-JIAO SICHUAN CHINESE,2128288996,Chinese,21.0,Pre-permit (Operational) / Initial Inspection,1015400022.0,MN32
41606738,BARKOGI,2123088810,Asian/Asian Fusion,10.0,Cycle Inspection / Initial Inspection,1013240028.0,MN19
41657014,PICCOLO CAFE,2128730962,Italian,28.0,Cycle Inspection / Initial Inspection,1011467504.0,MN12
50072608,B.B.Q VILLAGE,7182989099,Indian,11.0,Pre-permit (Operational) / Re-inspection,4099170043.0,QN61
50098804,GYRO EXPRESS,7187699228,Middle Eastern,31.0,Pre-permit (Operational) / Initial Inspection,3086780073.0,BK19
40720280,THE HISTORIC OLD BERMUDA INN,7189487600,American,25.0,Cycle Inspection / Initial Inspection,5070720001.0,SI32
41177892,LAKE COMO PIZZA,2127400110,Pizza,16.0,Cycle Inspection / Initial Inspection,1021490093.0,MN35
41454767,OLD FULTON RESTAURANT,7187970007,Italian,25.0,Cycle Inspection / Initial Inspection,3000350011.0,BK38
50033133,TEXAS CHICKEN & BURGERS,3474981100,Chicken,37.0,Cycle Inspection / Initial Inspection,2031920001.0,BX36
50007366,THE ROOST,6469186700,Coffee/Tea,25.0,Cycle Inspection / Initial Inspection,1004070034.0,MN22
50091594,MI DULCE MEXICO,3475381351,Bakery Products/Desserts,26.0,Pre-permit (Operational) / Initial Inspection,4017370028.0,QN26
41617076,THE SPOT KARAOKE LOUNGE,2125646600,Korean,27.0,Cycle Inspection / Re-inspection,1008330063.0,MN17
50043957,GOLDEN CHOPSTICKS,7188538811,Chinese,7.0,Cycle Inspection / Initial Inspection,3007780004.0,BK34
50033472,MY PIZZA,7182990059,Pizza,9.0,Cycle Inspection / Initial Inspection,2028780216.0,BX36
41385990,MITOUSHI JAPANESE SUSHI,7189989882,Japanese,29.0,Cycle Inspection / Initial Inspection,3067750039.0,BK25
41687795,BROADWAY CHINESE SEAFOOD,7186990688,Chinese,39.0,Cycle Inspection / Initial Inspection,4015807501.0,QN29
40559546,PASHA TURKISH RESTAURANT,2125798751,Turkish,22.0,Cycle Inspection / Initial Inspection,1011230061.0,MN14
40799210,JOYA,7182223484,Thai,18.0,Cycle Inspection / Initial Inspection,3003900004.0,BK38
50070785,XI TOP BBQ,9172852790,Chinese,12.0,Cycle Inspection / Initial Inspection,4050290037.0,QN51
50040886,BOON THAI,7183498215,Thai,12.0,Cycle Inspection / Re-inspection,3026450014.0,BK76
50089891,NOM!,6465685186,American,9.0,Cycle Inspection / Initial Inspection,1005680018.0,MN23
50072785,"DUNKIN DONUTS, BASKIN ROBBINS",7184980178,Donuts,8.0,Cycle Inspection / Initial Inspection,3037430003.0,BK81
50055296,SAPPHIRE 39,2123556777,American,30.0,Cycle Inspection / Initial Inspection,1008400060.0,MN17
41362527,CUSTOM BURGER,7186566210,Hamburgers,9.0,Cycle Inspection / Initial Inspection,,
40705931,BLUE HILL RESTAURANT,2125391776,American,5.0,Cycle Inspection / Re-inspection,1005520066.0,MN23
50010956,"ROYAL QUEEN, THE REAL KTV",7183583388,Chinese,27.0,Cycle Inspection / Initial Inspection,4050190005.0,QN22
41547298,FRAUNCES TAVERN,2129681776,American,27.0,Cycle Inspection / Re-inspection,1000070035.0,MN25
50087280,NEW LIN WANG,7182727778,Chinese,62.0,Pre-permit (Operational) / Initial Inspection,3082400001.0,BK50
40521003,TOPAZE RESTAURANT & JERK CHICKEN,7184447070,Caribbean,7.0,Cycle Inspection / Re-inspection,3077980033.0,BK58
50038278,TACO REY RESTAURANT #2,7189750404,Tex-Mex,19.0,Cycle Inspection / Re-inspection,2030730030.0,BX06
50045209,POP'S RESTAURANT,7188462037,Spanish,21.0,Cycle Inspection / Initial Inspection,4089220010.0,QN53
50012273,"HALSEY'S TAVERN, MOM'S KITCHEN & BAR",7182670142,American,13.0,Cycle Inspection / Re-inspection,4006250108.0,QN70
41608274,HAPPY HOUSE EXPRESS,7189778260,Chinese,25.0,Cycle Inspection / Initial Inspection,4110820020.0,QN33
50043712,EMPANADA LOCA,7183692118,American,9.0,Cycle Inspection / Initial Inspection,3006280037.0,BK37
50000167,AMC THEATRES (LOEWS ORPHEUM),2128762111,American,5.0,Cycle Inspection / Initial Inspection,1015157503.0,MN40
50066388,GOLDEN LEO RESTAURANT,7183327777,Russian,13.0,Cycle Inspection / Re-inspection,3087710127.0,BK17
50000938,DONOVAN'S PUB,7184299339,American,0.0,Inter-Agency Task Force / Initial Inspection,4013280038.0,QN63
41716906,STARBUCKS,2124814690,Coffee/Tea,3.0,Cycle Inspection / Initial Inspection,1009087501.0,MN20
50106327,GRANNY ANNIE'S BAR & KITCHEN,6465968582,,,,1013737502.0,MN31
50046634,A GUSTO,3475339961,Thai,,Administrative Miscellaneous / Initial Inspection,3018630021.0,BK61
50071561,BLUE BOTTLE COFFEE,4156864471,Coffee/Tea,16.0,Cycle Inspection / Re-inspection,3023507502.0,BK73
41320925,PANERA BREAD,7182246320,American,17.0,Cycle Inspection / Initial Inspection,4082560002.0,QN45
50071397,Q & I BAKERY,7182382638,Bakery Products/Desserts,50.0,Pre-permit (Operational) / Initial Inspection,3057510045.0,BK30
41609414,PRIME AVENUE,3475649041,Jewish/Kosher,27.0,Cycle Inspection / Re-inspection,3012930001.0,BK63
50079736,WING CLUB,9179150674,American,11.0,Cycle Inspection / Initial Inspection,1007380008.0,MN13
50013222,MOE'S DOUGH'S,7183492045,Bakery Products/Desserts,4.0,Cycle Inspection / Initial Inspection,3026820006.0,BK76
41451015,PRIVILEGE LOUNGE,3472205277,American,13.0,Cycle Inspection / Re-inspection,3030710005.0,BK78
50005085,EL NUEVO TINA RESTAURANT,2122221104,Spanish,11.0,Cycle Inspection / Initial Inspection,1019820020.0,MN06
50007604,WONDERFUL RESTAURANT,7183252800,Chinese,10.0,Cycle Inspection / Re-inspection,2033980061.0,BX62
41458571,WESTVILLE,2129242201,American,14.0,Cycle Inspection / Initial Inspection,1007670067.0,MN13
50059047,JJ KITCHEN,7186360602,Chinese,17.0,Pre-permit (Operational) / Initial Inspection,3018900087.0,BK69
41628427,KFC,3474850933,Chicken,10.0,Cycle Inspection / Re-inspection,3019500031.0,BK75
50068847,52ND SUSHI,7185079204,Japanese,19.0,Cycle Inspection / Initial Inspection,4013150073.0,QN31
50059684,ASHOKA,2128751400,Indian,55.0,Cycle Inspection / Initial Inspection,1011970064.0,MN12
