Indicator Name,Age Group,County,Provider,Eligible Population,Number With QI Flag,Rate High?
3AP,18+,Schenectady,County,1527,3,
3AP,18+,Greene,County,277,1,
2AP,18+,Allegany,County,103,5,
2AP,18+,Rockland,County,1075,191,
2AP,18+,Queens,"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC",327,45,NO
3AP,18+,Tompkins,County,377,1,
2AP,18+,Delaware,County,119,11,
3AP,18+,Manhattan,"EASTER SEALS NEW YORK, INC.",21,0,
2AP,18+,Bronx,"UNITED BRONX PARENTS, INC.",251,17,
2AP,18+,Erie,BUFFALO BEACON CORPORATION DBA BEACON CENTER,102,8,
2AP,0-17,Seneca,County,20,1,
2AP,18+,Queens,County,10132,1302,
2AP,0-17,Nassau,NORTH SHORE-LIJ BEHAVIORAL HEALTH SYSTEM,91,2,
2AP,0-17,Greene,County,57,4,
2AP,18+,Orleans,ORLEANS COUNTY DEPARTMENT OF MENTAL HEALTH,82,5,
2AP,18+,Schenectady,County,1628,123,
2AP,0-17,Queens,County,603,22,
3AP,0-17,Niagara,County,311,0,
3AP,0-17,Cayuga,AUBURN COMMUNITY HOSPITAL,58,0,
2AP,18+,Brooklyn,CONEY ISLAND HOSPITAL SCM,28,2,NO
2AP,18+,Manhattan,County,26083,2604,
2AP,18+,Nassau,County,5346,636,
2AP,0-17,Montgomery,County,154,6,
3AP,18+,Rockland,County,1329,14,NO
3AP,18+,Seneca,County,112,0,
2AP,0-17,Albany,County,1631,54,
2AP,18+,Queens,"MENTAL HEALTH PROVIDERS OF WESTERN QUEENS, IN",125,17,
3AP,18+,Rensselaer,County,457,2,
3AP,18+,Columbia,County,1,0,
2AP,0-17,Tompkins,"FRANZISKA RACKER CENTERS, INC.",25,0,
2AP,18+,Albany,CREEDMOOR PSYCHIATRIC CENTER,164,51,YES
3AP,18+,Statewide,Statewide,72,1,
2AP,0-17,Queens,COORDINATED BEHAVIORAL CARE IPA,219,9,
2AP,18+,Essex,County,81,5,NO
3AP,18+,Bronx,LA CASA DE SALUD INC,422,1,
3AP,18+,Queens,COORDINATED BEHAVIORAL CARE INC,164,0,NO
2AP,18+,Brooklyn,NEW YORK METHODIST HOSPITAL,354,34,NO
2AP,18+,Wayne,County,194,16,
2AP,18+,Manhattan,County,25262,2645,
3AP,18+,Bronx,"MONTEFIORE MOUNT VERNON HOSPITAL, INC.",129,0,NO
3AP,18+,Schoharie,County,122,1,
2AP,18+,Cayuga,FINGER LAKES MIGRANT HLTH,21,0,NO
2AP,18+,Niagara,County,1360,104,
2AP,0-17,Onondaga,"YOUR HEALTH PARTNERS OF THE FINGER LAKES, LLC",177,2,
3AP,18+,Westchester,DOCTORS UNITED,34,0,
2AP,18+,Franklin,ADIRONDACK MEDICAL CENTER,71,5,NO
3AP,18+,Manhattan,"HOUSING WORKS HEALTH SERVICES III, INC.  D/B/",119,0,
2AP,0-17,Washington,County,67,1,
3AP,18+,Queens,NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,243,5,NO
2AP,18+,Niagara,County,1355,105,
3AP,18+,Madison,County,318,1,
2AP,0-17,Bronx,NYC-HHC LINCOLN MEDICAL & MENTAL HEALTH CENTE,143,2,
2AP,18+,Niagara,"EASTERN NIAGARA HOSPITAL, INC.",180,15,NO
2AP,18+,Brooklyn,"COMMUNITY COUNSELING AND MEDIATION, INC.",282,19,NO
3AP,18+,Dutchess,VASSAR BROTHERS MED CTR,333,1,
2AP,18+,Niagara,"EASTERN NIAGARA HOSPITAL, INC.",81,4,NO
2AP,18+,Cayuga,County,142,11,
3AP,18+,Yates,County,103,1,
2AP,0-17,Hamilton,County,1,0,
3AP,0-17,Manhattan,ENGAGEWELL IPA,112,0,
3AP,18+,Wyoming,MH SERVS-ERIE CO SE CORP V DBA SPECTRUM HSVCS,37,0,NO
3AP,18+,Schenectady,County,197,3,
3AP,18+,Albany,HUDSON VALLEY CARE COALITION INC,82,3,NO
2AP,18+,Westchester,County,9958,1268,
2AP,18+,Niagara,"NORTHPOINTE COUNCIL, INC.",109,10,
3AP,0-17,Chemung,ARNOT OGDEN MEDICAL CENTER,70,0,
