Academic Year,Level,TAP Level of Study,TAP Sector Group,Recipient Age Group,TAP Financial Status,TAP Recipient Dollars
2019,U,2 yr Undergrad,4-SUNY CC,age 22 - 25,Financial_Independent,79696.53
2005,U,4 yr Undergrad,5-INDEPENDENT,over age 50,Financial_Independent,612.72
2008,U,5 yr Undergrad,1-CUNY SR,under age 22,Financial_Dependent,3962.0
2009,U,5 yr Undergrad,6-BUS. DEGREE,age 26 - 35,Financial_Independent,5725.5
2005,U,2 yr Undergrad,1-CUNY SR,under age 22,Financial_Dependent,6250.0
2019,U,4 yr Undergrad,1-CUNY SR,age 36 - 50,Financial_Independent,2385.11
2008,U,4 yr Undergrad,8-OTHER,under age 22,Financial_Dependent,1418.66
2003,U,4 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,625.0
2009,U,2 yr Undergrad,6-BUS. DEGREE,age 36 - 50,Financial_Independent,1750.0
2013,U,4 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Independent,2401.68
2002,U,2 yr Undergrad,5-INDEPENDENT,over age 50,Financial_Independent,2480.5
2000,U,4 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,175597.5
2015,U,4 yr Undergrad,5-INDEPENDENT,over age 50,Financial_Independent,951.0
2014,U,4 yr Undergrad,1-CUNY SR,age 26 - 35,Financial_Dependent,43643.25
2011,U,2 yr Undergrad,5-INDEPENDENT,age 22 - 25,Financial_Independent,14362.5
2002,U,2 yr Undergrad,4-SUNY CC,age 22 - 25,Financial_Dependent,5375.0
2017,U,4 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Dependent,309663.76
2007,U,4 yr Undergrad,5-INDEPENDENT,age 22 - 25,Financial_Dependent,31127.59
2003,G,Grad,3-SUNY SO,age 22 - 25,Financial_Independent,273.0
2005,U,2 yr Undergrad,1-CUNY SR,age 26 - 35,Financial_Independent,12528.25
2007,U,2 yr Undergrad,4-SUNY CC,under age 22,Financial_Independent,250.0
2015,U,2 yr Undergrad,1-CUNY SR,under age 22,Financial_Dependent,4000.0
2002,U,2 yr Undergrad,4-SUNY CC,under age 22,Financial_Dependent,83875.0
2010,U,2 yr Undergrad,6-BUS. DEGREE,age 26 - 35,Financial_Independent,212.5
2005,G,Grad,1-CUNY SR,age 26 - 35,Financial_Independent,664.0
2017,U,4 yr Undergrad,1-CUNY SR,age 26 - 35,Financial_Independent,859.0
2005,U,5 yr Undergrad,3-SUNY SO,age 26 - 35,Financial_Independent,7312.5
2018,U,4 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Dependent,3380.0
2009,G,Grad,3-SUNY SO,age 22 - 25,Financial_Dependent,2155.5
2009,U,2 yr Undergrad,3-SUNY SO,under age 22,Financial_Dependent,25312.5
2016,U,2 yr Undergrad,4-SUNY CC,under age 22,Financial_Independent,4537.5
2016,U,2 yr Undergrad,2-CUNY CC,age 36 - 50,Financial_Independent,2733.0
2010,U,2 yr Undergrad,6-BUS. DEGREE,over age 50,Financial_Independent,24914.0
2003,U,4 yr Undergrad,3-SUNY SO,age 26 - 35,Financial_Dependent,500.0
2013,U,4 yr Undergrad,3-SUNY SO,age 26 - 35,Financial_Independent,2500.0
2003,U,4 yr Undergrad,1-CUNY SR,under age 22,Financial_Dependent,1250.0
2003,U,4 yr Undergrad,6-BUS. DEGREE,age 26 - 35,Financial_Independent,975.67
2019,U,4 yr Undergrad,1-CUNY SR,age 26 - 35,Financial_Dependent,1565.72
2009,U,4 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Independent,14487.5
2013,U,4 yr Undergrad,5-INDEPENDENT,age 22 - 25,Financial_Dependent,14627.5
2009,U,2 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,3193.5
2017,U,2 yr Undergrad,4-SUNY CC,over age 50,Financial_Independent,12100.0
2004,U,4 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Dependent,3125.0
2001,U,4 yr Undergrad,3-SUNY SO,age 26 - 35,Financial_Independent,5206.25
2004,G,Grad,5-INDEPENDENT,age 36 - 50,Financial_Independent,812.75
2012,U,5 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Independent,2450.0
2010,U,4 yr Undergrad,1-CUNY SR,age 22 - 25,Financial_Independent,7960.0
2019,U,4 yr Undergrad,1-CUNY SR,age 26 - 35,Financial_Dependent,5514.98
2002,U,2 yr Undergrad,7-BUS. NON-DEG,age 36 - 50,Financial_Independent,105384.33
2004,U,4 yr Undergrad,5-INDEPENDENT,age 22 - 25,Financial_Independent,13281.25
2015,U,2 yr Undergrad,7-BUS. NON-DEG,age 22 - 25,Financial_Dependent,16000.0
2011,U,4 yr Undergrad,5-INDEPENDENT,under age 22,Financial_Dependent,456448.55
2005,U,4 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,1750.0
2013,U,4 yr Undergrad,5-INDEPENDENT,under age 22,Financial_Dependent,1696.0
2001,U,2 yr Undergrad,6-BUS. DEGREE,age 22 - 25,Financial_Dependent,1700.04
2017,U,2 yr Undergrad,4-SUNY CC,age 26 - 35,Financial_Independent,81720.41
2015,U,4 yr Undergrad,3-SUNY SO,age 26 - 35,Financial_Dependent,12568.0
2018,U,2 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,2575.0
2015,U,4 yr Undergrad,5-INDEPENDENT,under age 22,Financial_Dependent,228645.03
2010,U,2 yr Undergrad,4-SUNY CC,age 26 - 35,Financial_Dependent,17078.0
2017,U,2 yr Undergrad,1-CUNY SR,age 22 - 25,Financial_Dependent,10230.0
2013,U,2 yr Undergrad,4-SUNY CC,age 26 - 35,Financial_Dependent,1500.0
2018,U,2 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Dependent,3475.5
2007,U,2 yr Undergrad,4-SUNY CC,age 36 - 50,Financial_Independent,7818.5
2005,U,4 yr Undergrad,3-SUNY SO,under age 22,Financial_Dependent,60240.0
2011,U,2 yr Undergrad,4-SUNY CC,over age 50,Financial_Independent,467.0
2017,U,4 yr Undergrad,4-SUNY CC,age 22 - 25,Financial_Dependent,10146.5
2019,U,2 yr Undergrad,4-SUNY CC,over age 50,Financial_Independent,3800.08
2011,U,4 yr Undergrad,3-SUNY SO,age 26 - 35,Financial_Independent,9068.0
2014,U,2 yr Undergrad,4-SUNY CC,age 36 - 50,Financial_Independent,250.0
2001,U,4 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Dependent,15412.5
2001,U,4 yr Undergrad,6-BUS. DEGREE,age 22 - 25,Financial_Dependent,212.5
2013,U,4 yr Undergrad,5-INDEPENDENT,age 22 - 25,Financial_Dependent,750.0
2019,U,2 yr Undergrad,6-BUS. DEGREE,age 26 - 35,Financial_Dependent,1330.06
2011,U,4 yr Undergrad,3-SUNY SO,under age 22,Financial_Dependent,8250.0
2012,U,4 yr Undergrad,6-BUS. DEGREE,age 22 - 25,Financial_Dependent,541.67
2014,U,2 yr Undergrad,4-SUNY CC,over age 50,Financial_Independent,250.0
2003,U,2 yr Undergrad,8-OTHER,under age 22,Financial_Dependent,250.0
2014,U,4 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,750.0
2008,U,2 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Independent,3192.5
2011,U,2 yr Undergrad,3-SUNY SO,age 26 - 35,Financial_Dependent,3689.0
2009,U,2 yr Undergrad,8-OTHER,under age 22,Financial_Dependent,1654.0
2017,U,2 yr Undergrad,6-BUS. DEGREE,age 26 - 35,Financial_Independent,211819.3
2002,U,4 yr Undergrad,1-CUNY SR,age 36 - 50,Financial_Independent,6075.0
2015,U,2 yr Undergrad,6-BUS. DEGREE,age 36 - 50,Financial_Independent,5815.5
2004,U,4 yr Undergrad,3-SUNY SO,under age 22,Financial_Independent,560.25
2012,U,2 yr Undergrad,4-SUNY CC,age 36 - 50,Financial_Independent,1000.0
2003,U,2 yr Undergrad,4-SUNY CC,over age 50,Financial_Independent,250.0
2018,U,4 yr Undergrad,6-BUS. DEGREE,age 22 - 25,Financial_Independent,14954.0
2010,U,2 yr Undergrad,4-SUNY CC,under age 22,Financial_Dependent,1063528.93
2015,U,2 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,15237.5
2000,U,2 yr Undergrad,4-SUNY CC,age 36 - 50,Financial_Independent,531.25
2006,U,2 yr Undergrad,6-BUS. DEGREE,age 26 - 35,Financial_Dependent,69700.0
2002,U,2 yr Undergrad,8-OTHER,age 36 - 50,Financial_Independent,2948.0
2013,U,4 yr Undergrad,3-SUNY SO,under age 22,Financial_Dependent,136939.1
2011,U,4 yr Undergrad,6-BUS. DEGREE,age 36 - 50,Financial_Independent,1049.0
2011,U,4 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,2500.0
2012,U,2 yr Undergrad,6-BUS. DEGREE,under age 22,Financial_Independent,6900.51
2010,U,2 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,425.0
2001,U,4 yr Undergrad,1-CUNY SR,under age 22,Financial_Independent,358.0
2013,U,2 yr Undergrad,7-BUS. NON-DEG,age 36 - 50,Financial_Independent,1082.5
2015,U,4 yr Undergrad,6-BUS. DEGREE,age 36 - 50,Financial_Independent,6798.66
2012,U,4 yr Undergrad,4-SUNY CC,under age 22,Financial_Dependent,31997.5
2002,U,2 yr Undergrad,3-SUNY SO,age 36 - 50,Financial_Independent,500.0
2005,U,4 yr Undergrad,5-INDEPENDENT,over age 50,Financial_Independent,21283.17
2001,U,2 yr Undergrad,6-BUS. DEGREE,under age 22,Financial_Dependent,2185.0
2003,U,4 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Independent,1250.0
2003,U,2 yr Undergrad,4-SUNY CC,under age 22,Financial_Dependent,500.0
2003,U,4 yr Undergrad,6-BUS. DEGREE,age 36 - 50,Financial_Independent,2448.0
2014,U,2 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Independent,12117.01
2002,U,5 yr Undergrad,1-CUNY SR,age 22 - 25,Financial_Independent,58500.0
2009,U,2 yr Undergrad,4-SUNY CC,age 26 - 35,Financial_Dependent,9524.0
2008,U,4 yr Undergrad,1-CUNY SR,age 22 - 25,Financial_Dependent,167654.66
2009,G,Grad,5-INDEPENDENT,age 26 - 35,Financial_Independent,3840.0
2000,U,2 yr Undergrad,1-CUNY SR,age 22 - 25,Financial_Independent,935.0
2018,U,4 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Independent,500.0
2008,U,2 yr Undergrad,3-SUNY SO,age 26 - 35,Financial_Independent,14578.0
2005,G,Grad,4-SUNY CC,age 22 - 25,Financial_Dependent,403.0
2019,U,4 yr Undergrad,3-SUNY SO,under age 22,Financial_Dependent,15918.48
2003,U,4 yr Undergrad,1-CUNY SR,age 22 - 25,Financial_Dependent,128130.43
2007,U,4 yr Undergrad,3-SUNY SO,age 36 - 50,Financial_Independent,44146.5
2008,U,2 yr Undergrad,6-BUS. DEGREE,age 26 - 35,Financial_Independent,6178.84
2007,G,Grad,5-INDEPENDENT,age 26 - 35,Financial_Independent,1612.5
2012,U,4 yr Undergrad,4-SUNY CC,under age 22,Financial_Dependent,500.0
