Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
"Department for Business, Innovation and Skills",Intellectual Property Office,01/04/2011,Seminars and Conferences,Innovation Directorate,Black cat,ERICH23,124.84,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,01/04/2011,Seminars and Conferences,Innovation Directorate,K.jones,ERICH24,112.85,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,01/04/2011,Telephone Rentals and Call Charges,Business Support Directorate,O2,TTHOM0921,61.2,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,01/04/2011,Telephone Rentals and Call Charges,Business Support Directorate,O2,TTHOM0921,82.85,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,01/04/2011,Telephone Rentals and Call Charges,Business Support Directorate,O2,TTHOM0921,93.68,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,01/04/2011,Telephone Rentals and Call Charges,Business Support Directorate,O2,TTHOM0921,48.0,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,01/04/2011,Telephone Rentals and Call Charges,Business Support Directorate,O2,TTHOM0921,67.61,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,01/04/2011,Telephone Rentals and Call Charges,Business Support Directorate,Mobell,TTHOM0922,327.98,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,01/04/2011,Telephone Rentals and Call Charges,Business Support Directorate,Zen,TTHOM0925,194.39,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,01/04/2011,Telephone Rentals and Call Charges,Business Support Directorate,O2,TTHOM0926,98.78,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,01/04/2011,Telephone Rentals and Call Charges,Business Support Directorate,Zen,TTHOM0927,58.2,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,01/04/2011,Telephone Rentals and Call Charges,Business Support Directorate,Zen,TTHOM0928,194.39,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,01/04/2011,Telephone Rentals and Call Charges,Business Support Directorate,Zen,TTHOM0929,7.7,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,01/04/2011,Travel and subsistence Overseas,Trade Marks Directorate,Easyjet,CMUND052,247.38,Not known
