Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
"Department for Environment, Food and Rural Affairs",Ministerial Department,"Department for Environment, Food and Rural Affairs",164,159.22,334,320.72,947,913.52,528,504.52,95,91.43,0,0,2068,1989.41,18,18,12,12,59,59,2,2,91,91,2159,2080.41,"£7,412,009","£1,421","£13,545","£68,275","£1,311,669","£573,832","£9,380,751","£735,893","£17,047","£752,940","£10,133,691",
Animal Health and Veterinary Laboratories Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",831,755.6,497,467.48,686,645.64,180,173.02,7,7,0,0,2201,2048.74,38,38,2,2,50,50,0,0,90,90,2291,2138.74,"£5,020,555","£73,423",£0,"£90,560","£985,911","£399,142","£6,569,591","£320,142",£0,"£320,142","£6,889,733",
"Centre for Environment, Fisheries and Aquaculture Science",Executive Agency,"Department for Environment, Food and Rural Affairs",95,88.38,137,130.43,242,226.34,88,84.09,3,3,0,0,565,532.24,1,1,0,0,0,0,0,0,1,1,566,533.24,"£1,312,926","£38,143",£0,"£19,572","£251,529","£104,608","£1,726,778",£0,£0,£0,"£1,726,778",
Food and Environment Research Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",205,184.69,206,185.43,334,308.07,81,77.95,4,4,13,13,843,773.14,8,8,1,1,2,2,0,0,11,11,854,784.14,"£1,664,377","£37,121","£27,023","£22,682","£121,309","£311,807","£2,184,319","£18,321","£45,246","£63,566","£2,247,886",
Rural Payments Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",867,766.92,610,562.06,473,454.71,152,75.59,16,16,0,0,2118,1875.28,8,8,124,124,74,74,0,0,206,206,2324,2081.28,"£4,286,078","£49,129","£51,827","£42,514","£788,146","£315,870","£5,533,564","£944,217",£0,"£944,217","£6,477,782",
Veterinary Medicines Directorate ,Executive Agency,"Department for Environment, Food and Rural Affairs",39,38.01,30,28.49,45,44.62,39,38.92,3,3,0,0,156,153.04,10,9.2,0,0,2,0.6,0,0,12,9.8,168,162.84,"£448,124","£6,329",£0,£397,"£91,323","£38,310","£584,483","£56,853",£0,"£56,853","£641,336",
Agricultural Wages Board for England and Wales,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Board does not employ any staff
Agricultural Wages Committee x 15,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Committees do not employ any staff
Agriculture and Horticulture Development Board,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,0,0,0,0,0,0,0,0,379,369,379,369,15,15,0,0,23,23,0,0,38,38,417,407,"£1,067,750","£35,498",£0,"£4,205","£98,081","£117,981","£1,323,515","£64,025",£0,"£64,025","£1,387,540",AHDB is funded through a levy paid by farmers and others in the agricultural supply chain.  No funding towards staffing or other running costs is received from the Government. 
Consumer Council for Water,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",10,9.4,28,27.4,25,24.7,9,9,4,4,0,0,76,74.5,1,1,0,0,0,0,0,0,1,1,77,75.5,"£185,885",£417,£0,"£1,171","£32,485","£15,326","£235,284","£2,335",£0,"£2,335","£237,619",
