Indicator Name,Age Group,County,Provider,Eligible Population,Number With QI Flag,Rate High?
3AP,0-17,Cortland,County,11,0,
3AP,18+,Manhattan,NYC-HHC CUMBERLAND D+T CENTER,130,0,NO
2AP,18+,Saint Lawrence,County,582,43,
2AP,0-17,Schenectady,County,316,17,
2AP,18+,Greene,County,270,20,
2AP,0-17,Schoharie,County,21,0,
3AP,18+,Chautauqua,County,927,6,
3AP,18+,Onondaga,SYRACUSE COMM HEALTH CTR  INC,265,1,
2AP,18+,Tompkins,County,165,4,
2AP,18+,Otsego,County,742,70,
3AP,18+,Herkimer,"UPSTATE CEREBRAL PALSY, INC.",79,0,NO
2AP,0-17,Tioga,County,16,1,
2AP,0-17,Manhattan,NYC-HHC KINGS COUNTY HOSPITAL CENTER,89,1,
2AP,18+,Steuben,County,41,5,
3AP,0-17,Genesee,County,36,0,
2AP,0-17,Niagara,NIAGARA FALLS MEMORIAL MEDICAL CENTER,34,0,
3AP,0-17,Saint Lawrence,MASSENA MEMORIAL HOSPITAL,26,0,NO
3AP,18+,Westchester,"SANCIA RECOVERY, INC",22,0,NO
2AP,18+,Delaware,County,104,8,
2AP,0-17,Manhattan,NYC-HHC KINGS COUNTY HOSPITAL CENTER,92,1,NO
2AP,0-17,Nassau,SOUTH NASSAU COMMUNITIES HOSPITAL,27,2,NO
2AP,18+,Manhattan,"UPPER MANHATTAN M H CENTER, INC. AKA THE EMMA",400,28,
3AP,18+,Bronx,MONTEFIORE NEW ROCHELLE HOSP,149,1,
2AP,18+,Warren,County,801,63,
3AP,0-17,Onondaga,"LIBERTY RESOURCES, INC.",64,0,NO
3AP,18+,Orleans,MEDINA MEMORIAL HOSPITAL,52,0,NO
2AP,18+,Staten Island,County,1777,283,
3AP,18+,Manhattan,CONEY ISLAND HOSPITAL SCM,464,2,
3AP,18+,Nassau,County,960,8,
2AP,0-17,Westchester,WHITE PLAINS HOSPITAL MEDICAL CENTER,38,1,NO
2AP,0-17,Chenango,County,68,3,
2AP,18+,Bronx,BRONX-LEBANON HOSPITAL CENTER,1346,139,
3AP,0-17,Erie,County,644,1,
2AP,18+,Franklin,County,75,6,
3AP,18+,Essex,County,136,1,
3AP,18+,Genesee,County,73,0,
3AP,18+,Schenectady,RIDGE HEALTH SERVICES INC,54,0,
2AP,18+,Broome,County,1173,97,
2AP,18+,Brooklyn,"INTERFAITH MEDICAL CENTER, INC.",183,32,
2AP,0-17,Westchester,County,316,19,
2AP,18+,Suffolk,County,4205,552,
3AP,18+,Onondaga,SYRACUSE COMM HEALTH CTR  INC,107,0,
2AP,18+,Sullivan,County,544,56,
2AP,18+,Erie,NORTHWEST COMMUNITY MENTAL HEALTH CENTER,105,30,YES
3AP,0-17,Erie,MID-ERIE COUNSELING AND TREATMENT SERVICES,32,0,NO
3AP,18+,Albany,ALBANY COUNTY DEPARTMENT OF MENTAL HEALTH,128,2,
3AP,18+,Manhattan,BETH ISRAEL MEDICAL CENTER,984,1,
2AP,18+,Lewis,County,52,3,
3AP,0-17,Chautauqua,CHAUTAUQUA COUNTY MENTAL HYGIENE SERVICES,87,0,
2AP,18+,Manhattan,ST. LUKE'S-ROOSEVELT HOSPITAL CENTER,3072,284,
2AP,0-17,Dutchess,County,304,13,
2AP,0-17,Monroe,UNIV OF ROCH MED CTR/STRONG MEMORIAL HOSPITAL,407,20,
2AP,18+,Franklin,County,382,32,
2AP,18+,Queens,"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC",310,50,NO
3AP,0-17,Monroe,ELMCREST CHILDREN'S CENTER,39,0,
2AP,0-17,Ulster,County,141,8,
2AP,18+,Orleans,MEDINA MEMORIAL HOSPITAL,58,5,NO
2AP,18+,Monroe,THE UNITY HOSPITAL OF ROCHESTER,814,50,NO
3AP,18+,Rensselaer,County,897,5,
2AP,0-17,Chemung,ST. JOSEPH'S HOSPITAL,34,0,NO
2AP,0-17,Wyoming,County,42,1,
2AP,0-17,Schenectady,County,275,17,
2AP,18+,Broome,County,496,43,NO
2AP,0-17,Westchester,"WESTCHESTER JEWISH COMMUNITY SERVICES, INC.",89,1,
2AP,18+,Lewis,County,119,17,
2AP,18+,Ulster,County,957,121,
2AP,18+,Chemung,County,569,56,
3AP,18+,Monroe,EAST HOUSE CORPORATION,93,0,
2AP,18+,Otsego,County,738,67,
2AP,18+,Queens,"ARMS ACRES, INC.",22,2,NO
2AP,18+,Essex,County,133,12,
2AP,0-17,Onondaga,County,603,28,
3AP,18+,Albany,ST PETERS HOSPITAL ALBANY,167,0,NO
2AP,18+,Cayuga,CENTRAL NEW YORK BHCC,221,31,
3AP,18+,Livingston,County,93,1,NO
3AP,18+,Bronx,"VOCATIONAL INSTRUCTION PROJECT COMM. SVCS, IN",186,0,NO
3AP,0-17,Cayuga,AUBURN COMMUNITY HOSPITAL,54,0,NO
2AP,18+,Monroe,"LAKEVIEW HEALTH SERVICES, INC.",77,11,
3AP,0-17,Westchester,"FOUR WINDS, INC.",267,0,
3AP,18+,Nassau,"PENINSULA COUNSELING CENTER, INC.",80,0,NO
3AP,0-17,Albany,ALBANY MEDICAL CENTER,209,0,
3AP,18+,Schoharie,County,116,2,
2AP,0-17,Saint Lawrence,County,116,0,
3AP,0-17,Staten Island,RICHMOND MEDICAL CENTER DBA RICHMOND UMC,119,0,
2AP,18+,Broome,"UNITED HEALTH SERVICES HOSPITALS, INC.",846,62,
3AP,18+,Nassau,SOUTHWEST BROOKLYN HEALTH HOME LLC,25,0,
3AP,18+,Orleans,MEDINA MEMORIAL HOSPITAL,70,0,
3AP,18+,Manhattan,BETH ISRAEL MEDICAL CENTER,2132,6,
3AP,18+,Bronx,MONTEFIORE MEDICAL CENTER,3863,18,NO
2AP,0-17,Monroe,County,1425,54,
3AP,18+,Brooklyn,SOUTH BROOKLYN MEDICAL ADMIN.SRVS.INC.,34,0,
3AP,18+,Saint Lawrence,UCPA OF THE NORTH COUNTRY,130,0,
2AP,18+,Monroe,ORLEANS COUNTY DEPARTMENT OF MENTAL HEALTH,21,1,NO
3AP,18+,Region,Region,4500,25,
3AP,18+,Oneida,UPSTATE FAMILY HEALTH CENTER INC,144,0,
2AP,18+,Ontario,County,631,58,
3AP,18+,Monroe,THE UNITY HOSPITAL OF ROCHESTER,685,3,
2AP,18+,Jefferson,County,531,50,
2AP,18+,Onondaga,County,2680,248,
3AP,18+,Bronx,CONEY ISLAND HOSPITAL SCM,458,2,
3AP,18+,Cattaraugus,County,391,3,
2AP,18+,Suffolk,ECON OPP COUNCIL SUFFOLK AI,86,7,
2AP,18+,Genesee,County,289,19,
2AP,18+,Manhattan,VISITING NURSE SERVICE OF NEW YORK,125,18,NO
3AP,0-17,Bronx,MORRIS HEIGHTS HEALTH CENTER,73,0,NO
3AP,18+,Manhattan,HOUSING WORKS E NY HIV 3 AADC,27,0,
3AP,18+,Brooklyn,NEW YORK METHODIST HOSPITAL,731,4,NO
3AP,18+,Westchester,"HUMAN DEVELOPMENT SVCS. OF WESTCHESTER, INC.",160,0,NO
2AP,18+,Erie,"HORIZON HEALTH SERVICES, INC.",772,46,
2AP,18+,Nassau,NORTHWELL HEALTH NETWORK,3117,400,
2AP,18+,Fulton,County,297,27,
2AP,0-17,Fulton,NATHAN LITTAUER HOSPITAL,60,0,
2AP,0-17,Cattaraugus,County,98,0,
2AP,18+,Orange,ST LUKES CORNWALL,194,10,NO
3AP,18+,Queens,County,10364,59,
2AP,0-17,Ontario,County,157,6,
3AP,18+,Monroe,"BEHAVIORAL HEALTH NETWORK, INC.",321,1,
2AP,18+,Rensselaer,County,439,47,
2AP,18+,Suffolk,THE LONG ISLAND HOME,79,8,NO
2AP,18+,Livingston,NICHOLAS H. NOYES MEMORIAL HOSPITAL,72,9,NO
2AP,0-17,Wayne,County,24,1,NO
2AP,18+,Sullivan,County,1821,230,
2AP,18+,Nassau,County,5286,588,
2AP,18+,Madison,County,287,26,
3AP,0-17,Albany,SAMARITAN HOSPITAL,88,0,
2AP,18+,Manhattan,"COMMUNITY HEALTH PROJECT, INC.",31,1,
2AP,18+,Fulton,County,2,0,
3AP,18+,Brooklyn,NYC-HHC CONEY ISLAND HOSPITAL,326,1,NO
2AP,18+,Broome,GREATER BINGHAMTON HEALTH CENTER,60,10,
3AP,18+,Ulster,County,1073,6,
2AP,18+,Queens,"COORDINATED BEHAVIORAL HEALTH CARE, INC.",33,5,
2AP,18+,Erie,County,4104,353,
3AP,18+,Genesee,County,1,0,
3AP,18+,Suffolk,"FAMILY SERVICE LEAGUE, INC.",617,3,
2AP,0-17,Yates,County,41,1,
3AP,18+,Broome,"ONONDAGA CASE MANAGEMENT SERVICES, INC.",28,0,NO
2AP,0-17,Erie,MID-ERIE COUNSELING AND TREATMENT SERVICES,56,5,NO
3AP,18+,Dutchess,County,299,1,
3AP,0-17,Saratoga,"FW OF SARATOGA, INC.",163,0,
2AP,18+,Jefferson,County,468,47,
3AP,18+,Rensselaer,SAMARITAN HOSPITAL,210,3,
2AP,18+,Steuben,County,377,38,
2AP,18+,Onondaga,County,2668,256,
3AP,0-17,Niagara,"MONSIGNOR CARR INSTITUTE, INC.",107,0,
2AP,18+,Chautauqua,WESTFIELD MEMORIAL HOSPITAL,47,3,
3AP,18+,Suffolk,COMMUNITY HLTHCARE NETWORK AI,40,0,NO
2AP,0-17,Schenectady,County,239,13,
3AP,18+,Brooklyn,BROOKLYN HOSPITAL CENTER,188,1,NO
2AP,0-17,Schoharie,SCHOHARIE COUNTY COMMUNITY MENTAL HEALTH CTR,26,0,
3AP,18+,Washington,County,102,0,NO
2AP,0-17,Nassau,"THE COLLABORATIVE FOR CHILDREN AND FAMILIES,",102,3,
3AP,18+,Oneida,BUFFALO BEACON CORP,24,0,NO
2AP,18+,Rensselaer,County,417,47,
3AP,18+,Bronx,County,529,3,
2AP,0-17,Essex,County,42,0,
2AP,0-17,Manhattan,"THE COLLABORATIVE FOR CHILDREN AND FAMILIES,",569,11,
3AP,18+,Cattaraugus,CATTARAUGUS COUNTY DEPARTMENT OF COMMUNITY SE,73,0,NO
3AP,18+,Livingston,County,317,1,
