Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
"Department for Business, Innovation and Skills",Intellectual Property Office,08/12/2010,Steering Board,Business Support Directorate,Personal expenses name witheld,62,338.1,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,07/12/2010,2 Minute smile,Business Support Directorate,Personal expenses name witheld,49046,49.5,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,23/12/2010,Accommodation charges,Business Support Directorate,First Investments Ltd,18236,-1273.83,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,23/12/2010,Accommodation charges,Business Support Directorate,First Investments Ltd,18237,-1269.43,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,13/12/2010,Accommodation charges,Business Support Directorate,Caerphilly County Borough Council,82824005,570.6,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,23/12/2010,Accommodation charges,Business Support Directorate,First Investments Ltd,19112,1338.41,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,23/12/2010,Accommodation charges,Business Support Directorate,First Investments Ltd,19110,1343.05,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,23/12/2010,Accommodation charges,Business Support Directorate,First Investments Ltd,19111,23902.44,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,23/12/2010,Accommodation charges,Business Support Directorate,First Investments Ltd,19109,23984.69,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,09/12/2010,Accommodation charges,Business Support Directorate,Office for National Statistics,1019553,30767.0,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,13/12/2010,Accommodation charges,Business Support Directorate,Caerphilly County Borough Council,12/0,445.81,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,09/12/2010,Accommodation charges,Business Support Directorate,Office for National Statistics,1019553,147675.0,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,03/12/2010,Agency Staff,International Policy Directorate,Acorn Recruitment Ltd,568977,854.99,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,10/12/2010,Agency Staff,International Policy Directorate,Acorn Recruitment Ltd,569922,949.38,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,22/12/2010,Bank charges,Finance Directorate,G4S Cash Services (UK) Ltd,1339431,394.9,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2010,BIS Solicitors,Finance Directorate,Department For Business Innovation & Skills,10030705,55416.66,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,10/12/2010,Books  Newspapers & Publications,Patents Directorate,Swets Information Services,6700201051,-52.65,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,15/12/2010,Books  Newspapers & Publications,Patents Directorate,Stationery Office,11770724,5.46,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,16/12/2010,Books  Newspapers & Publications,Business Support Directorate,Mitie Facilities Services Ltd,100/90220817,23.5,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,16/12/2010,Books  Newspapers & Publications,Patents Directorate,Mitie Facilities Services Ltd,100/90220817,35.13,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,10/12/2010,Books  Newspapers & Publications,Patents Directorate,European Patent Office,40191495A,50.98,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,10/12/2010,Books  Newspapers & Publications,Patents Directorate,Swets Information Services,6700204078,54.99,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,24/12/2010,Books  Newspapers & Publications,Trade Marks Directorate,Sweet & Maxwell,801387462,195.0,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,07/12/2010,Books  Newspapers & Publications,Business Support Directorate,Menzies Distribution Ltd t/a Jones Yarrell,115858,205.2,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,23/12/2010,Books  Newspapers & Publications,Patents Directorate,Sweet & Maxwell,801384334,325.0,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,10/12/2010,Books  Newspapers & Publications,Patents Directorate,Swets Information Services,6750053577,829.63,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,08/12/2010,Books  Newspapers & Publications,Trade Marks Directorate,Sweet & Maxwell,4100508600,998.0,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,24/12/2010,Books  Newspapers & Publications,Trade Marks Directorate,Sweet & Maxwell,4500343764,998.0,Not known
