OpenedDate,OpenedYear,PracticeCode,PracticeName,BusinessCategory,BusinessName,BusinessCity,BusinessState,BusinessZip
09/17/2018,2018,999,Other/Miscellaneous,Credit Reporting & Related Activities,Experian Consumer Services/Experian Interactive/Consumer Info/AutoCheck,Allen,TX,75013    
05/21/2019,2019,203,Internet & Mobile device based transaction,Electronic Shopping,FreeShipping.com,Wethersfield,CT,06129-0728
10/15/2020,2020,996,COVID-19,Electronic Shopping,Vivid Seats,Chicago,IL,60607    
02/09/2016,2016,13,Misrepresentation of product or service,Online Auctions,,,NY,         
09/15/2015,2015,316,Billing Issues,Consumer Lending & Transfer Agents,Red Rock Tribal Lending LLC dba Castle Payday Loans,Watersmeet,MI,49969    
03/12/2019,2019,999,Other/Miscellaneous,Auto Sales,Ameda Auto Sales,Lynden,WA,98264    
07/24/2017,2017,316,Billing Issues,Broadband Providers,Comcast,Fife,WA,98424    
05/30/2018,2018,22,Failure To Adjust/Refund,Parking Lots & Garages,International Parking Management Inc,Seattle,WA,98104    
02/07/2019,2019,999,Other/Miscellaneous,Broadband Providers,,Glenns Ferry,ID,83623    
06/10/2020,2020,999,Other/Miscellaneous,Health Care,Sunrise Dental - Issaquah,Issaquah,WA,98029    
03/08/2017,2017,999,Other/Miscellaneous,Retail Sales,Sears Holdings Management Corporation,Hoffman Estates,IL,60179-0001
09/26/2016,2016,204,Unsolicited E-mail,Broadband Providers,Yelp.com,San Francisco,CA,94105-3705
03/25/2016,2016,303,Questionable Quality Product/Service,Broadband Providers,Dish Network,Littleton,CO,80120    
09/28/2018,2018,301,Failure To Deliver/Perform,Auto Sales,Acura of Seattle,Seattle,WA,98188    
02/12/2015,2015,442,Short Sale,Electronic Shopping,Ticket City,Austin,TX,78731    
07/17/2019,2019,999,Other/Miscellaneous,Electronic Shopping,Amazon.com,Seattle,WA,98108-1226
10/14/2015,2015,61,Phishing,Software Publishers,Microsoft Corporation,Redmond,WA,98052    
01/03/2018,2018,999,Other/Miscellaneous,Unclassified Establishments, Unknown,,  ,         
01/26/2018,2018,999,Other/Miscellaneous,Health Care,Grant Denture Clinic,Tacoma,WA,98409    
08/16/2016,2016,203,Internet & Mobile device based transaction,Retail Sales,Lenovo US,Morrisville,NC,27560    
12/16/2013,2013,301,Failure To Deliver/Perform,Electronic Shopping,www.nomorerack.com,New York,NY,10016    
06/13/2014,2014,521,Business Failure or Bankruptcy,Retail Sales,EM Fine Art Gallery,,WA,         
04/25/2020,2020,303,Questionable Quality Product/Service,Pet Care Services (except Veterinary),,Houston,TX,77070    
01/15/2015,2015,316,Billing Issues,Telecommunications,Verizon Wireless,Chandler,AZ,85226    
06/03/2016,2016,203,Internet & Mobile device based transaction,Electronic Shopping,Amazon.com,Seattle,WA,98108-1226
05/06/2013,2013,304,Questionable Quality/Used,Auto Sales,Bill Pierre Ford,Seattle,WA,98125    
08/01/2013,2013,422,Credit/Financing,Travel Trailer & Camper Manufacturing,,Lynnwood,WA,98087    
07/02/2013,2013,301,Failure To Deliver/Perform,General Freight Trucking,,Snohomish,WA,98296    
08/24/2020,2020,316,Billing Issues,Telecommunications,T-Mobile,Albuquerque,NM,87176    
09/13/2013,2013,304,Questionable Quality/Used,Auto Sales,Kompact Kar Korner Inc,Lynnwood,WA,98037    
10/23/2019,2019,318,Charge:Service Not Performed/Product not delivered,Extended Service contract companies,Car Shield,Saint Peters,MO,63376    
04/10/2018,2018,999,Other/Miscellaneous,Electronic Shopping,Amazon.com,Seattle,WA,98108-1226
03/26/2019,2019,999,Other/Miscellaneous,Employment Placement Agencies,,Seattle,WA,98107    
12/07/2015,2015,316,Billing Issues,Restaurants and Bars,Starbucks,Seattle,WA,98134    
02/14/2020,2020,303,Questionable Quality Product/Service,Taxi Service,,Enumclaw,WA,98022-3418
12/15/2016,2016,600,Application screening,"Admin. & support services (office admin., faciliti",,Southbury,CT,06488    
03/25/2015,2015,320,Unsatisfactory Repair/Service,Travel,Expedia,Bellevue,WA,98004    
12/30/2016,2016,604,Permanent structures,MHU Use Only - MH landlord,Parkland Mobile Village,Seattle,WA,98103    
02/24/2021,2021,26,Advertising,Auto Sales,Lynnwood Motoplex,Lynnwood,WA,98037    
08/30/2013,2013,320,Unsatisfactory Repair/Service,Telecommunications,Verizon Wireless,Chandler,AZ,85226    
03/05/2018,2018,210,Auction,Online Auctions,Vail Auctioneers,Pasco,WA,99302    
11/10/2014,2014,316,Billing Issues,Telecommunications,CenturyLink,Spokane,WA,99208    
09/28/2017,2017,7,Warranty,Retail Sales,Sears Holdings Management Corporation,Hoffman Estates,IL,60179-0001
11/10/2016,2016,316,Billing Issues,Gas Stations (only),Shell,Houston,TX,77253    
09/12/2019,2019,999,Other/Miscellaneous,Landscaping Services,,Tacoma,WA,98466    
