animal_id,animal_type,color_group,primary_color,breed_group,primary_breed,status_date,location,animal_identity,tag_no,tag_type,tag_subtype
A575769,CAT,W,WHITE,SHORTHAIR,DOMESTIC SH,2015-11-05 00:00:00,LOCKBOX,490716.0,L15-007699,LIC ALTERED,HLP WEB
A624600,DOG,BR,BROWN,MASTIFF,PIT BULL,2017-09-01 00:00:00,LOCKBOX,539328.0,L17-021083,LIC UNALTERED,HLP WEB
A445314,DOG,OO,BLACK,TOY,CHIHUAHUA SH,2011-09-22 00:00:00,SHELTER,359264.0,D14-053054,LIC UNALTERED,MAIL
A557826,DOG,B,BL BRINDLE,MASTIFF,AMERICAN STAFF,2015-04-15 00:00:00,LOCKBOX,472741.0,L16-008748,LIC ALTERED,COUNTER
A571299,DOG,B,BLUE,MASTIFF,PIT BULL,2015-09-16 00:00:00,SHELTER,486242.0,L16-014164,LIC UNALTERED,COUNTER
A583784,DOG,B,TRICOLOR,TOY,POMERANIAN,2016-02-22 00:00:00,LOCKBOX,498749.0,L15-038189,LIC ALTERED,HLP SCAN
A611134,CAT,,,SHORTHAIR,DOMESTIC SH,2017-02-21 00:00:00,LOCKBOX,525929.0,L16-022423,LIC ALTERED,HLP SCAN
A264230,CAT,B,GRAY,SHORTHAIR,DOMESTIC SH,2006-02-24 00:00:00,SHELTER,176687.0,C09-007678,LIC ALTERED,
A577507,DOG,OO,TRICOLOR,HOUND,BEAGLE,2016-09-13 00:00:00,SHELTER,492458.0,L15-039742,LIC SR,VET
A569500,CAT,B,BLACK,SHORTHAIR,DOMESTIC SH,2015-08-27 00:00:00,SHELTER,484442.0,,,
A625829,CAT,OO,UNKNOWN,LONGHAIR,MAINE COON,2017-09-25 00:00:00,WEB,540565.0,,,
A591365,DOG,W,WHITE,TOY,MALTESE,2016-06-01 00:00:00,LOCKBOX,506283.0,L17-010342,LIC ALTERED,HLP SCAN
A598932,DOG,B,BLACK,HOUND,BEAGLE,2016-08-31 00:00:00,LOCKBOX,513846.0,L17-013933,LIC ALTERED,HLP SCAN
A596245,DOG,OO,TRICOLOR,TOY,JAPANESE CHIN,2016-08-04 00:00:00,SHELTER,511161.0,RAB9124079,RABIES CERT,VET
A611774,DOG,B,BLACK,MASTIFF,PIT BULL,2017-03-01 00:00:00,SHELTER,526557.0,L17-006659,LIC ALTERED,COUNTER
A599293,CAT,W,GRAY,SHORTHAIR,DOMESTIC SH,2016-09-02 00:00:00,SHELTER,514197.0,985112007691522,MICROCHIP ADO,HOME AGAIN
A591816,DOG,B,BLACK,COLLIE,BORDER COLLIE,2016-06-07 00:00:00,LOCKBOX,506732.0,L17-036757,LIC ALTERED,HLP SCAN
A597112,DOG,BR,TAN,HOUND,BEAGLE,2016-08-12 00:00:00,SHELTER,512026.0,985112004701256,MICROCHIP ADO,ADOPT
A619530,CAT,OO,CALICO,SHORTHAIR,DOMESTIC SH,2017-06-08 00:00:00,SHELTER,534255.0,,,
A611321,CAT,B,BLACK,SHORTHAIR,DOMESTIC SH,2017-02-21 00:00:00,LOCKBOX,526105.0,L16-022792,LIC ALTERED,HLP SCAN
A576159,DOG,B,BLACK,SHEPHERD,GERM SHEPHERD,2015-11-10 00:00:00,SHELTER,491108.0,L16-026456,LIC ALTERED,VET
A620593,DOG,W,WHITE,SPITZ,ALASKAN HUSKY,2017-06-27 00:00:00,SHELTER,535321.0,L17-006790,LIC ALTERED,COUNTER
