CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,ACTION,VIOLATION CODE,INSPECTION TYPE,NTA
41255152,WILLBURG CAFE,Brooklyn,623,GRAND STREET,11211.0,7189630219,American,U,10F,Cycle Inspection / Initial Inspection,BK90
50061195,CAMILLE'S JAMAICAN RESTAURANT,Brooklyn,711,FLATBUSH AVENUE,11225.0,7184844275,Caribbean,F,04N,Cycle Inspection / Initial Inspection,BK60
41572685,BROOKLYNS FINEST PIZZA & RESTAURANT,Staten Island,1250,HYLAN BOULEVARD,10305.0,7188157070,Pizza,G,04L,Cycle Inspection / Initial Inspection,SI14
50076792,COFFEE & GREEN,Queens,2106,36TH AVE,11106.0,7186068414,American,P,08A,Pre-permit (Operational) / Initial Inspection,QN68
50012210,OGLIASTRO,Brooklyn,784,WASHINGTON AVENUE,11238.0,7187893700,Italian,D,10F,Cycle Inspection / Re-inspection,BK64
50060385,ITAVOLO,Manhattan,875,3 AVENUE,10022.0,2127511999,American,P,04M,Cycle Inspection / Initial Inspection,MN19
50068334,"CAFFE MARCHIO, VINI E FRITTI",Manhattan,29,EAST   29 STREET,10016.0,2126513833,Italian,P,02G,Cycle Inspection / Initial Inspection,MN17
50038177,EATING TREE,Bronx,892,GERARD AVENUE,10452.0,7182935025,Caribbean,F,08C,Cycle Inspection / Initial Inspection,BX63
50056724,KORNER CHICKEN-N-PIZZA,Queens,16901,JAMAICA AVE,11432.0,7186580008,Chicken,U,10B,Cycle Inspection / Initial Inspection,QN61
41497107,MYUNG SAN RESTAURANT,Queens,16221,DEPOT ROAD,11358.0,7188881245,Korean,U,02G,Cycle Inspection / Initial Inspection,QN51
41232906,SHANGHAI RESTAURANT,Queens,95-37,SUTPHIN BOULEVARD,11435.0,7187390158,Chinese,D,10F,Cycle Inspection / Initial Inspection,QN61
41252980,SOL INCA,Queens,8707,NORTHERN BOULEVARD,11372.0,7184461149,Peruvian,P,06A,Cycle Inspection / Initial Inspection,QN28
41259444,COCO ROCO RESTAURANT,Brooklyn,392,5 AVENUE,11215.0,7189653376,Peruvian,G,04L,Cycle Inspection / Re-inspection,BK37
50109318,LUCKY'S JAMAICAN RESTAURANT & BAKERY,Brooklyn,403,EMPIRE BOULEVARD,11225.0,7185034829,,,,,BK63
41102997,TAJ II,Manhattan,48,WEST   21 STREET,10010.0,2126203033,American,F,08A,Cycle Inspection / Initial Inspection,MN13
50058050,WOODHAVEN CAFE & PIZZERIA,Queens,10509,CROSSBAY BLVD,11417.0,7185296100,Pizza,G,04K,Cycle Inspection / Re-inspection,QN56
50053926,HOT N JUICY CRAWFISH,Manhattan,243,WEST   14 STREET,10011.0,6466829492,Seafood,E,10H,Pre-permit (Non-operational) / Initial Inspection,MN13
50055346,SOPHIE'S CUBAN CUISINE,Manhattan,1015,AVENUE OF THE AMERICAS,10018.0,2122217853,Latin American,U,02B,Pre-permit (Operational) / Re-inspection,MN17
50092506,Kaffeine 231,Brooklyn,231,BRIGHTON BEACH AVENUE,11235.0,9294375677,Coffee/Tea,G,10H,Pre-permit (Operational) / Initial Inspection,BK19
41089876,SARABETH'S,Manhattan,40,CENTRAL PARK SOUTH,10019.0,2128265959,American,F,02B,Cycle Inspection / Initial Inspection,MN17
40869790,EL BUEN AMBIENTE,Bronx,108,EAST  198 STREET,10468.0,7182201515,Latin American,F,04J,Cycle Inspection / Initial Inspection,BX28
50033235,OUR NEIGHBOURHOOD SPANISH RESTAURANT,Brooklyn,444,MOTHER GASTON BOULEVARD,11212.0,7189279302,Spanish,P,06C,Cycle Inspection / Initial Inspection,BK81
41429072,PICCOLA CUCINA,Manhattan,184,PRINCE STREET,10012.0,2126253200,Italian,D,06F,Cycle Inspection / Re-inspection,MN24
50000551,WOLFNIGHTS,Manhattan,99,RIVINGTON STREET,10002.0,6466698070,American,U,02B,Cycle Inspection / Initial Inspection,MN27
50038024,O MACDONOUGH,Brooklyn,83,SARATOGA AVENUE,11233.0,3472210295,Coffee/Tea,D,06C,Cycle Inspection / Initial Inspection,BK79
40957421,RARE BAR & GRILL,Manhattan,303,LEXINGTON AVENUE,10016.0,2124811999,American,U,10B,Cycle Inspection / Re-inspection,MN20
41125652,BANN,Manhattan,350,WEST   50 STREET,10019.0,2125824446,Korean,D,10B,Cycle Inspection / Initial Inspection,MN15
50032592,MAD 46,Manhattan,45,EAST   45 STREET,10017.0,2126619600,American,F,04N,Cycle Inspection / Initial Inspection,MN17
41252528,Y J FRIED FISH,Queens,8901,165 STREET,11432.0,7185261202,Seafood,U,06C,Cycle Inspection / Initial Inspection,QN61
50075227,DIY KARAOKE,Queens,20-07,127 STREET,11356.0,7183531999,Chinese,F,10B,Pre-permit (Operational) / Initial Inspection,QN23
50059795,BOTEKO NYC BAR & GRILL,Queens,2903,BROADWAY,11106.0,7186062411,Brazilian,F,09B,Cycle Inspection / Initial Inspection,QN70
41672537,SWEETLEAF,Queens,1093,JACKSON AVENUE,11101.0,9178326726,Coffee/Tea,P,04L,Cycle Inspection / Initial Inspection,QN31
50052588,HENDRIKS,Manhattan,557,3 AVENUE,10016.0,2126868080,American,F,02B,Cycle Inspection / Initial Inspection,MN20
50000441,RA @ Y & R,Manhattan,3,COLUMBUS CIRCLE,10019.0,2122103018,American,D,10B,Cycle Inspection / Initial Inspection,MN17
30191841,DJ REYNOLDS PUB AND RESTAURANT,Manhattan,351,WEST   57 STREET,10019.0,2122452912,Irish,D,04L,Cycle Inspection / Initial Inspection,MN15
41717640,SOLDIERS CARIBBEAN BUFFET RESTAURANT,Brooklyn,1439,ST JOHNS PLACE,11213.0,7187713663,Caribbean,F,04N,Cycle Inspection / Initial Inspection,BK61
41017770,GRAZIELLA'S,Brooklyn,232,VANDERBILT AVENUE,11205.0,7187895663,Italian,D,10F,Cycle Inspection / Initial Inspection,BK68
50035271,I BAKERY 18,Brooklyn,7118,18 AVENUE,11204.0,7187585581,Bakery Products/Desserts,S,22A,Administrative Miscellaneous / Re-inspection,BK28
41258880,CIBO EXPRESS GOURMET MARKET,Queens,0,JFK INTERNATIONAL AIRPORT,11430.0,7182448672,Sandwiches,D,10F,Cycle Inspection / Initial Inspection,QN98
50035941,NEW ISLAND GARDEN,Staten Island,823,CASTLETON AVENUE,10310.0,7188166999,Chinese,D,06C,Cycle Inspection / Re-inspection,SI35
50073625,KRISPY KRUNCHY CHICKEN AND PIZZA,Manhattan,1354,AMSTERDAM AVENUE,10027.0,6469984200,Chicken,U,10F,Cycle Inspection / Initial Inspection,MN06
40694122,TRACKSIDE,Queens,11446,ROCKAWAY BOULEVARD,11420.0,7188459610,American,F,10B,Cycle Inspection / Initial Inspection,QN55
50044351,HAPPY HOT HUNAN RESTAURANT,Manhattan,969,AMSTERDAM AVENUE,10025.0,2125311788,Chinese,D,10G,Cycle Inspection / Re-inspection,MN09
50082095,HORTUS NYC,Manhattan,271,5 AVENUE,10016.0,6468583784,Asian/Asian Fusion,D,06C,Cycle Inspection / Re-inspection,MN17
41302113,GIANO,Manhattan,126,EAST    7 STREET,10009.0,2126737200,Italian,P,10B,Cycle Inspection / Initial Inspection,MN22
50087668,POPEYES,Brooklyn,1153,FULTON STREET,11216.0,7182308918,Chicken,F,04K,Pre-permit (Operational) / Initial Inspection,BK69
41210181,JAMAO COFFEE SHOP RESTAURANT,Queens,17716,LIBERTY AVENUE,11433.0,7185269246,Latin American,D,04L,Cycle Inspection / Re-inspection,QN01
50044144,PAPA JOHN'S,Bronx,475,WILLIS AVENUE,10455.0,7182080127,Pizza,U,04A,Cycle Inspection / Initial Inspection,BX39
41071907,LENOX FAST FOOD,Manhattan,657,LENOX AVENUE,10037.0,2122815812,American,G,06C,Cycle Inspection / Initial Inspection,MN03
40364449,GOTTSCHEER HALL,Queens,657,FAIRVIEW AVENUE,11385.0,7183663030,German,D,08A,Cycle Inspection / Re-inspection,QN20
50010943,AMERICAN TURNERS NEW YORK,Bronx,748,CLARENCE AVENUE,10465.0,7188294200,American,D,10F,Cycle Inspection / Initial Inspection,BX52
41486182,TAKE AWAY & CAFE,Brooklyn,7006,3 AVENUE,11209.0,7186800777,American,P,02G,Cycle Inspection / Initial Inspection,BK31
50065324,GIOVANNI'S ITALIAN PIZZERIA,Manhattan,1011,COLUMBUS AVENUE,10025.0,2126637000,Pizza,P,02G,Cycle Inspection / Initial Inspection,MN09
