Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Research Projects,Chief Executive's Office,Meeting Zone,ROMOU265,0.18,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Computer hardware and software,Business Support Directorate,Website Toolbox,TTHOM0894,3.31,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Courier service,Innovation Directorate,Amazon,ANBEC136,7.11,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Computer hardware and software,Business Support Directorate,Justtheshop,ROMOU260,7.99,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Books  Newspapers & Publications,Patents Directorate,Stationery Office,10524010,9.26,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Books  Newspapers & Publications,Patents Directorate,AMAZON,KLAYT04,11.04,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Office Supplies,Business Support Directorate,Liscombe,Maurice 409,13.23,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Travel and subsistence Overseas,Patents Directorate,Personal expenses name witheld,48422,13.25,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Minor Building Works & Maintenance,Business Support Directorate,BOC,ethib235,13.61,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Minor Building Works & Maintenance,Business Support Directorate,BOC ,Maurice 425,13.69,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Computer hardware and software,Business Support Directorate,freeparking.co.uk,ROMOU256,14.98,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Other Stationery & General Supplies,Patents Directorate,Staples,ANBEC138,15.59,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Courier service,SABIP,Post Office Ltd,DHUMPH,16.5,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Minor Building Works & Maintenance,Business Support Directorate,Newey&Eyre,ethib228,17.2,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Minor Building Works & Maintenance,Business Support Directorate,Griffiths Signs,yjohn342,17.63,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Other Stationery & General Supplies,Innovation Directorate,Techstore,ANBEC128,18.55,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Other Stationery & General Supplies,Innovation Directorate,Labelzone,ANBEC137,18.79,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Books  Newspapers & Publications,Innovation Directorate,Amazon,ANBEC126,18.99,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Books  Newspapers & Publications,International Policy Directorate,Waterstone's bookshop,JPTAK,19.99,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Minor Building Works & Maintenance,Business Support Directorate,RS Components,ethib241,20.68,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Books  Newspapers & Publications,Business Support Directorate,Amazon,ss017,21.3,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Computer hardware and software,Business Support Directorate,Amazon,ROMOU264,21.42,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Other Stationery & General Supplies,Patents Directorate,UK Office Direct,ANBEC129,23.25,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Books  Newspapers & Publications,Business Support Directorate,Amazon,ss019,23.34,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Books  Newspapers & Publications,International Policy Directorate,www.amazon.co.uk,JPTAK202-7411834-1958725,24.2,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Entertainment,Business Support Directorate,Garraways,ethib212,24.96,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Entertainment,Business Support Directorate,Garraways,ethib230,24.96,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Computer hardware and software,Business Support Directorate,Websitepulse,ROMOU259,25.56,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Minor Building Works & Maintenance,Business Support Directorate,Screwfix,ethib231,27.25,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Travel and subsistence UK,Innovation Directorate,Edreams,NIILE38,27.63,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Travel and subsistence Overseas,Patents Directorate,NCP Birmingham,HHART12,27.8,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Training,Patents Directorate,Farnborough Airshow,HHART09,28,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Books  Newspapers & Publications,Copyright and IP Enforcement Directorate,ebookshop,SGILES,29.44,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Computer hardware and software,Business Support Directorate,Amazon,ROMOU258,29.94,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Other Stationery & General Supplies,Copyright and IP Enforcement Directorate,Defendapack,ANBEC133,32.53,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,48427,33,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Computer hardware and software,Business Support Directorate,Maplin,ROMOU261,35.96,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Books  Newspapers & Publications,Innovation Directorate,Abebooks.com,ANBEC130,36.29,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Office Supplies,Business Support Directorate,Office 2 Me,Maurice 427,36.93,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Travel and subsistence UK,Copyright and IP Enforcement Directorate,Leasedrive Velo Rental Management Ltd,RHI00423936,38.6,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Office Supplies,Business Support Directorate,Office Equip,Maurice 420,41.24,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Other Stationery & General Supplies,Finance Directorate,Label Planet,ANBEC134,42.3,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Office Supplies,Business Support Directorate,Notetop,yjohn346,42.3,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Minor Building Works & Maintenance,Business Support Directorate,Newey&Eyre,ethib243,45.29,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Minor Building Works & Maintenance,Business Support Directorate,Newey&Eyre,ethib245,47.8,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Office Supplies,Business Support Directorate,Beaucaucare,yjohn347,48.76,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Entertainment,Business Support Directorate,Garraways,ethibDISPUTE ,49.92,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Minor Building Works & Maintenance,Business Support Directorate,Newey&Eyre,ethib234,52.34,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Books  Newspapers & Publications,Business Support Directorate,Amazon,ss018,54.47,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Training,Patents Directorate,Farnborough Airshow,HHART,56,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Other Stationery & General Supplies,Copyright and IP Enforcement Directorate,MPD Hook & Loop,ANBEC132,56.35,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Books  Newspapers & Publications,Business Support Directorate,Amazon,ss016,58.15,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Minor Building Works & Maintenance,Business Support Directorate,Climate Centre,Maurice 428,61.04,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Minor Building Works & Maintenance,Business Support Directorate,Newey&Eyre,ethib242,65.21,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Travel and subsistence UK,Innovation Directorate,Flybe,NIILE45,65.49,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Training,Patents Directorate,WIPO,ROMOU263,65.89,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Office Supplies,Business Support Directorate,Seton,Maurice 426,66.33,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Entertainment,Patents Directorate,M&S,HHART08,67.05,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Office Supplies,Business Support Directorate,IJTdfirect,yjohn345,69.8,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2010,Computer hardware and software,Business Support Directorate,Windowware,TTHOM0909,70.55,Not recorded
