Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
"Department for Environment, Food and Rural Affairs",Ministerial Department,"Department for Environment, Food and Rural Affairs",180,171.97,354,337.17,1049,1014.45,567,544.08,95,92.59,0,0,2245,2160.26,15,15,9,9,55,55,3,3,82,82,2327,2242.26,"£6,874,663",£0,"£15,472","£35,171","£1,360,772","£583,377","£8,869,455","£717,542","£16,601","£734,143","£9,603,598",
Animal Health and Veterinary Laboratories Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",842,771.75,541,506.74,746,698.95,179,173.57,9,9,0,0,2317,2160.01,43,42.4,2,2,30,30,0,0,75,74.4,2392,2234.41,"£5,866,670","£76,866",£0,"£101,386","£1,140,627","£477,414","£7,662,963","£321,911",£0,"£321,911","£7,984,874",
"Centre for Environment, Fisheries and Aquaculture Science",Executive Agency,"Department for Environment, Food and Rural Affairs",86,79.45,131,124.8,239,223.59,90,86.1,3,3,0,0,549,516.94,0,0,0,0,0,0,0,0,0,0,549,516.94,"£1,293,051","£43,027",£0,"£34,107","£249,007","£105,287","£1,724,479",£0,£0,£0,"£1,724,479",
Food and Environment Research Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",161,147.91,143,131.95,210,193.55,74,71.12,4,4,15,15,607,563.53,6,6,3,3,8,8,2,2,19,19,626,582.53,"£1,318,214","£22,671","£193,989","£7,283","£116,217","£248,789","£1,907,165","£84,193","£46,786","£130,979","£2,038,144",
Rural Payments Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",809,716.23,630,581.64,479,458.72,149,147.84,15,15,0,0,2082,1919.43,64,64,57,57,0,0,0,0,121,121,2203,2040.43,"£4,359,760","£57,469","£13,800","£62,256","£798,464","£321,994","£5,613,742","£74,101","£1,086,073","£1,160,173","£6,773,916","With the introduction of a new HR system in July, currently we are not in a position to provide separate figures for our interim managers and specialist contractors so the figure provided in column T&U is for both of these roles."
Veterinary Medicines Directorate ,Executive Agency,"Department for Environment, Food and Rural Affairs",34,32.43,31,29.52,48,47.41,41,40.7,3,3,0,0,157,153.06,10,9.2,0,0,2,0.4,0,0,12,9.6,169,162.66,"£494,748","£9,147",£0,£556,"£100,114","£43,707","£648,272","£52,565",£0,"£52,565","£700,837",
Agricultural Wages Board for England and Wales,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Board does not employ any staff
Agricultural Wages Committee x 15,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Committees do not employ any staff
Agriculture and Horticulture Development Board,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,0,0,0,0,0,0,0,0,388,377.7,388,377.7,17,17,0,0,21,21,0,0,38,38,426,415.7,"£1,095,572","£40,611",£0,£53,"£95,963","£119,258","£1,351,457","£74,253",£0,"£74,253","£1,425,710",AHDB is funded through a levy paid by farmers and others in the agricultural supply chain.  No funding towards staffing or other running costs is received from the Government. 
Consumer Council for Water,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",9,8.42,30,28.98,20,19.09,9,9,4,4,0,0,72,69.49,1,1,0,0,0,0,0,0,1,1,73,70.49,"£177,418",£417,£0,£0,"£30,722","£14,339","£222,896","£2,342",£0,"£2,342","£225,238",
