Minister,Date,Name of organisation or individual,Purpose of meeting
Greg Clark,2018-04-05,Rolls Royce Ltd,To discuss automotive issues
Greg Clark,2018-04-06,Arup,To discuss clean growth champion (by telephone)
Greg Clark,2018-04-11,Nissan,To discuss automotive issues
Greg Clark,2018-04-16,Unilever,To discuss business issues (by telephone)
Greg Clark,2018-04-16,Leclanché,To discuss automotive issues
Greg Clark,2018-04-17,BMW Group,To discuss the Future of Mobility Grand Challenge
Greg Clark,2018-04-17,"The Society of Motor Manufacturers & Traders (SMMT), Nissan Motors GB, Ford of Britain, Honda, BMW Group, PSA/Vauxhall Motors, Volkswagen, Jaguar Land Rover, Aston Martin Lagonda, Continental & Flying Spur, Bentley Motors, Toyota Motor Europe London, Toyota Motor Europe London, Renault UK, LEVC",To discuss the Road to Zero Strategy
Greg Clark,2018-04-18,"British Chambers of Commerce, Institute of Directors, Federation of Small Businesses, Confederation of British Industry, EEF  The Manufacturers Organisation",Business Advisory Group meeting to discuss EU exit
Greg Clark,2018-04-18,Centrica,To discuss energy issues
Greg Clark,2018-04-18,EDF Energy,To discuss nuclear issues
Greg Clark,2018-04-18,Charles Hendry,To discuss energy issues
Greg Clark,2018-04-22,Melrose,To discuss Melrose/GKN
Greg Clark,2018-04-23,Trade Union Congress,To discuss Carillion
Greg Clark,2018-04-23,"Trade Union Congress, Specialist Engineering Contractors Group, British Business Bank, Construction Industry Training Board, Small Business Commissioner, UK Finance",Carillion Taskforce meeting
Greg Clark,2018-04-25,British Telecom,"To discuss Industrial Strategy, growth and productivity"
Greg Clark,2018-04-26,Society of Motor Manufacturers and Traders,To discuss Road to Zero
Greg Clark,2018-04-26,"Aerospace Growth Partnership, Airbus Commercial Aircraft, Rolls-Royce, Bombardier Aerostructures and Engineering Services, Aerospace, Defence, Security & Space, Cranfield University, Thales UK, Aerospace Technology Institute, Spirit AeroSystems, Production Safran Landing Systems, United Technologies Corporation, GKN Aerospace ",To discuss the aerospace Sector 
Greg Clark,2018-04-30,Asda Stores Ltd,To discuss retail issues (by telephone)
Greg Clark,2018-04-30,Hitachi,To discuss nuclear issues (by telephone)
Greg Clark,2018-04-30,Sainsburys ,To discuss retail issues (by telephone)
Greg Clark,2018-04-30,Sainsburys ,To discuss retail issues (by telephone)
Greg Clark,2018-04-30,Ford (Europe),To discuss Road to Zero
Greg Clark,2018-04-30,TUI Group,"To discuss aviation, EU Exit and tourism"
Greg Clark,2018-05-01,London School of Economics and Political Science ,To discuss Industrial Strategy and research funding
Greg Clark,2018-05-01,Bloodhound Programme Ltd,To discuss the project
Greg Clark,2018-05-02,"British Chambers of Commerce, Institute of Directors, Federation of Small Businesses, Confederation of British Industry, EEF  The Manufacturers Organisation",To discuss apprenticeships
Greg Clark,2018-05-03,Hitachi,To discuss nuclear issues
Greg Clark,2018-05-08,Rolls Royce,To discuss Advanced Modular Reactors
Greg Clark,2018-05-08,Siemens,To discuss industrial strategy
