Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Telephone Rentals and Call Charges,Business Support Directorate,02 Rentals,TTHOM0898,-100.0,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Telephone Rentals and Call Charges,Business Support Directorate,02 Rentals,TTHOM0899,-100.0,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Telephone Rentals and Call Charges,Business Support Directorate,02 Rentals,TTHOM0900,-100.0,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Telephone Rentals and Call Charges,Business Support Directorate,02 Rentals,TTHOM0901,-100.0,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Travel and subsistence Overseas,Patents Directorate,NCP Booking,JWILL,-37.5,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Computer hardware and software,Business Support Directorate,Website tool box,TTHOM0894,3.36,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Training,International Policy Directorate,AMAZON,RGRE005,5.44,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Computer hardware and software,Business Support Directorate,Amazon,ROMOU233,8.7,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Computer hardware and software,Business Support Directorate,Amazon,ROMOU232,9.98,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Training,International Policy Directorate,amazon.co.uk,JPTAK,14.31,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,47830,14.4,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Travel and subsistence UK,Chief Executive's Office,Personal expenses name witheld,47835,15.0,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Books Newspapers & Publications,Innovation Directorate,Amazon,ANBEC113,16.53,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Entertainment,International Policy Directorate,Marks & Spencer,JPTAK,17.01,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Books Newspapers & Publications,Finance Directorate,Amazon,ANBEC114,19.48,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Computer hardware and software,Business Support Directorate,Maplin,ROMOU236,20.97,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,47833,21.6,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Research Projects,Chief Executive's Office,Meeting Zone,ROMOU238,22.48,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Entertainment,Business Support Directorate,Garraways,ethib 206,24.96,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Training,Copyright and IP Enforcement Directorate,Melville Data Services,SGILES,25.0,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Computer hardware and software,Business Support Directorate,Websitepulse,ROMOU230,25.5,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Office Supplies,Business Support Directorate,Office 2 Me,yjohn329,26.0,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Entertainment,Business Support Directorate,Garraways,ethib 201,27.94,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Minor Building Works & Maintenance,Business Support Directorate,Screwfix,Maurice 383,29.31,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Entertainment,Business Support Directorate,Garraways,ethib 198,29.95,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Books Newspapers & Publications,Finance Directorate,Profex,ANBEC118,30.0,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Travel and subsistence Overseas,International Policy Directorate,Heathrow Express,RGRE004,32.0,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Minor Building Works & Maintenance,Business Support Directorate,Newey & Eyre,Maurice 378,32.38,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Books Newspapers & Publications,Business Support Directorate,TSO,ROMOU237,33.75,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Minor Building Works & Maintenance,Business Support Directorate,Newey & Eyre,Maurice 379,34.83,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Training,International Policy Directorate,amazon.co.uk,JPTAK,38.43,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Travel and subsistence Overseas,Patents Directorate,NCP Booking,JWILL42,39.0,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Minor Building Works & Maintenance,Business Support Directorate,Newey & Eyre,Maurice 386,39.95,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Books Newspapers & Publications,Business Support Directorate,Amazon.co.uk,TARTH033,41.82,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Other Stationery & General Supplies,Finance Directorate,Label Planet,ANBEC115,42.3,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Books Newspapers & Publications,Business Support Directorate,Amazon.co.uk,TARTH029 ,43.24,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Travel and subsistence Overseas,Patents Directorate,BristolAirport.com,JWILL,43.9,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Entertainment,Business Support Directorate,Refreshment shop,ethib 202,44.56,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Books Newspapers & Publications,Business Support Directorate,Buy Stationary,ss002,49.59,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Office Supplies,Business Support Directorate,Countplace,Maurice 377,53.76,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Travel and subsistence UK,Innovation Directorate,Amazon,NI1,53.87,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Books Newspapers & Publications,Copyright and IP Enforcement Directorate,Amazon.co.uk,blope2,53.9,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Entertainment,Business Support Directorate,Nisbets,ethib 208,56.36,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Minor Building Works & Maintenance,Business Support Directorate,Newey & Eyre,Maurice 302,56.52,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Office Supplies,Business Support Directorate,Tesco,yjohn330,59.92,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Books Newspapers & Publications,Copyright and IP Enforcement Directorate,Marston Book Ltd,SGILES,60.0,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Minor Building Works & Maintenance,Business Support Directorate,Newey & Eyre,ethib 209,63.74,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Minor Building Works & Maintenance,Business Support Directorate,Screwfix,ethib 205,65.15,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Entertainment,International Policy Directorate,Personal expenses name witheld,47837,66.26,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Books Newspapers & Publications,Business Support Directorate,Amazon.co.uk,TARTH027,69.95,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Telephone Rentals and Call Charges,Business Support Directorate,02 Rentals,TTHOM0901,81.69,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Travel and subsistence UK,Copyright and IP Enforcement Directorate,Leasedrive Velo Rental Management Ltd,RHI00384524,84.37,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Office Supplies,Business Support Directorate,Dumham-bush,Maurice 381,88.13,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Computer hardware and software,Business Support Directorate,PC World,ROMOU228,89.99,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Travel and subsistence Overseas,Trade Marks Directorate,RYANAIR LTD,MHAMB01,89.99,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Computer hardware and software,Business Support Directorate,Evocal,ROMOU235,93.86,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Travel and subsistence UK,Innovation Directorate,Expotel,NIILE33,98.43,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Books Newspapers & Publications,Innovation Directorate,Ark Group,ANBEC116,102.5,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Travel and subsistence Overseas,Trade Marks Directorate,Easyjet,CMUND032,103.09,Not available
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2010,Minor Building Works & Maintenance,Business Support Directorate,Screwfix,ethib 199,103.34,Not available
