Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Books  Newspapers & Publications,Business Support Directorate,Amazon,CPC JAN4297,42.97,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Entertainment,International Policy Directorate,Sainsbury's ,GPC JAN3321,33.21,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Furniture & Fittings,Business Support Directorate,Envosort,nrega059,2641.44,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Computer hardware and software,Business Support Directorate,Mindjet,nrega060,2883.6,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Books  Newspapers & Publications,Finance Directorate,Turpin Distribution,MHUMP44,32.45,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Books  Newspapers & Publications,Patents Directorate,GCC,ECALL06,5.97,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Marketing and Publicity ,Innovation Directorate,Melville,ERICH21,118.08,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Office Supplies,Business Support Directorate,Newey& Eyre,YJohnson391,270.0,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Office Supplies,Business Support Directorate,Asda,YJohnson392,11.92,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Office Supplies,Business Support Directorate,Tesco,YJohnson393,32.97,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Office Supplies,Business Support Directorate,Senator,YJohnson394,36.0,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Minor Buiding Works &Maintenance,Business Support Directorate,Newey& Eyre,YJohnson395,271.68,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Office Supplies,Business Support Directorate,Liscombe,YJohnson396,43.49,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Office Supplies,Patents Directorate,Hobbycraft,YJohnson399,24.57,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Paper,Business Support Directorate,Hobby Craft,GPC JAN 2396,23.96,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Paper,Business Support Directorate,Hobby Craft,GPC JAN4474,44.74,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Paper,Business Support Directorate,Hobby Craft,GPC JAN 1398,13.98,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Paper,Business Support Directorate,DRI Neilson Norman,GPCJAN19796,197.96,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Travel and subsistence UK,Business Support Directorate,Travelodge,NI28,41.65,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Training,Innovation Directorate,LES,NI29,-50.0,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Books  Newspapers & Publications,Innovation Directorate,Times,NI30,8.66,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Books  Newspapers & Publications,Innovation Directorate,Amazon,NI31,37.79,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Books  Newspapers & Publications,Business Support Directorate,Amazon,NI32,5.32,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Travel and subsistence Overseas,Business Support Directorate,US VISA,NI33,9.29,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Travel and subsistence Overseas,Business Support Directorate,US VISA,NI34,9.3,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Entertainment,International Policy Directorate,Marks and Spencer,RGRE012,160.97,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Travel and subsistence Overseas,Chief Executive's Office,Eurostar internet,MCIAV05,411.0,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Accommodation charges,Copyright and IP Enforcement Directorate,Expedia.co.uk,blope3,94.5,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Travel and subsistence Overseas,Patents Directorate,Novotel Birmingham,48,75.0,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Minor Buiding Works &Maintenance,Business Support Directorate,Screwfix,Maurice 526,51.04,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Office Supplies,Business Support Directorate,Eureka,Maurice 528,53.82,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Minor Buiding Works &Maintenance,Business Support Directorate,Screwfix,Maurice 529,225.58,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Office Supplies,Business Support Directorate,Brandon Hire,Maurice 529A,44.63,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Minor Buiding Works &Maintenance,Business Support Directorate,Travis Perkins,Maurice 530,26.61,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Minor Buiding Works &Maintenance,Business Support Directorate,Newey & Eyre,Maurice 531,153.96,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Office Supplies,Business Support Directorate,Nu Key,205758GPC,28.26,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Office Supplies,Business Support Directorate,Office 2 Me,65GPC,27.51,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Minor Buiding Works &Maintenance,Business Support Directorate,Screwfix,Maurice 535,107.98,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Minor Buiding Works &Maintenance,Business Support Directorate,CNM,Maurice 536,645.03,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2011,Office Supplies,Business Support Directorate,Notetop,Maurice 537,155.76,Not known
