Academic Year,Level,TAP Level of Study,TAP Sector Group,Recipient Age Group,TAP Financial Status,TAP Recipient Dollars
2012,U,2 yr Undergrad,5-INDEPENDENT,over age 50,Financial_Independent,852.0
2007,U,2 yr Undergrad,2-CUNY CC,age 26 - 35,Financial_Dependent,250.0
2004,U,2 yr Undergrad,4-SUNY CC,age 26 - 35,Financial_Independent,50682.75
2013,U,2 yr Undergrad,5-INDEPENDENT,age 22 - 25,Financial_Dependent,16210.0
2009,U,4 yr Undergrad,3-SUNY SO,under age 22,Financial_Dependent,2967510.68
2016,U,2 yr Undergrad,6-BUS. DEGREE,over age 50,Financial_Independent,250.0
2011,U,4 yr Undergrad,1-CUNY SR,age 22 - 25,Financial_Independent,1533416.8
2018,U,5 yr Undergrad,3-SUNY SO,under age 22,Financial_Dependent,1007.0
2000,U,2 yr Undergrad,6-BUS. DEGREE,age 26 - 35,Financial_Dependent,7595.85
2007,U,2 yr Undergrad,4-SUNY CC,under age 22,Financial_Independent,34858.5
2011,U,2 yr Undergrad,6-BUS. DEGREE,age 26 - 35,Financial_Dependent,1000.0
2004,U,2 yr Undergrad,1-CUNY SR,age 36 - 50,Financial_Independent,500.0
2003,U,2 yr Undergrad,7-BUS. NON-DEG,age 36 - 50,Financial_Independent,1265.0
2016,U,2 yr Undergrad,2-CUNY CC,under age 22,Financial_Dependent,2675483.17
2011,U,2 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,2454.0
2006,U,5 yr Undergrad,3-SUNY SO,over age 50,Financial_Independent,2350.0
2001,U,4 yr Undergrad,3-SUNY SO,age 26 - 35,Financial_Dependent,1662.5
2010,U,4 yr Undergrad,5-INDEPENDENT,age 22 - 25,Financial_Dependent,11718.85
2000,U,4 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,7810.5
2009,U,4 yr Undergrad,3-SUNY SO,age 26 - 35,Financial_Independent,1737.5
2012,U,4 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Dependent,178044.25
2004,U,2 yr Undergrad,7-BUS. NON-DEG,under age 22,Financial_Independent,10000.0
2007,U,4 yr Undergrad,4-SUNY CC,under age 22,Financial_Dependent,15341.0
2012,U,4 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Independent,1462.5
2009,U,4 yr Undergrad,1-CUNY SR,age 36 - 50,Financial_Independent,4974.5
2008,U,4 yr Undergrad,5-INDEPENDENT,under age 22,Financial_Dependent,5692.5
2014,U,4 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Dependent,9120.5
2009,U,5 yr Undergrad,5-INDEPENDENT,under age 22,Financial_Dependent,25280.0
2013,U,4 yr Undergrad,4-SUNY CC,age 22 - 25,Financial_Dependent,4071.5
2003,U,4 yr Undergrad,5-INDEPENDENT,age 22 - 25,Financial_Independent,87478.0
2001,U,5 yr Undergrad,3-SUNY SO,under age 22,Financial_Independent,1148.25
2015,U,4 yr Undergrad,3-SUNY SO,age 26 - 35,Financial_Independent,60997.5
2011,U,4 yr Undergrad,3-SUNY SO,under age 22,Financial_Independent,6912.0
2004,U,4 yr Undergrad,5-INDEPENDENT,over age 50,Financial_Independent,2022.25
2016,U,2 yr Undergrad,6-BUS. DEGREE,age 36 - 50,Financial_Independent,905.0
2013,U,5 yr Undergrad,1-CUNY SR,under age 22,Financial_Dependent,24085.25
2000,U,5 yr Undergrad,2-CUNY CC,age 36 - 50,Financial_Independent,1112.5
2003,G,Grad,3-SUNY SO,age 26 - 35,Financial_Dependent,550.0
2002,U,4 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,1375.0
2010,U,2 yr Undergrad,2-CUNY CC,age 36 - 50,Financial_Independent,9698.5
2000,U,2 yr Undergrad,4-SUNY CC,age 26 - 35,Financial_Dependent,137.5
2013,U,4 yr Undergrad,3-SUNY SO,under age 22,Financial_Dependent,15239.5
2001,G,Grad,1-CUNY SR,age 22 - 25,Financial_Dependent,404.0
2017,U,2 yr Undergrad,4-SUNY CC,over age 50,Financial_Independent,1064.0
2016,U,2 yr Undergrad,6-BUS. DEGREE,under age 22,Financial_Dependent,100584.7
2019,U,2 yr Undergrad,7-BUS. NON-DEG,age 22 - 25,Financial_Independent,6971.64
2008,U,4 yr Undergrad,3-SUNY SO,age 36 - 50,Financial_Independent,2257.25
2001,U,4 yr Undergrad,6-BUS. DEGREE,age 36 - 50,Financial_Independent,3429.0
2007,U,4 yr Undergrad,5-INDEPENDENT,over age 50,Financial_Independent,5031.25
2017,U,2 yr Undergrad,2-CUNY CC,under age 22,Financial_Dependent,83295.5
2014,U,4 yr Undergrad,6-BUS. DEGREE,age 36 - 50,Financial_Independent,731.25
2008,U,5 yr Undergrad,5-INDEPENDENT,age 22 - 25,Financial_Dependent,1000.0
2014,U,2 yr Undergrad,5-INDEPENDENT,age 22 - 25,Financial_Dependent,7673.67
2002,U,4 yr Undergrad,5-INDEPENDENT,over age 50,Financial_Independent,7043.75
2002,U,4 yr Undergrad,4-SUNY CC,under age 22,Financial_Dependent,1500.0
2004,U,2 yr Undergrad,8-OTHER,age 22 - 25,Financial_Dependent,250.0
2019,U,2 yr Undergrad,6-BUS. DEGREE,over age 50,Financial_Independent,8848.72
2012,U,2 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Dependent,1622.0
2011,U,4 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Independent,500.0
2014,U,2 yr Undergrad,2-CUNY CC,age 26 - 35,Financial_Dependent,6573.0
2005,U,4 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Independent,750.0
2018,U,2 yr Undergrad,1-CUNY SR,age 36 - 50,Financial_Independent,3025.0
2001,U,2 yr Undergrad,8-OTHER,age 36 - 50,Financial_Independent,2849.0
2003,U,2 yr Undergrad,2-CUNY CC,age 22 - 25,Financial_Independent,8803.5
