scientific name,family name,common name
carya cordiformis,juglandaceae,bitternut hickory
symphyotrichum pilosum,asteraceae,white heath aster
iva annua,asteraceae,annual marsh elder
quercus lyrata,fagaceae,overcup oak
belamcanda chinensis,iridaceae,blackberry lily
selaginella oregana,selaginellaceae,oregon spikemoss
catalpa speciosa,bignoniaceae,northern catalpa
ampelopsis cordata,vitaceae,heartleaf ampelopsis
cuscuta sp.,cuscutaceae,dodder
sedum pulchellum,crassulaceae,pink stonecrop
symphoricarpos orbiculatus,caprifoliaceae,coralberry
papaver rhoeas,papaveraceae,corn poppy
packera aurea,asteraceae,golden ragwort
prunus americana,rosaceae,american plum
sorghum halepense,poaceae,johnsongrass
crepis pulchra,asteraceae,smallflower hawksbeard
oxalis stricta,oxalidaceae,yellow wood-sorrel
arenaria capillaris,caryophyllaceae,slender mountain sandwort
perilla frutescens,lamiaceae,beefsteak plant
aquilegia canadensis,ranunculaceae,red columbine
osmorhiza longistylis,apiaceae,long style sweetroot
dalea foliosa,fabaceae,leafy prairie clover
helianthus eggertii,asteraceae,eggert's sunflower
lobelia siphilitica,campanulaceae,great blue lobelia
liatris spicata,asteraceae,dense blazing star
opuntia leptocaulis,cactaceae,desert christmas cactus
zanthoxylum americanum,rutaceae,common prickly ash
parkinsonia microphylla,fabaceae,yellow paloverde
fragaria virginiana,rosaceae,virginia strawberry
rhexia mariana,melastomataceae,maryland meadow beauty
phlox bifida ssp. stellaria,polemoniaceae,glade phlox
poa pratensis,poaceae,kentucky bluegrass
croton monanthogynus,euphorbiaceae,lemon spurge
matelea obliqua,asclepiadaceae,climbing milkvine
fraxinus pennsylvanica,oleaceae,green ash
rosa setigera,rosaceae,prarie rose
pinus rigida,pinaceae,pitch pine
maclura pomifera,moraceae,osage orange
chamaecyparis nootkatensis,cupressaceae,alaska cedar
quercus prinus,fagaceae,chestnut oak
magnolia acuminata,magnoliaceae,cucumber-tree
caulophyllum thalictroides,berberidaceae,blue cohosh
fraxinus quadrangulata,oleaceae,blue ash
hydrangea arborescens,hydrangeaceae,wild hydrangea
ageratina altissima,asteraceae,white snakeroot
asclepias quadrifolia,asclepiadaceae,four leaf milkweed
abies fraseri,pinaceae,fraser fir
quercus pagoda,fagaceae,cherrybark oak
spiranthes vernalis,orchidaceae,spring lady's tresses
lesquerella stonensis,brassicaceae,stone river bladderpod
helenium flexuosum,asteraceae,purplehead sneezeweed
artemisia tripartita,asteraceae,threetip sagebrush
opuntia engelmannii var. linguiformis,cactaceae,cow's tongue cactus
helianthus occidentalis,asteraceae,western sunflower
pinus strobus,pinaceae,eastern white pine
hypericum frondosum,clusiaceae,cedarglade st. johnswort
arctium minus,asteraceae,lesser burrdock
anemone caroliniana,ranunculaceae,carolina anemone
collinsonia canadensis,lamiaceae,richweed
thaspium barbinode,apiaceae,hairyjoint meadow parsnip
ostrya virginiana,betulaceae,hophornbeam
rubus flagellaris,rosaceae,northern dewberry
platanus wrightii,platanaceae,arizona sycamore
bupleurum rotundifolium,apiaceae,hare's ear
pyrus communis,rosaceae,common pear
oxalis oregana,oxalidaceae,redwood sorrel
tragia cordata,euphorbiaceae,heartleaf noseburn
bignonia capreolata,bignoniaceae,crossvine
cynoglossum virginianum,boraginaceae,wild comfrey
picea pungens,pinaceae,blue spruce
echinocereus nicholii,cactaceae,golden hedgehog cactus
polygala sanguinea,polygalaceae,field milkwort
rhododendron catawbiense,ericaceae,catawba rhododendron
cladrastis  kentukea,fabaceae,yellowwood
hybanthus concolor,violaceae,green violet
ginkgo biloba,ginkgoaceae,maidenhair tree
houstonia purpurea ssp. purpurea,rubiaceae,summer bluet
monarda bradburiana,lamiaceae,eastern beebalm
cedrus deodara,pinaceae,deodar cedar
morus rubra,moraceae,red mulberry
vicia sativa ssp. nigra,fabaceae,purple vetch
ambrosia artemisiifolia,asteraceae,common ragweed
frasera caroliniensis,gentianaceae,american columbo
cystopteris protrusa,dryopteridaceae,lowland bladderfern
mahonia aquifolium,berberidaceae,mahonia
stellaria pubera,caryophyllaceae,giant chickweed
daucus carota,apiaceae,queen anne's lace
silene latifolia,caryophyllaceae,white campion
xyris caroliniana,xyridaceae,carolina yellow eyed grass
corallorhiza wisteriana,orchidaceae,spring coralroot
carya glabra,juglandaceae,pignut hickory
clematis versicolor,ranunculaceae,pale leather flower
liatris squarrosa,asteraceae,scaly blazing star
clinopodium glabellum,lamiaceae,glade savory
abies grandis,pinaceae,grand fir
picea mariana,pinaceae,black spruce
oenothera macrocarpa ssp. macrocarpa,onagraceae,missouri evening primrose
lobelia cardinalis,campanulaceae,cardinal flower
lonicera maackii,caprifoliaceae,amur honeysuckle
anaphalis margaritacea,asteraceae,western pearly everlasting
tsuga canadensis,pinaceae,eastern hemlock
cardamine bulbosa,brassicaceae,spring cress
tipularia discolor,orchidaceae,cranefly orchid
sapindus saponaria ssp. drummondii,sapindaceae,western soapberry
photinia pyrifolia,rosaceae,red chokeberry
alliaria petiolata,brassicaceae,garlic mustard
opuntia clavata,cactaceae,club cholla
carya carolinae-septentrionalis,juglandaceae,southern shagbark hickory
silene stellata,caryophyllaceae,starry campion
taxodium  distichum,taxodiaceae,bald cypress
aristida stricta,poaceae,wiregrass
ornithogalum umbellatum,liliaceae,star of bethlehem
campanulastrum americanum,campanulaceae,american bellflower
grindelia lanceolata,asteraceae,narrowleaf gumweed
desmodium pauciflorum,fabaceae,fewflower ticktrefoil
phlox amoena,polemoniaceae,hairy phlox
acer macrophyllum,aceraceae,bigleaf maple
betula alleghaniensis,betulaceae,yellow birch
arundinaria gigantea,poaceae,giant cane
eupatorium fistulosum,asteraceae,hollow joe pye weed
cuphea viscosissima,lythraceae,blue waxweed
capsella bursa-pastoris,brassicaceae,shepherd's purse
smilax rotundifolia,smilacaceae,common greenbrier
chionanthus virginicus,oleaceae,white fringetree
linum usitatissimum,linaceae,common flax
psilotum nudum,psilotaceae,whisk fern
opuntia santa-rita,cactaceae,santa rita prickly pear
hydrangea quercifolia,hydrangeaceae,oakleaf hydrangea
asclepias tuberosa,asclepiadaceae,butterflyweed
agave vilmoriniana,agavaceae,octopus agave
phlox divaricata,polemoniaceae,blue phlox
vaccinium stamineum,ericaceae,deerberry
vicia caroliniana,fabaceae,wood vetch
rosa carolina,rosaceae,carolina rose
pinus elliottii,pinaceae,slash pine
smilax glauca,smilacaceae,cat greenbrier
lythrum salicaria,lythraceae,purple loosestrife
arabis laevigata,brassicaceae,smooth rock cress
castanea dentata,fagaceae,american chestnut
asclepias viridiflora,asclepiadaceae,green comet milkweed
prunus angustifolia,rosaceae,chickasaw plum
sanguinaria canadensis,papaveraceae,bloodroot
collinsia verna,scrophulariaceae,spring blue eyed mary
justicia americana,acanthaceae,american water willow
brassica rapa,brassicaceae,turnip mustard
oxalis priceae,oxalidaceae,price's woodsorrel
platanus occidentalis,platanaceae,american sycamore
lactuca floridana,asteraceae,tall blue lettuce
elaeagnus umbellata,elaeagnaceae,autumn olive
spiraea japonica,rosaceae,japanese meadowsweet
equisetum arvense,equisetaceae,field horsetail
pycnanthemum pycnanthemoides,lamiaceae,southern mountain mint
