Year,Quarter,LocationDesc,HealthTopic,PolicyTopic,Setting,Title,PolicyTypeID,PolicyTopicID
2006,1,New Jersey,Physical Activity,"Parks, Recreation and Trails",Community,Open Space Acquisition,LEG,034PRT
2011,1,Vermont,Nutrition,Access to Healthy Foods,Community,Blue Ribbon Tax Structure Commission,LEG,001AHF
2007,1,Arkansas,Nutrition,Appropriations,School/After School,Annual Student Body Mass Index Report,LEG,002APP
2012,1,Rhode Island,Physical Activity,Physical Education Requirements,School/After School,Regulations Governing the Education of Children with  Disabilities<br>,REG,036PER
2010,1,North Carolina,Nutrition,Initiatives and Programs,Community,Video Gaming and Profit Sharing,LEG,053INP
2004,1,New Jersey,Nutrition,Liability and Indemnity,Community,Garden Stare Preservation Trust Act,LEG,030LAI
2011,1,Florida,Physical Activity,Physical Activity Requirements,School/After School,Chronic Diseases<br>,LEG,035PAR
2009,1,Arkansas,Nutrition,Liability and Indemnity,Community,Learning Facilities,LEG,030LAI
2011,1,Connecticut,Obesity,Appropriations,Community,Transportation and Road Violations,LEG,002APP
2011,1,New York,Nutrition,Appropriations,Restaurant/Retail,State Farm Product Transportation Financed,LEG,002APP
2011,1,Idaho,Physical Activity,Public Safety,Community,Urban Renewal,LEG,039SAF
2011,1,Maine,Obesity,Appropriations,Community,Maine Potato Board Laws,LEG,002APP
2010,1,North Carolina,Obesity,Food Restrictions,School/After School,Department of Agriculture Employee Position,LEG,020FOR
2010,1,Kentucky,Physical Activity,Safe Routes to Schools,School/After School,Appropriations and Revenue,LEG,041SRS
2010,1,Colorado,Nutrition,Appropriations,Community,Food Systems Advisory Council,LEG,002APP
2010,1,New York,Obesity,Access to Drinking Water,School/After School,Healthy Schools Act,LEG,014ADW
2010,1,Massachusetts,Nutrition,School Nutrition,School/After School,School Nutrition,LEG,043SNU
2014,1,Hawaii,Nutrition,Food Assistance Programs,Community,An Appropriation for the Senior Farmersâ Market Nutrition Program,LEG,003FAP
2011,1,North Carolina,Obesity,Disparities/Equity,Early Care and Education,Childhood Obesity Legislative Task Force,LEG,013DEQ
2010,1,Minnesota,Obesity,Appropriations,Community,Capital Investment,LEG,002APP
2009,1,Massachusetts,Obesity,Appropriations,Community,Bicyclists and Road Laws,LEG,002APP
2011,1,Michigan,Obesity,Portion Size,Restaurant/Retail,Restaurant Food,LEG,038POS
2011,1,Texas,Physical Activity,Built Environment and Street-Scale Design,Community,Safety Equipment Requirements for  Cyclists,LEG,049BED
2009,1,Maine,Physical Activity,Built Environment and Street-Scale Design,Community,Energy Use Study,LEG,049BED
2012,1,Ohio,Obesity,Health Insurance Coverage,Community,An Act Amending Laws Governing Local Governments<br>,LEG,028HIC
2011,1,Maryland,Nutrition,Healthier Food Retail and Food Deserts,Community,Maryland Food and Nutrition Policy Council,LEG,021HFR
2009,1,Iowa,Obesity,Health Insurance Coverage,Work Place,Tax Credit,LEG,028HIC
2011,1,Maine,Physical Activity,"Parks, Recreation and Trails",Community,Recreational Development Funds,LEG,034PRT
2011,1,California,Nutrition,Access to Healthy Foods,Restaurant/Retail,Public Health: Food Access,LEG,001AHF
2005,1,Hawaii,Physical Activity,Appropriations,Community,Budget Bill,LEG,002APP
2011,1,West Virginia,Nutrition,Access to Healthy Foods,Restaurant/Retail,Food Tax Increasing the Tax on Nonintoxicating Beer,LEG,001AHF
2007,1,Hawaii,Physical Activity,Appropriations,Community,Pedestrian Safety,LEG,002APP
2008,1,New Jersey,Obesity,Appropriations,Community,Budget Bill Fiscal Year 2009-2010,LEG,002APP
2011,1,Missouri,Nutrition,School Nutrition,School/After School,Farm to Table Advisory Board,LEG,043SNU
2010,1,District of Columbia,Nutrition,Incentives,Restaurant/Retail,Supermarket Tax Abatement,LEG,029INC
2009,1,Texas,Nutrition,Task Forces/Councils,School/After School,Farm to School Coordination Task Force,LEG,047TFC
2009,1,Texas,Obesity,Appropriations,Community,Early Childhood Health and Nutrition,LEG,002APP
2013,1,New Mexico,Nutrition,Appropriations,Community,An Act Making General Appropriations(House),LEG,002APP
2009,1,Oklahoma,Obesity,Appropriations,Community,Motor Vehicles,LEG,002APP
2011,1,Montana,Nutrition,Food Security,School/After School,Study on Reducing Childhood Hunger,LEG,023FOS
2011,1,North Carolina,Obesity,Liability and Indemnity,School/After School,Healthy Schools Act,LEG,030LAI
2011,1,South Carolina,Obesity,Food Restrictions,School/After School,School Sold Snacks,LEG,020FOR
2011,1,Florida,Obesity,Liability and Indemnity,Work Place,State Employee Health Insurance Benefits,LEG,030LAI
2007,1,North Carolina,Nutrition,Appropriations,Work Place,2007 Appropriation Act,LEG,002APP
2010,1,New York,Obesity,Menu Labeling,Community,Blighted Properties and Areas,LEG,032MNL
2006,1,Indiana,Nutrition,Appropriations,School/After School,Student Nutrition and Physical Activity,LEG,002APP
2009,1,New Jersey,Physical Activity,Pedestrians/Walking,Community,Failing to Yield to Pedestrians,LEG,052PED
2009,1,Vermont,Nutrition,Farm Direct Foods,Community,Executive Branch,LEG,015FDF
2013,1,New York,Nutrition,Sodium,Work Place,Omnibus Obesity and Respiratory Illness Reduction Act,LEG,045SOD
2014,3,District of Columbia,Nutrition,Access to Healthy Foods,Early Care and Education,Workplace Wellness Act and Healthy Tots Act of 2014,LEG,001AHF
2013,1,New York,Physical Activity,Initiatives and Programs,Community,New York State Smart Growth Interagency Task Force,LEG,053INP
2009,1,Massachusetts,Physical Activity,Public Transportation,Community,Development of Transportation Infrastructure,LEG,040TRS
2011,1,New York,Nutrition,Disparities/Equity,Community,Food Retail Establishment Subsidization for Healthy Communities Act<br>,LEG,013DEQ
2009,1,Iowa,Obesity,Appropriations,Community,Case Management Program,LEG,002APP
2009,1,Massachusetts,Physical Activity,School Siting,School/After School,Transportation System Reform,LEG,042SIT
2011,1,Pennsylvania,Nutrition,Vending,Community,Recreational Land Liability,LEG,051VEN
