Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (Â£),Payscale Maximum (Â£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
Department for Transport,Trinity House,Operations Directorate,TH03,Captain,57538,62319,Captain,4.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Chief Engineer,53080,57839,Chief Engineer,4.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Commander - RIV,46043,49595,Commander - RIV,2.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Engineering Officer - RIV,45086,48636,Engineering Officer - RIV,2.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Electronic Technical Officer,42854,46405,Electronic Technical Officer,6.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,First Officer,42854,46405,First Officer,4.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Second Engineer,42854,46405,Second Engineer,6.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Second Officer,36845,41542,Second Officer,10.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Second Officer - RIV,38092,42785,Second Officer - RIV,4.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Third Engineer,36845,41542,Third Engineer,2.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Boatswain,34467,37676,Boatswain,4.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Catering Manager,32102,34033,Catering Manager,4.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Engine Room Assistant,30964,34033,Engine Room Assistant,4.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Petty Officer Deck,30964,31850,Petty Officer Deck,4.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Cook,30964,31850,Cook,4.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Mechanic AB,31494,31494,Mechanic AB,4.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Seaman,26211,30042,Seaman,22.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Third Officer,33040,34041,Third Officer,4.0,Operational Delivery
Department for Transport,Trinity House,Chief Executive,TH01,C,23208,27245,Administrator,1.0,Operational Delivery
Department for Transport,Trinity House,Chief Executive,TH01,D,27246,33737,Assistant to Health & Safety Manager,0.65,Operational Delivery
Department for Transport,Trinity House,Chief Executive,TH01,F,44952,52589,Audit & Performance Manager,1.0,Operational Delivery
Department for Transport,Trinity House,Chief Executive,TH01,E,33738,44951,Estates and Property Manager,1.0,Operational Delivery
Department for Transport,Trinity House,Chief Executive,TH01,SM2,61170,75000,Head of Secretariat,1.0,Operational Delivery
Department for Transport,Trinity House,Chief Executive,TH01,D,27246,33737,Health & Safety Assistant,1.0,Operational Delivery
Department for Transport,Trinity House,Chief Executive,TH01,SM1,52590,61169,Health & Safety Manager,1.0,Operational Delivery
Department for Transport,Trinity House,Chief Executive,TH01,E,33738,44951,Legal & Support Team Leader,1.0,Operational Delivery
Department for Transport,Trinity House,Chief Executive,TH01,SM1,52590,61169,Legal Advisor,1.0,Operational Delivery
Department for Transport,Trinity House,Chief Executive,TH01,A,19188,20951,Performance Administrator,1.0,Operational Delivery
Department for Transport,Trinity House,Chief Executive,TH01,D,27246,33737,Personal Assistant to Executive Chairman,1.0,Operational Delivery
Department for Transport,Trinity House,Chief Executive,TH01,D,27246,33737,Public Relations & Records Assistant,0.6,Operational Delivery
Department for Transport,Trinity House,Chief Executive,TH01,E,33738,44951,Public Relations & Records Manager,1.0,Operational Delivery
Department for Transport,Trinity House,Chief Executive,TH01,C,23208,27245,Receptionist,1.0,Operational Delivery
Department for Transport,Trinity House,Chief Executive,TH01,F,44952,52589,Risk Manager,1.0,Operational Delivery
Department for Transport,Trinity House,Chief Executive,TH01,D,27246,33737,Secretary to L&R Manager & PA to the Dir of R&RN,1.0,Operational Delivery
Department for Transport,Trinity House,Navigation Directorate,TH02,D,27246,33737,Hydrography & Charting Officer,1.0,Other
Department for Transport,Trinity House,Navigation Directorate,TH02,SM1,52590,61169,Inspector of Seamarks,1.0,Other
Department for Transport,Trinity House,Navigation Directorate,TH02,D,27246,33737,Local Aids To Navigation Officer,1.0,Other
Department for Transport,Trinity House,Navigation Directorate,TH02,SM1,52590,61169,Local AtoN Manager,1.0,Other
Department for Transport,Trinity House,Navigation Directorate,TH02,C,23208,27245,Navigation Department Administrator,1.0,Other
Department for Transport,Trinity House,Navigation Directorate,TH02,SM2,61170,75000,Navigation Manager,1.0,Other
Department for Transport,Trinity House,Navigation Directorate,TH02,E,33738,44951,Navigation Services Officer,1.0,Other
Department for Transport,Trinity House,Navigation Directorate,TH02,E,33738,44951,Navigation Support Officer,1.0,Other
Department for Transport,Trinity House,Operations Directorate,TH03,C,23208,27245,Assistant to Field Operations Manager,1.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,A,19188,20951,Assistant to Planning & Commercial Manager,0.81,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,D,27246,33737,Building Services and Site Support Technician,1.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,D,27246,33737,Buoy Support Technician,1.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,C,23208,27245,Buoy Yard Electrical Technician,2.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,C,23208,27245,Buoy Yard Senior Team Leader,2.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,B,20952,23207,Buoy Yard Senior Team Member,1.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,D,27246,33737,Buoy Yard Supervisor,2.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,A,19188,20951,Buoy Yard Team Member,8.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,C,23208,27245,Buoy Yard Team Member - Craft,2.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,A,19188,20951,Commercial Administrator,2.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,F,44952,52589,Commercial Manager,1.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,D,27246,33737,Commercial Team Leader,1.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,SM1,52590,61169,Deputy Marine Superintendent,1.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,E,33738,44951,Design & Support Engineer,1.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,E,33738,44951,Design Manager,1.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,D,27246,33737,Design Technician,4.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,SM1,52590,61169,Engineering Manager,1.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,SM1,52590,61169,Engineering Superintendent,1.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,A,19188,20951,Field Operations Administrator,3.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,SM2,61170,75000,Head of Engineering & Operations,1.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,SM2,61170,75000,Head of Planning & Commercial,1.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,E,33738,44951,Installation Supervisor,1.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,SM1,52590,61169,Lighthouse Manager,1.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,A,19188,20951,Lighthouse Support Team Member,2.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,C,23208,27245,Lighthouse Technican,16.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,D,27246,33737,Lighthouse Technican (Civil),1.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,A,19188,20951,Marine Support Administrator,0.5,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,C,23208,27245,Marine Support Assistant,1.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,D,27246,33737,MMIS System Planner,1.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,E,33738,44951,Operations Officer,5.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,E,33738,44951,Operations Officer Team Leader,1.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,E,33738,44951,Operations Systems Manager,1.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,C,23208,27245,PA to Director of Operations & Director of Business Services,0.68,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,SM1,52590,61169,Programme Manager,1.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,E,33738,44951,Project Engineer,3.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,C,23208,27245,Project Support Officer,1.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,SM2,61170,75000,Senior Marine Superintendent,1.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,F,44952,52589,Senior Planner,1.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,F,44952,52589,Senior Project Engineer,3.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,SM1,52590,61169,Senior Support Engineer,1.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,E,33738,44951,Senior Technican (Civil),3.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,E,33738,44951,Senior Technician,6.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,E,33738,44951,Support Engineer,3.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,E,33738,44951,Technical Manager,3.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,SM1,52590,61169,Technical Services Manager,1.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,SM1,52590,61169,Technical Superintendent,1.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,A,19188,20951,Technical Support Administrator,1.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,D,27246,33737,Technician (Civil) Building Maintenance,1.0,Operational Delivery
Department for Transport,Trinity House,Business Services,TH04,D,27246,33737,Assistant Accountant,1.81,Finance
Department for Transport,Trinity House,Business Services,TH04,D,27246,33737,Buyer,1.0,Finance
Department for Transport,Trinity House,Business Services,TH04,E,33738,44951,Compensation & Benefits Co-ordinator,1.0,Finance
Department for Transport,Trinity House,Business Services,TH04,A,19188,20951,Expenses & Training Assistant,1.0,Finance
Department for Transport,Trinity House,Business Services,TH04,A,19188,20951,Finance Administrator,4.0,Finance
Department for Transport,Trinity House,Business Services,TH04,SM1,52590,61169,Financial Controller,1.0,Finance
Department for Transport,Trinity House,Business Services,TH04,SM2,61170,75000,Head of Finance & Procurement,1.0,Finance
Department for Transport,Trinity House,Business Services,TH04,SM2,61170,75000,Head of HR,1.0,Finance
Department for Transport,Trinity House,Business Services,TH04,SM2,61170,75000,Head of IT,1.0,Finance
Department for Transport,Trinity House,Business Services,TH04,D,27246,33737,HR Advisor,1.0,Finance
Department for Transport,Trinity House,Business Services,TH04,A,19188,20951,HR Assistant,0.61,Finance
Department for Transport,Trinity House,Business Services,TH04,SM1,52590,61169,HR Operations Manager,0.86,Finance
Department for Transport,Trinity House,Business Services,TH04,A,19188,20951,IT Help Desk Administrator,1.0,Finance
Department for Transport,Trinity House,Business Services,TH04,C,23208,27245,IT Junior Support Officer,1.0,Finance
Department for Transport,Trinity House,Business Services,TH04,F,44952,52589,IT Network & Security Manager,1.0,Finance
Department for Transport,Trinity House,Business Services,TH04,E,33738,44951,IT Network & Support Analyst,1.0,Finance
Department for Transport,Trinity House,Business Services,TH04,E,33738,44951,IT Project & Support Engineer,1.0,Finance
Department for Transport,Trinity House,Business Services,TH04,F,44952,52589,IT Project Manager,1.0,Finance
Department for Transport,Trinity House,Business Services,TH04,E,33738,44951,IT Support Analyst,1.0,Finance
Department for Transport,Trinity House,Business Services,TH04,F,44952,52589,IT Support Manager,1.0,Finance
