Body Name,Date,Transaction Number,Amount,Supplier Name,Supplier ID,Expense Area,Expense Type,Procurement Card?,Registration Number,Time Period for Grant,Purpose of Grant
Yorkshire Dales National Park Authority,31/01/2018,PCARD-2019/10,79.0,CARRS BILLINGTON AGRICULTURAL (SALES) LTD,S0140,Green Lanes,Materials,,,,
Yorkshire Dales National Park Authority,01/01/2019,PCARD-2019/10,32.47,DIGITAL OCEAN,,Web Based Services,IT- Hardware Purchases,,,,
Yorkshire Dales National Park Authority,02/01/2019,PCARD-2019/10,137.5,SABINE BARN B&B,,Farmed Land,Conferences and Seminars,,,,
Yorkshire Dales National Park Authority,02/01/2019,PCARD-2019/10,14.31,J T ATKINSON & SONS LTD,S0045,Northern Dales (Richmondshire),Materials,,,,
Yorkshire Dales National Park Authority,02/01/2019,PCARD-2019/10,118.7,SIMON WINSTANLEY LTD,S0123,Green Lanes,Tools & Office Equipment,,,,
Yorkshire Dales National Park Authority,02/01/2019,PCARD-2019/10,84.95,SIMON WINSTANLEY LTD,S0123,Northern Dales (Richmondshire),Equipment Repairs and Maint,,,,
Yorkshire Dales National Park Authority,02/01/2019,PCARD-2019/10,45.0,NHBS LTD,S2270,Biodiversity,Books and Publications,,,,
Yorkshire Dales National Park Authority,02/01/2019,RDC N044090007  10/2019,160.68,RICHMONDSHIRE DISTRICT COUNCIL,S3484,Aysgarth Falls NPC,Rates,,,,
Yorkshire Dales National Park Authority,02/01/2019,RDC N044090007  10/2019,444.96,RICHMONDSHIRE DISTRICT COUNCIL,S3484,Aysgarth Falls NPC,Rates,,,,
Yorkshire Dales National Park Authority,02/01/2019,RDC N044090007 10/2019,346.08,RICHMONDSHIRE DISTRICT COUNCIL,S3484,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,02/01/2019,RDC N003069007 10/2019,949.2,RICHMONDSHIRE DISTRICT COUNCIL,S3484,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,02/01/2019,RDC N04569000 10/2019,253.0,RICHMONDSHIRE DISTRICT COUNCIL,S3484,Contracts - Access Rangers,Rates,,,,
Yorkshire Dales National Park Authority,02/01/2019,RDC N003069007 10/2019,3796.8,RICHMONDSHIRE DISTRICT COUNCIL,S3484,Dales Countryside Museum,Rates,,,,
Yorkshire Dales National Park Authority,02/01/2019,RDC N084911002 10/2019,2352.0,RICHMONDSHIRE DISTRICT COUNCIL,S3484,Office Accomodation,Rates,,,,
