name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,longitude,latitude,easting,northing,runtime
Abacus Arts,2a Browning Street,,,Southwark,http://www.abacus-arts.org.uk,200003422528.0,E09000028,North Walworth,E05011107,-0.0958626684775328,51.48986355462631,532293.9640319021,178486.9243114374,04/11/2021
Academy Performing Arts,Artillery Square Royal Arsenal,,,Greenwich,http://www.better.org.uk/leisure-centre/london/greenwich/academy-performing-arts,10010214484.0,E09000011,Woolwich Riverside,E05000230,0.068762396653934,51.49409738883982,543708.9609264182,179267.9240988635,04/11/2021
Alford House,12 Aveline Street,,,Lambeth,http://www.alfordhouse.org.uk/site/room-hire.php,100023230353.0,E09000022,Prince's,E05000427,-0.1141765552979754,51.48799223020495,531027.9643752433,178245.92437770573,04/11/2021
Alleyn's School,24 Townley Road,,,Southwark,https://www.alleyns.org.uk,200003440977.0,E09000028,Goose Green,E05011103,-0.081993244319189,51.45478128570839,533358.9637428632,174610.92536495137,04/11/2021
Anatomie Studio,7-17 Latona Road,,,Southwark,https://anatomiestudio.com,10091668508.0,E09000028,Old Kent Road,E05011109,-0.0707387845335663,51.48207970905224,534060.8935503762,177667.0345339366,04/11/2021
Antenna Studios,1 Bewardine Road,,,Croydon,http://www.antennastudios.co.uk,10090383277.0,E09000008,Crystal Palace & Upper Norwood,E05011467,-0.0832284037954456,51.418065613337966,533379.9637362619,170525.92647669342,04/11/2021
Barking Road Community Centre: JÃÂÃÂÃÂs Dance Factory,633 Barking Rd,,,Newham,https://www.newham.gov.uk/Pages/ServiceChild/Barking-Road-community-centre.aspx,10008983357.0,E09000025,Plaistow South,E05000490,0.0326118929823577,51.52830003428191,541093.9616402385,183000.9230863806,04/11/2021
Ballet Boyz  - Studio 52,52a Canterbury Park Road,,,Kingston upon Thames,http://www.balletboyz.com,128037963.0,E09000021,Canbury,E05000403,-0.2982583010912704,51.4130041048849,518441.9677987959,169593.92672876938,04/11/2021
The Basement Dance Studio,400 York Way,,,Islington,http://www.thebasementdancestudio.com,5300100384.0,E09000019,Holloway,E05000375,-0.1282968022607824,51.54869450673832,529874.9646888674,184970.9225511373,04/11/2021
Bishopgate Institute,230 Bishopgate,,,City and County of the City of London,http://www.bishopsgate.org.uk/form.aspx?id=14,100022933667.0,E09000001,Bishopsgate,E05009292,-0.0792505594049721,51.51871109863439,533362.963741044,181724.9234350012,04/11/2021
Hammersmith Campus,7 Gliddon Road,,,Hammersmith and Fulham,,34141735.0,E09000013,Avonmore and Brook Green,E05000252,-0.2140051685851728,51.49186608745685,524086.96626289625,178502.9243077393,04/11/2021
Brixton Community Base,32 Talma Road,,,Lambeth,http://www.brixtoncommunitybase.org,100021898740.0,E09000022,Coldharbour,E05000420,-0.1107070607669764,51.45865601847916,531352.9642865309,174989.92526293348,04/11/2021
BTS Project,52-56 Verney Road,,,Southwark,,200003406389.0,E09000028,Old Kent Road,E05011109,-0.0592219498512423,51.485665553238405,534849.9633372759,178086.9244214915,04/11/2021
Canada Water Studios,Vancouver House,,,Southwark,http://www.canadawaterstudios.com/contact/,10090284887.0,E09000028,Rotherhithe,E05011112,-0.0485905549627803,51.49914131786068,535548.0931461105,179605.05401080172,04/11/2021
The Chatsworth Studio,60 Upper Mulgrave Road,,,Sutton,http://www.chatsworthstudio.com,5870018940.0,E09000029,Cheam,E05000560,-0.2121720830362738,51.35514000537948,524585.06612709,163301.89843955557,04/11/2021
Chantry Studios,20 Chantry Lane,,,Bromley,http://chantry-studios.co.uk,100022892183.0,E09000006,Bromley Common and Keston,E05000108,0.0343463113509218,51.39213619037571,541634.9614915051,167862.92720171815,04/11/2021
Chelsea Theatre,,,,Kensington and Chelsea,,217005389.0,E09000020,Chelsea Riverside,E05009391,-0.1796375895130387,51.4816436239032,526500.9656066846,177424.92459989392,04/11/2021
"City Dance Academy  - THE IVORIES STUDIO 

",6-18 Northampton Street,Unit 13,,Islington,https://www.city-academy.com/,10023224245.0,E09000019,Canonbury,E05000369,-0.0953527562403042,51.54180622218188,532178.9640623345,184263.9227434754,04/11/2021
Clarence Mews : Studio Space,40 Clarence Mews,,,Hackney,https://clarencemews.wordpress.com/about/,200001493439.0,E09000012,Homerton,E05009376,-0.0548038452167553,51.55118481209124,534962.9633062173,185380.92243883217,04/11/2021
Chobam Academy,40 Cheering Ln,,,Newham,http://www.chobhamacademy.org.uk,10090758476.0,E09000025,Stratford and New Town,E05000492,-0.0070303761715628,51.54925262044538,538280.7824029786,185255.16247201557,04/11/2021
Concorde Centre,7 Kingsmead Way,,,Hackney,https://www.younghackney.org/youth-hub/concorde/,100023546618.0,E09000012,King's Park,E05009379,-0.0341950348587169,51.55343145857387,536384.9629175682,185668.9223615612,04/11/2021
The Albany Rehearsal Space,9 Giffin St,,,Lewisham,http://www.thealbany.org.uk/hireus/36/Room-Hire,10023234998.0,E09000023,New Cross,E05000449,-0.0242771229608975,51.47770742399345,537299.9626699251,177266.92464399815,04/11/2021
Dance Attic,368 North End Road,,,Hammersmith and Fulham,https://www.danceattic.com,34069847.0,E09000013,Fulham Broadway,E05000254,-0.1995029381648452,51.48115894540207,525122.9659804336,177336.92462638248,04/11/2021
Dance Research Studio,23 Orsman Road,,,Hackney,http://www.danceresearchstudio.com,10008237591.0,E09000012,Hoxton East & Shoreditch,E05009377,-0.0787612950691448,51.53614876850161,533345.963747808,183664.92290528468,04/11/2021
Dance Box Bromley,28-30 The Mall,,,Bromley,http://danceboxstudios.co.uk/classes/,100022887397.0,E09000006,Bromley Town,E05000109,0.016407564171697,51.40228392672432,540355.9618412905,168956.92690140376,04/11/2021
Diorama Arts Studios,210 Drummond St,,,Camden,http://www.diorama-arts.org.uk/studios.html,5169343.0,E09000007,Regent's Park,E05000142,-0.1392395844205376,51.5261889403424,529179.9648785373,182448.92323744975,04/11/2021
Elthorne Park High School,Westlea Road,,,Ealing,http://www.ephs.ealing.sch.uk,12141191.0,E09000009,Elthorne,E05000176,-0.3308430927906306,51.50062772720141,515953.9684741602,179285.9240952101,04/11/2021
bbo Dance,Juniper Drive,Battersea Reach,,Wandsworth,https://bbo.dance/about-us/facilities/espinosa-studio,10070242030.0,E09000032,St. Mary's Park,E05000622,-0.1834070317726415,51.46505671810088,526284.9656667057,175573.9251037846,04/11/2021
Evelyn Grace Academy,255 Shakespeare Road,,,Lambeth,http://evelyngraceacademy.org/ega-dance-studio,10023851851.0,E09000022,Coldharbour,E05000420,-0.1035345196137195,51.46083334113362,531844.9641541977,175244.92519243312,04/11/2021
The Factory,407-409 Hornsey Rd,,,Islington,www.factoryrehearsalstudios.com,5300050786.0,E09000019,Tollington,E05000381,-0.1217569438663312,51.56635035774082,530277.9645801154,186945.92201618192,04/11/2021
Glasshill Studios,1 King's Bench Street,,,Southwark,www.glasshillstudios.com,200003354702.0,E09000028,Borough & Bankside,E05011095,-0.1015514216513582,51.50133161691509,531865.9641466313,179751.9239697386,04/11/2021
Greenside Community Centre,24 Lilestone Street,,,City of Westminster,,10033625021.0,E09000033,Church Street,E05000634,-0.1663033792242031,51.52533462020189,527305.04538667,182306.5332763781,04/11/2021
Hackney Showroom,17 Amhurst Terrace,,,Hackney,www.hackneyshowroom.com,100023544264.0,E09000012,Shacklewell,E05009382,-0.0662961616597055,51.55434249961392,534156.9635237943,185710.9223485909,04/11/2021
Havering College,42 Ardleigh Green Road,,,Havering,,100023213461.0,E09000016,Squirrel's Heath,E05000322,0.2212733378201413,51.58159506329597,553999.7781304272,189307.61137220124,04/11/2021
