Production Year,Operator,County,Town,Producing Formation,Active Gas Wells,Inactive Gas Wells,Purchaser Codes
1998,"Shearing, David H.",Wyoming,PERRY,MEDINA,1,0,
1987,Estate of  Richard G Smith,Allegany,BOLIVAR,RICHBURG,0,0,
1980,Dresser Trans Equipment Division,Erie,LANCASTER,MEDINA,0,1,
1996,"GFS Energy, Inc.",Erie,ORCHARD PARK,MEDINA,1,0,GK
1971,"Ebenezer Oil Co., Inc.",Allegany,ALMA,RICHBURG,0,0,OB
1995,Belden & Blake Corporation,Erie,CONCORD,MEDINA,13,0,GX
1967,Iroquois Gas Corp.,Cattaraugus,HANOVER,MEDINA,0,6,
1997,"Cordova Resources, Inc.",Chautauqua,POMFRET,MEDINA,0,1,
1986,Vosburg Oil Co.,Allegany,BOLIVAR,RICHBURG,0,0,OB
1987,National Fuel Gas Supply Corp.,Genesee,STAFFORD,MEDINA,1,0,GK
1981,Columbia Gas Transmission Corp.,Chautauqua,CARROLL,MEDINA,0,1,
1984,"Pero Farms, Inc.",Erie,BRANT,MEDINA,1,0,
1995,Lomak Operating Company,Chautauqua,DUNKIRK,MEDINA,1,0,GK
1996,"OI. Auburn, Inc.",Cayuga,SENNETT,QUEENSTON,1,0,GX
1984,"Templeton Energy,  Inc.",Chautauqua,RIPLEY,MEDINA,21,0,GQ
1991,"Abarta Oil & Gas, Inc.",Erie,COLLINS,MEDINA,1,0,GK
1995,"Ford, Herald",Allegany,INDEPENDENCE,UPPER DEVONIAN,0,0,OC
1970,Albert Oil Co.,Allegany,BOLIVAR,RICHBURG,0,0,OB
1981,"Red Wing Co., Inc.",Chautauqua,POMFRET,MEDINA,4,0,
1998,Big Tree Energy Partners,Wyoming,GAINESVILLE,MEDINA,0,1,
1993,U S Energy Development Corp.,Chautauqua,ELLINGTON,MEDINA,1,0,GH
1975,Quaker State Corp.,Allegany,AMITY,SCIO,0,0,OB
1985,National Fuel Gas Supply Corp.,Chautauqua,POMFRET,MEDINA,1,0,GK
