Production Year,Operator,County,Town,Producing Formation,Active Gas Wells,Inactive Gas Wells,Purchaser Codes
1991,"Envirogas, Inc.",Chautauqua,KIANTONE,MEDINA,6,0,GK
1999,"Dunbar, Helen A.",Seneca,VARICK,QUEENSTON,1,0,
1981,D. A. Griffin Corp.,Erie,WEST SENECA,MEDINA,3,0,
1975,Anderson Oil Co.,Steuben,BATH,ONONDAGA,2,0,GH
1986,Ginell Oil & Gas Association.,Erie,HAMBURG,MEDINA,4,0,GK
1998,"Thompson, Stanley",Chautauqua,BUSTI,GLADE,0,0,OD
1993,Brock-Acres Farm,Ontario,EAST BLOOMFIELD,MEDINA,2,2,
1993,"Petri Baking Products, Inc.",Chautauqua,DUNKIRK,MEDINA,1,0,
1985,"Alden Aurora Gas Co.,  Inc.",Wyoming,ATTICA,MEDINA,0,2,
1996,"Nornew, Inc.",Chautauqua,BUSTI,MEDINA,1,0,GK
1981,Delta Drilling Co.,Cattaraugus,NEW ALBION,MEDINA,0,5,
1988,"Bounty Holdings, Incorporated",Chautauqua,ELLICOTT,MEDINA,24,0,GK
1975,"Flint Oil & Gas, Inc.",Wyoming,SHELDON,MEDINA,0,2,GK
1986,"Diate, Sam B",Chautauqua,POMFRET,UPPER DEVONIAN SHALE,1,0,
1985,Iroquois Central School District,Erie,ELMA,MEDINA,1,0,
1992,"Musshafen, Denis",Livingston,YORK,MEDINA,1,0,
1997,"Crump, Howard E. & Dianne",Chautauqua,SHERMAN,MEDINA,1,0,
1979,D-Y-M Corp.,Steuben,WEST UNION,FULMER VALLEY,0,0,OB
1991,"Local Energy, Inc.",Chautauqua,HANOVER,MEDINA,6,0,GK
1985,"GFS Energy, Inc.",Erie,ELMA,MEDINA,1,0,GQ
1999,"Griswold, Samuel",Allegany,BOLIVAR,RICHBURG,0,0,
1998,"Geo Ventures, Inc.",Erie,BOSTON,MEDINA,7,1,GX
1996,"Chapman-Bay Energy Co., Inc.",Erie,HAMBURG,MEDINA,1,0,GK
1987,Meridian Exploration Corp.,Cayuga,SPRINGPORT,QUEENSTON,17,0,
1984,"Herberger, Donald",Genesee,BETHANY,MEDINA,1,0,GK
1989,National Fuel Gas Supply Corp.,Erie,BRANT,MEDINA,4,1,GK
1987,Columbia Gas Transmission Corp.,Chautauqua,CHARLOTTE,MEDINA,0,1,
1972,"Reserve Gas Company, Inc.",Erie,,MEDINA,56,0,GX
1992,Transfuel Resources Co.,Chautauqua,CHAUTAUQUA,MEDINA,150,13,"GH,GK"
1987,"Remington, Donald",Cattaraugus,CARROLLTON,CHIPMUNK,0,0,OC
1989,Fault Line Oil Corporation,Cattaraugus,ASHFORD,MEDINA,8,5,GX
1986,Berea Oil & Gas Corp.,Chautauqua,GERRY,MEDINA,25,0,GH
1999,Byron-Bergen Central School,Genesee,BERGEN,MEDINA,2,0,
1989,"Arrowhead Resources, Inc.",Cattaraugus,ASHFORD,MEDINA,0,4,
1988,"Nystrom, Phillip M",Chautauqua,BUSTI,GLADE,0,0,OC
1999,Har-Go Farms,Genesee,PAVILION,MEDINA,2,0,
1985,CNG Transmission Corp.,Livingston,LEICESTER,MEDINA,8,0,GH
1994,"Seaport Natural Gas Co., Inc.",Erie,EVANS,MEDINA,2,0,GK
1994,Frewsburg Central School District,Chautauqua,CARROLL,MEDINA,1,0,
1993,W. A. Boser Oil,Cattaraugus,ALLEGANY,CHIPMUNK,0,0,OA
1982,"Treichler, Wilbur E Sr",Niagara,LEWISTON,MEDINA,1,0,
1985,"Smith, Wayne L",Wyoming,MIDDLEBURY,MEDINA,0,1,
1991,"Ebenezer Oil Co., Inc.",Allegany,WELLSVILLE,PENNY & FULMER VALLEY,0,0,OB
1974,M & W Oil Co.,Cattaraugus,ALLEGANY,BRADFORD,0,0,OB
1996,"Pagels, James",Allegany,WELLSVILLE,FULMER VALLEY,0,2,
1993,"Randall, John B.",Ontario,RICHMOND,MEDINA,1,0,
1983,Moose Oil Co.,Allegany,BOLIVAR,RICHBURG,0,0,
1988,"Local Energy, Inc.",Erie,HAMBURG,MEDINA,1,0,GK
1987,"Templeton Energy,  Inc.",Erie,SARDINIA,MEDINA,4,0,GK
1991,Texas Meridian Operating Co.,Chautauqua,POMFRET,MEDINA,0,1,
1984,U S Energy Development Corp.,Chautauqua,ARKWRIGHT,MEDINA,1,0,GK
1991,High Point Petroleum Corp.,Wyoming,CASTILE,MEDINA,0,2,
1994,"Newman, Edgar F",Yates,BENTON,QUEENSTON,0,1,
1998,"Envirogas, Inc.",Erie,ELMA,MEDINA,0,1,
1998,Belden & Blake Corporation,Erie,BOSTON,MEDINA,1,0,GK
1997,Subsea Associates-1982,Erie,BRANT,MEDINA,1,0,GK
1994,"GFS Energy, Inc.",Erie,AURORA,MEDINA,1,0,GK
1999,Seneca Resources Corporation,Cattaraugus,LEON,MEDINA,8,0,GK
1984,Empire Energies,Erie,CONCORD,MEDINA,1,0,GK
1991,"Becker, John",Erie,ALDEN,MEDINA,1,0,
1997,"Ardent Resources, Inc.",Cayuga,SPRINGPORT,QUEENSTON,4,0,GC
1989,Cabot Oil & Gas Corp.,Cattaraugus,SOUTH VALLEY,MEDINA,1,0,GH
1986,"Templeton Energy,  Inc.",Chautauqua,DUNKIRK,MEDINA,1,0,GK
1995,"Cotton Well Drilling Company,  Inc.",Erie,EDEN,MEDINA,20,0,GK
1999,New York Gas & Oil Drilling Co,Erie,NORTH COLLINS,MEDINA,0,2,
1999,"Weil Resources, Inc.",Erie,LANCASTER,MEDINA,2,0,GK
1995,Columbia Natural Resources  LLC,Chautauqua,HARMONY,MEDINA,14,0,GH
1981,Marmik Oil Co.,Erie,BRANT,MEDINA,4,0,GK
1992,Eye Petroleum Association,Erie,EDEN,MEDINA,12,0,"GD,GK"
1990,"Lenape Resources Corp., The",Genesee,PAVILION,MEDINA,6,0,GI
1993,"Edler, John L. & John W.",Cattaraugus,PERRYSBURG,AKRON,1,0,
1983,"Taylor, Mrs. C. Nell",Allegany,BOLIVAR,RICHBURG,0,0,
1993,Campus Realty Company,Erie,AMHERST,MEDINA,0,3,
1989,Gypsum Energy Management Co.,Genesee,PEMBROKE,MEDINA,44,1,GR
1980,"Consolidated Exploration  & Gathering, Inc.",Steuben,CANISTEO,ORISKANY,1,1,GX
1986,Walker Exploration & Production Corp.,Chautauqua,HANOVER,MEDINA,2,0,GK
1992,"Desert Gas Exploration, Inc.",Chautauqua,GERRY,MEDINA,0,2,
1994,"Matrix Energy Development, Inc.",Chautauqua,SHERIDAN,MEDINA,2,0,GK
1993,"Fitzgerald, Thomas J.",Allegany,CLARKSVILLE,RICHBURG,0,0,GX
1995,Estate of Robert Gloor,Chautauqua,POMFRET,MEDINA,1,0,
1986,"Chautauqua Natural Gas Co., Inc",Chautauqua,CHAUTAUQUA,MEDINA,6,0,GH
1995,"Bischof, Dennis J",Erie,CLARENCE,MEDINA,0,1,
1998,"Copper Ridge Oil, Inc.",Cattaraugus,CARROLLTON,BRADFORD,0,0,OD
1994,Eclipse Gas Drilling No 2,Erie,NEWSTEAD,MEDINA,1,0,GE
1989,Fault Line Oil Corporation,Cattaraugus,ASHFORD,ONONDAGA,0,0,"GX,OA"
1996,"Randall, John B.",Ontario,RICHMOND,MEDINA,1,0,
1993,"Oil, Gas & Land Services, Inc.",Chautauqua,ELLERY,ONONDAGA-BASS ISLAND,1,0,"GX,OA"
1996,L. W. Resources,Chautauqua,CHARLOTTE,MEDINA,2,1,
