OpenedDate,OpenedYear,PracticeCode,PracticeName,BusinessCategory,BusinessName,BusinessCity,BusinessState,BusinessZip
09/15/2017,2017,30,Data Breach,Credit Reporting & Related Activities,Equifax Office of Consumer Affairs,Atlanta,GA,30348    
04/14/2014,2014,320,Unsatisfactory Repair/Service,Retail Sales,Lowe's Home Improvement,Wilkesboro,NC,28697    
09/19/2019,2019,999,Other/Miscellaneous,Auto Sales,Duffy's Auto Brokerage,Covington,WA,98042    
02/12/2021,2021,203,Internet & Mobile device based transaction,Electronic Shopping,Amazon.com,Seattle,WA,98108-1226
12/23/2019,2019,444,Foreclosure Issue,Mortgage Lending,North Star Trustee,Mountlake Terrace,WA,98043    
03/30/2020,2020,999,Other/Miscellaneous,Unclassified Establishments, Unknown,,  ,         
10/07/2016,2016,999,Other/Miscellaneous,Telecommunications,CenturyLink,Boise,ID,83702    
09/15/2020,2020,302,Not As Ordered,"Admin. & support services (office admin., faciliti",,,  ,         
10/27/2016,2016,999,Other/Miscellaneous,Auto Sales,Lee Johnson of Kirkland,Kirkland,WA,98033    
11/19/2020,2020,62,Price Gouging,Electronic Shopping,Amazon.com,Seattle,WA,98108-1226
05/04/2017,2017,404,Collection Practices,Collections,Puget Sound Collections,Tacoma,WA,98401-3011
04/20/2016,2016,319,Unauthorized Repair/Service,Rental & leasing services,,Las Vegas,NV,89128    
02/02/2017,2017,448,Student Loan Issue,Consumer Lending & Transfer Agents,Navient,Wilkes-Barre,PA,18706    
06/27/2019,2019,301,Failure To Deliver/Perform,Auto Sales,I-5 Motors,Fife,WA,98424    
10/18/2016,2016,444,Foreclosure Issue,Mortgage Lending,"Nationstar Mortgage, LLC dba Mr. Cooper ",Dallas,TX,75261    
02/07/2019,2019,999,Other/Miscellaneous,Software Publishers,Intuit Inc./Intuit Software/Turbo Tax/PayCycle,Tucson,AZ,85726    
10/31/2014,2014,518,Unregistered or Unlicensed Business,Personal Care Services,,Vancouver,WA,         
05/11/2020,2020,320,Unsatisfactory Repair/Service,Contractors,,Pasco,WA,99301    
09/17/2019,2019,621,Eviction Issues,MHU Use Only - MH landlord,Country Club Mobile Park,Bothell,WA,98021    
01/27/2014,2014,26,Advertising,Foreign Lottery / Sweepstakes,NOP Receiver Department,Hewlett,NY,11557-0358
02/26/2018,2018,999,Other/Miscellaneous,Auto Sales,,Spokane Valley,WA,99216    
05/06/2019,2019,18,Service Representation,Security Systems (including locksmiths),Fluent Home LLC,Lehi,UT,84043    
01/12/2015,2015,300,Excessive Price or Charge,Broadband Providers,Comcast,Fife,WA,98424    
07/16/2018,2018,999,Other/Miscellaneous,Personal Care Services,,Seattle,WA,98107    
09/11/2019,2019,22,Failure To Adjust/Refund,Travel,Expedia,Seattle,WA,98119    
04/01/2015,2015,18,Service Representation,ADAD,Life Alert,Encino,CA,91436-2747
08/20/2020,2020,22,Failure To Adjust/Refund,"Promoters of performing arts, sports & similar eve",Brown Paper Tickets,Seattle,WA,98109    
12/30/2019,2019,999,Other/Miscellaneous,Retail Sales,Sears Holdings Management Corporation,Hoffman Estates,IL,60179-0001
05/10/2019,2019,303,Questionable Quality Product/Service,Collections,Certegy Payment Solutions LLC fka Certegy Check Services,Saint Petersburg,FL,33716-2202
05/30/2019,2019,999,Other/Miscellaneous,Insurance,,Fort Lee,NJ,07024    
07/05/2013,2013,320,Unsatisfactory Repair/Service,Health Care,,Olympia,WA,98506    
04/04/2013,2013,404,Collection Practices,Consumer Lending & Transfer Agents,,,  ,         
03/18/2016,2016,999,Other/Miscellaneous,Social Assistance,,Shelton,WA,98584    
01/04/2021,2021,303,Questionable Quality Product/Service,Credit Reporting & Related Activities,Experian Security Freeze,Allen,TX,75013    
04/13/2016,2016,316,Billing Issues,Telecommunications,Verizon Wireless,Chandler,AZ,85226    
02/20/2019,2019,316,Billing Issues,Motor Vehicle Towing,"Airport, Burien, & Columbia Towing",Burien,WA,98166    
01/07/2019,2019,203,Internet & Mobile device based transaction,Electronic Shopping,Amazon.com,Seattle,WA,98108-1226
08/04/2014,2014,60,Unauthorized Debit,Health and Diet Clubs,LA Fitness / Fitness International,Irvine,CA,92612    
02/28/2013,2013,316,Billing Issues,Telecommunications,Sprint Executive Services,Irving,TX,75016    
08/24/2017,2017,17,Imposter scam,Phishing,Unknown - IRS Phishing,,  ,         
04/30/2020,2020,996,COVID-19,Electronic Shopping,,,  ,         
08/09/2016,2016,104,Non-Fulfillment,Telecommunications,Verizon Wireless,Chandler,AZ,85226    
04/08/2019,2019,104,Non-Fulfillment,Amusement & Recreational Industries,,University Place,WA,98467    
03/07/2019,2019,100,Misrepresentation of Terms,Auto Sales,,North Bend,WA,98045    
09/15/2020,2020,203,Internet & Mobile device based transaction,Financing,PayPal,Lavista,NE,68128    
08/12/2014,2014,998,Governement agency complaint,Government Agencies,Washington Healthcare Exchange/Washington Healthplan Finder/Washington Health Benefit Exchange,Olympia,WA,98501    
03/27/2017,2017,999,Other/Miscellaneous,Broadband Providers,DIRECTV,Dallas,TX,75202    
08/18/2017,2017,999,Other/Miscellaneous,Photographic Services,Getty Images,Seattle,WA,98104    
01/23/2013,2013,521,Business Failure or Bankruptcy,Travel,Discovery Tours,Centralia,WA,98531-9366
04/30/2019,2019,999,Other/Miscellaneous,Telecommunications,Q Link Wireless LLC,Dania,FL,33004    
04/01/2015,2015,22,Failure To Adjust/Refund,Unclassified Establishments,Signet Financial Group,Richmond,BC,V6V0A-8   
05/21/2019,2019,999,Other/Miscellaneous,Retail Sales,Savers/Value Village,Bellevue,WA,98004    
09/17/2015,2015,303,Questionable Quality Product/Service,Auto Sales,Hannah Motor Company dba Dick Hannah,Vancouver,WA,98668    
01/02/2018,2018,316,Billing Issues,Educational Services,Rosetta Stone,Arlington,VA,22209    
11/30/2017,2017,422,Credit/Financing,Auto Sales,Audi of Bellevue,Bellevue,WA,98005    
02/25/2021,2021,203,Internet & Mobile device based transaction,Internet Search Engines,Google Incorporated,Mountain View,CA,94043    
05/18/2018,2018,999,Other/Miscellaneous,Health Care,Confluence Health,Wenatchee,WA,98801    
09/03/2015,2015,22,Failure To Adjust/Refund,Commercial Banking,Citibank Presidential Communications,Sioux Falls,SD,57117    
06/08/2020,2020,62,Price Gouging,Gas Stations & Convenience Stores,,Pasco,WA,99301    
11/13/2020,2020,203,Internet & Mobile device based transaction,Electronic Shopping,,,  ,         
07/24/2017,2017,61,Phishing,Phishing,Unknown - IRS Phishing,,  ,         
09/08/2016,2016,999,Other/Miscellaneous,"Justice, Public Order & Safety",Olympia Police Department,Olympia,WA,98507-1967
01/17/2019,2019,999,Other/Miscellaneous,Broadband Providers,DIRECTV,Dallas,TX,75202    
10/31/2017,2017,316,Billing Issues,Broadband Providers,Comcast,Fife,WA,98424    
09/04/2013,2013,61,Phishing,Phishing,The League,Dallas,TX,75356-0627
06/19/2014,2014,316,Billing Issues,Contractors,,Aberdeen,WA,98520    
05/23/2016,2016,206,Right To Cancel,Auto Sales,Sunset Chevrolet / Sunset RV,Sumner,WA,98390    
01/10/2018,2018,104,Non-Fulfillment,Contractors,,Seattle,WA,98118    
04/12/2019,2019,999,Other/Miscellaneous,Health Care,Everett Clinic,Everett,WA,98201    
10/28/2016,2016,26,Advertising,Telecommunications,Ziply Fiber fka Frontier Communications,Everett,WA,98201    
08/12/2019,2019,303,Questionable Quality Product/Service,Auto Sales,Titus-Will Investments / Lakewood Ford,Tacoma,WA,98409    
09/04/2019,2019,104,Non-Fulfillment,"Admin. & support services (office admin., faciliti",Vital Records Certificates,,  ,         
09/04/2014,2014,206,Right To Cancel,Health and Diet Clubs,Elite Martial Arts,Kirkland,WA,98034    
09/18/2020,2020,303,Questionable Quality Product/Service,Contractors,Tuff Shed - Tukwila,Tukwila,WA,98188    
11/12/2013,2013,303,Questionable Quality Product/Service,Auto Sales,Landmark Motors,Bellevue,WA,98005    
05/05/2021,2021,300,Excessive Price or Charge,Automobile Manufacturing,Tesla Inc,Palo Alto,CA,94304    
05/07/2020,2020,303,Questionable Quality Product/Service,Broadband Providers,Comcast,Fife,WA,98424    
07/09/2015,2015,19,Inadequate Disclosure,Residential Landlord,WPI Real Estate,Seattle,WA,98115    
05/11/2016,2016,316,Billing Issues,Health Care,,Seattle,WA,98107    
01/23/2018,2018,13,Misrepresentation of product or service,Consumer Lending & Transfer Agents,SunTrust Mortgage Inc,Richmond,VA,23260-6149
01/21/2015,2015,323,Invoice - misleading or fraudulent,"Admin. & support services (office admin., faciliti",IDCServco,Culver City,CA,90232-1925
