Minister,Date,Name of organisation or individual,Purpose of meeting
Greg Clark,04/07/2018,"British Chambers of Commerce, Institute of Directors, Federation of Small Businesses, Confederation of British Industry, EEF-The Manufacturers Organisation",To discuss industrial strategy
Greg Clark,04/07/2018,"Nissan Motor Co Ltd, Nissan Europe, Nissan Japan",To discuss EU Exit
Greg Clark,04/07/2018,Takeda Pharmaceutical Company Limited,To discuss EU Exit
Greg Clark,04/07/2018,Midlands Engine,To discuss industrial strategy
Greg Clark,05/07/2018,Northern Powerhouse Summit ,Speech
Greg Clark,07/07/2018,"British Chambers of Commerce, Institute of Directors, Federation of Small Businesses, Confederation of British Industry, EEF-The Manufacturers Organisation",To discuss EU Exit (by telephone)
Greg Clark,09/07/2018,Road to Zero Launch Event,Launch event
Greg Clark,09/07/2018,Airbus,To discuss Airbus framework
Greg Clark,10/07/2018,"British Chambers of Commerce, Institute of Directors, Federation of Small Businesses, Confederation of British Industry, EEF-The Manufacturers Organisation,  ",Business Advisory Group to discuss EU Exit
Greg Clark,10/07/2018,Professor Dieter Helm ,To discuss energy issues
Greg Clark,11/07/2018,Small Business Research Initiative,To discuss Small Business Research Initiative
Greg Clark,12/07/2018,"Jaguar Land Rover, BMW Group Plant Oxford, Ford of Britain, Advanced Propulsion Centre, Caterpillar Inc, Bentley Motors, The Society of Motor Manufacturers and Traders, Vauxhall UK, Royal Bank of Scotland, Honda Motor Europe Ltd, Ford Motor Company, RDM Automotive, Nissan, ARUP Group, McLaren Automotive Ltd, RPJ Consulting Services, Triumph Motorcycles Ltd, Leyland Trucks, Robert Bosch UK,  Inchcape Shipping Services, Centre for Connected and Autonomous Vehicles, Toyota Motor Europe, Unite the Union",Automotive Council Meeting
Greg Clark,12/07/2018,Volker Beckers ,To discuss energy issues
Greg Clark,16/07/2018,Airbus,To discuss aviation and EU Exit
Greg Clark,16/07/2018,GKN Aerospace ,To discuss aviation and EU Exit
Greg Clark,16/07/2018,Boeing International,To discuss aviation and EU Exit
Greg Clark,16/07/2018,Cheshire and Warrington LEP,To discuss the Local Enterprise Partnership
Greg Clark,18/07/2018,"Institute of Directors, Federation of Small Businesses, Confederation of British Industry, EEF-The Manufacturers Organisation",To discuss local growth
Greg Clark,18/07/2018,"Roche Group, Thermo Fisher Scientific, Shire plc, Novartis, Novo Nordisk, Sanofi, Merck KGaA, MSD (Merck & Co), Bayer, GlaxoSmithKline, AstraZeneca UK, Qiagen, Seqirus UK, Pfizer, Takeda, NHS England",To discuss life sciences
Greg Clark,19/07/2018,Trades Union Congress,"To discuss EU Exit, Taylor review, Industrial Strategy and Carillion"
Greg Clark,19/07/2018,Institute of Export and International Trade,To discuss export and international trade
Greg Clark,19/07/2018,Wates Group,To discuss corporate governance
Greg Clark,23/07/2018,"National Innovation Centre for Ageing, Proctor & Gamble, Legal & General, Sainsbury's, Voice Independent British Trade Union",To discuss Ageing Grand Challenge
Greg Clark,24/07/2018,Le Figaro,To discuss EU Exit
Greg Clark,24/07/2018,"MEDEF, Aeronautics and Space Industries Federation, Agrifood Federation, Eurazeo Pme, French Car, Manufacturers Federation, Metal Industries Federation, French Banking Federation, French Electricity Union, SYNTEC Federation, Beauty Business Federation, Property Federation  ",To discuss EU Exit
Greg Clark,25/07/2018,Expresso Newspaper,To discuss EU Exit
Greg Clark,25/07/2018,"Savannah Resources PLC, Tekever, Fapajal Tissue, Robert Walters, Celfinet- Portugal, ASM Industries, Linklaters LLP, Ebury",To discuss EU Exit
Greg Clark,26/07/2018,"Leonardo, Trenitalia UK, Pirelli, Ambrosetti Group, Acquirente Unico ",To discuss EU Exit
Greg Clark,26/07/2018,British in Europe ,To discuss EU Exit
Greg Clark,26/07/2018,Corriere della Sera,To discuss EU Exit
Greg Clark,27/07/2018,Nissan Motor Co Ltd,To discuss EU Exit (by telephone)
Greg Clark,30/07/2018,Association of the British Pharmaceutical Industry,To discuss EU Exit
Greg Clark,01/08/2018,Association of the British Pharmaceutical Industry,To discuss EU Exit
Greg Clark,01/08/2018,Deloitte UK,To discuss EU Exit
