Minister,Date,Name of organisation or individual,Purpose of meeting
Greg Clark,03/07/2017,Unite the Union,To discuss the automotive sector
Greg Clark,04/07/2017,General Motors Company (European Branch),To discuss automotive investment
Greg Clark,05/07/2017,"Confederation of British Industry, Federation of Small Businesses, Institute of Directors, British Chambers of Commerce, EEF  The Manufacturers Organisation",To discuss Industrial Strategy
Greg Clark,10/07/2017,"NuGeneration Company, Toshiba, Engie Company",To discuss nuclear issues (by telephone)
Greg Clark,10/07/2017,Horizon Nuclear Power Ltd,To discuss nuclear issues (by telephone)
Greg Clark,10/07/2017,Unilever PLC,To discuss manufacturing
Greg Clark,11/07/2017,Oxford University,To discuss the Life Sciences Strategy and Sector Deal
Greg Clark,12/07/2017,"Confederation of British Industry, Federation of Small Businesses, Institute of Directors, British Chambers of Commerce, EEF  The Manufacturers Organisation",To discuss Industrial Strategy
Greg Clark,12/07/2017,Nissan Motor GB,To discuss automotive investment (by telephone) 
Greg Clark,12/07/2017,Atkins Ltd,To discuss Atkins
Greg Clark,25/07/2017,Hitachi,To discuss nuclear issues (by telephone)
Greg Clark,25/07/2017,BMW,To discuss automotive investment (by telephone)
Greg Clark,26/07/2017,Jaguar Land Rover,To discuss automotive investment (by telephone)
Greg Clark,27/07/2017,Pfizer UK,"To discuss Industrial Strategy, Life Sciences and Sectors Deal"
Greg Clark,27/07/2017,The Boston Consulting Group,"To discuss Brexit, Industrial Strategy and current global trends"
Greg Clark,27/07/2017,Bombardier Aerospace Group,To discuss aerospace investment
Greg Clark,18/08/2017,Bombardier Aerospace Group,To discuss Bombardier (by telephone)
Greg Clark,23/08/2017,Bombardier Aerospace Group,To discuss Bombardier
Greg Clark,24/08/2017,Bombardier Aerospace Group,To discuss Bombardier (by telephone)
Greg Clark,04/09/2017,British Steel Ltd,To discuss steel (by telephone)
Greg Clark,06/09/2017,Boeing International,To discuss Boeing
Greg Clark,07/09/2017,"Confederation of British Industry, Federation of Small Businesses, Institute of Directors, British Chambers of Commerce, EEF  The Manufacturers Organisation",To discuss Industrial Strategy
Greg Clark,07/09/2017,"UK Steel, Outokumpu Stainless, Tata Steel UK, Sheffield Celsa Forgemasters International, Community Union UK, GMB Trade Union, Unite The Union, EEF  The Manufacturers Organisation, Grant Thornton UK",To discuss industrial strategy
Greg Clark,07/09/2017,Bombardier Aerospace Group,To discuss Bombardier (by telephone)
Greg Clark,11/09/2017,Santander UK,To discuss Fintech & small and medium-sized enterprises
Greg Clark,11/09/2017,Lacerta Consulting Services Ltd,To discuss Magnox Procurement Exercise (by telephone)
Greg Clark,12/09/2017,Babcock International,To discuss Babcock
Greg Clark,13/09/2017,"Confederation of British Industry, Federation of Small Businesses, Institute of Directors, British Chambers of Commerce, EEF  The Manufacturers Organisation",A meeting of the Business Advisory Group
Greg Clark,20/09/2017,E.ON UK Ltd,To discuss Standard Variable Tariffs
Greg Clark,22/09/2017,Boeing International,To discuss Boeing (by telephone)
Claire Perry,04/07/2017,The Climate Coalition -UK-focused group,To discuss Climate Change
Claire Perry,04/07/2017,The Climate Coalition - International Climate leadership/ Global Britain group ,To discuss International Climate Change
Claire Perry,19/07/2017,"Jaguar Land Rover, McLaren Automotive Ltd, Meridian, Advanced Propulsion Centre, Automotive Investment Organisation, Bentley Motors Ltd, GM  Vauxhall UK, Centre for Connected & Autonomous Vehicles, RDM Group, Society of Motor Manufacturers & Traders, Royal Bank of Scotland, Ford, Honda Motor Europe Ltd, Jaguar Land Rover, SMMT Industry Forum, RPJ Consulting, Triumph Motorcycles Ltd, GKN plc, Leyland Trucks, Nissan Motor (GB) Ltd, Toyota Motor Europe, UNITE, Automotive Investment Organisation",To discuss the automotive sector
Claire Perry,24/07/2017,"D2N2 Local Enterprise Partnership, Nottingham Trent University, Derbyshire County Council,  Nottingham City Council, Rolls Royce, Toyota, Chinook Energy, SMS Electronics, We Go Couriers, Chamber of Commerce, Confederation of British Industry, Institute of Directors, Energy Research Accelerator, University of Nottingham, University of Derby",To discuss industrial strategy
Claire Perry,27/07/2017,PricewaterhouseCoopers,To discuss labour markets
Claire Perry,08/08/2017,UK100,To discuss clean energy
Claire Perry,08/08/2017,Tesla,To discuss zero emissions
Claire Perry,09/08/2017,Green Investment Bank,To discuss the Green Investment Bank
Claire Perry,09/08/2017,UK Steel,To discuss the steel sector
Claire Perry,09/08/2017,Aston Martin,To discuss business
Claire Perry,15/08/2017,Tata,To discuss the steel sector
Claire Perry,15/08/2017,Celsa,To discuss the steel sector
Claire Perry,31/08/2017,Delphi,To discuss business
Claire Perry,31/08/2017,"Green Alliance, Royal Society for the Protection of Birds, World Wildlife Fund, Christian Aid, The Climate Coalition, Climate Group",To discuss the Clean Growth Strategy
Claire Perry,31/08/2017,"Green Alliance, Aldersgate Group, Confederation of British Industry, Sustainable Energy, National Grid, Childrens Investment Fund Foundation, Bank of England, UK Energy Research Centre",To discuss the Clean Growth Strategy
