Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
"Department for Environment, Food and Rural Affairs",Ministerial Department,"Department for Environment, Food and Rural Affairs",167,162.4,334,320.85,944,912.21,530,507.3,95,91.78,0,0,2070,1994.54,19,19,15,15,66,66,3,3,103,103,2173,2097.54,"£6,536,295",£0,"£23,250","£21,374","£1,312,476","£561,281","£8,454,676","£774,575","£13,942","£788,517","£9,243,193",
Animal Health and Veterinary Laboratories Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",827,750.61,485,456.14,685,643.16,179,172.23,8,8,0,0,2184,2030.14,44,43.6,2,2,20,20,0,0,66,65.6,2250,2095.74,"£4,989,087","£55,912",£0,"£57,054","£970,855","£384,553","£6,457,461","£225,835",£0,"£225,835","£6,683,296",
"Centre for Environment, Fisheries and Aquaculture Science",Executive Agency,"Department for Environment, Food and Rural Affairs",93,86.38,137,130.34,240,224.46,88,83.95,2,2,0,0,560,527.13,0,0,0,0,0,0,0,0,0,0,560,527.13,"£1,302,414","£19,917",£0,"£21,959","£247,270","£100,755","£1,692,315",£0,£0,£0,"£1,692,315",
Food and Environment Research Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",206,185.86,238,211.48,333,308.78,84,80.95,4,4,12,12,877,803.07,5,5,0,0,2,2,0,0,7,7,884,810.07,"£1,840,715","£36,938","£1,100","£13,178","£129,807","£346,302","£2,368,040","£16,285","-£12,937","£3,348","£2,371,388",
Rural Payments Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",843,742.61,627,577.71,482,462.71,150,148.98,15,15,0,0,2117,1947.01,13,13,52,52,13,13,0,0,78,78,2195,2025.01,"£4,293,614","£51,963","£6,937","£126,832","£787,505","£316,820","£5,583,671","£885,887",£0,"£885,887","£6,469,558",
Veterinary Medicines Directorate ,Executive Agency,"Department for Environment, Food and Rural Affairs",37,36.18,31,29.32,46,45.51,38,37.92,3,3,0,0,155,151.93,12,11,0,0,2,0.4,0,0,14,11.4,169,163.33,"£441,294","£7,403",£0,"£1,719","£90,674","£37,789","£578,879","£43,797",£0,"£43,797","£622,676",
Agricultural Wages Board for England and Wales,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Board does not employ any staff
Agricultural Wages Committee x 15,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Committees do not employ any staff
Agriculture and Horticulture Development Board,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,0,0,0,0,0,0,0,0,378,367.25,378,367.25,20,20,0,0,20,20,0,0,40,40,418,407.25,"£1,076,510","£38,671",£0,"£1,660","£94,194","£117,568","£1,328,602","£45,397",£0,"£45,397","£1,373,999",AHDB is funded through a levy paid by farmers and others in the agricultural supply chain.  No funding towards staffing or other running costs is received from the Government. 
Consumer Council for Water,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",10,9.4,29,26.96,25,24.7,9,9,4,4,0,0,77,74.06,0,0,0,0,0,0,0,0,0,0,77,74.06,"£186,229",£417,£0,£0,"£34,072","£14,597","£235,315",£0,£0,£0,"£235,315",
