County,Category,Taxonomic Group,Taxonomic Subgroup,Scientific Name,Common Name,State Conservation Rank,Global Conservation Rank
Nassau,Animal,Birds,Owls,Megascops asio,Eastern Screech-Owl,S5,G5
Greene,Animal,Birds,Thrushes and Bluebirds,Catharus bicknelli,Bicknell's Thrush,S2S3B,G4
Oneida,Plant,Flowering Plants,Other Flowering Plants,Ceratophyllum echinatum,Prickly Hornwort,S3,G4?
Orange,Animal,Dragonflies and Damselflies,Dragonflies,Gomphus rogersi,Sable Clubtail,S1,G4
Chenango,Animal,Birds,Wood-Warblers,Cardellina canadensis,Canada Warbler,S5B,G5
Niagara,Animal,Birds,"Rails, Coots and Cranes",Rallus limicola,Virginia Rail,S5,G5
Greene,Plant,Flowering Plants,Other Flowering Plants,Panax quinquefolius,American Ginseng,S3S4,G3G4
Nassau,Animal,Birds,Sparrows and Towhees,Spizella passerina,Chipping Sparrow,S5B,G5
Columbia,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Bidens laevis,Smooth Beggar-ticks,S2,G5
Columbia,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Gallinago delicata,Wilson's Snipe,S5B,G5
Rensselaer,Animal,Birds,Nightbirds,Chordeiles minor,Common Nighthawk,S2S3B,G5
Otsego,Animal,Birds,Sparrows and Towhees,Passerculus sandwichensis,Savannah Sparrow,S5B,G5
Broome,Animal,Birds,Thrushes and Bluebirds,Sialia sialis,Eastern Bluebird,S5B,G5
Sullivan,Animal,Birds,"Ducks, Geese, Waterfowl",Anas platyrhynchos x rubripes,Mallard x Am. Black Duck Hybrid,SNA,GNA
Jefferson,Animal,Birds,Nuthatches,Sitta canadensis,Red-breasted Nuthatch,S5,G5
St. Lawrence,Natural Community,Uplands,Forested Uplands,Beech-maple mesic forest,Beech-Maple Mesic Forest,S4,G4
Albany,Animal,Birds,Owls,Aegolius acadicus,Northern Saw-whet Owl,S3,G5
St. Lawrence,Plant,Flowering Plants,Other Flowering Plants,Alisma gramineum,Grass-leaved Water Plantain,S3S4,G5
Broome,Animal,Birds,Sparrows and Towhees,Pooecetes gramineus,Vesper Sparrow,S3B,G5
Richmond,Plant,Flowering Plants,Other Flowering Plants,Callitriche terrestris,Terrestrial Starwort,S2S3,G5
Broome,Animal,Amphibians,Frogs and Toads,Anaxyrus americanus,American Toad,S5,G5
Greene,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Bidens laevis,Smooth Beggar-ticks,S2,G5
Broome,Animal,Birds,Cardinals and Buntings,Spiza americana,Dickcissel,SNA,G5
Orange,Animal,Birds,"Ducks, Geese, Waterfowl",Mergus merganser,Common Merganser,S5,G5
Rockland,Animal,Reptiles,Snakes,Agkistrodon contortrix,Copperhead,S3,G5
Delaware,Animal,Reptiles,Turtles,Chrysemys picta,Painted Turtle,S5,G5
Oneida,Animal,Birds,"Grouse, Pheasants, Turkeys",Phasianus colchicus,Ring-necked Pheasant,SNA,G5
Jefferson,Plant,Flowering Plants,Other Flowering Plants,Geum virginianum,Rough Avens,S2,G5
St. Lawrence,Animal,Birds,Sparrows and Towhees,Melospiza lincolnii,Lincoln's Sparrow,S4B,G5
Ulster,Animal,Birds,Wood-Warblers,Cardellina canadensis,Canada Warbler,S5B,G5
Albany,Plant,Flowering Plants,Other Flowering Plants,Scutellaria nervosa,Veined Skullcap,SX,G5
Schenectady,Animal,Birds,Nuthatches,Sitta canadensis,Red-breasted Nuthatch,S5,G5
Jefferson,Natural Community,Freshwater Nontidal Wetlands,Open Mineral Soil Wetlands,Deep emergent marsh,Deep Emergent Marsh,S5,G5
Yates,Animal,Birds,Wood-Warblers,Seiurus aurocapilla,Ovenbird,S5B,G5
Lewis,Animal,Fish,"Minnows, Shiners, Suckers",Notropis heterolepis,Blacknose Shiner,S2S3,G5
Schoharie,Animal,Birds,Kinglets,Regulus satrapa,Golden-crowned Kinglet,S5B,G5
Orange,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Nycticorax nycticorax,Black-crowned Night-Heron,S3,G5
St. Lawrence,Animal,Birds,Blackbirds and Orioles,Dolichonyx oryzivorus,Bobolink,S5B,G5
Ulster,Animal,Birds,Blackbirds and Orioles,Icterus spurius,Orchard Oriole,S4B,G5
Monroe,Plant,Flowering Plants,Grasses,Poa sylvestris,Forest Blue Grass,S1,G5
Albany,Plant,Flowering Plants,Orchids,Cypripedium arietinum,Ram's-head Lady's Slipper,S2,G3
Ontario,Animal,Birds,Cuckoos,Coccyzus erythropthalmus,Black-billed Cuckoo,S5B,G5
Clinton,Natural Community,Freshwater Nontidal Wetlands,Open Peatlands,Rich sloping fen,Rich Sloping Fen,S1S2,G3
Erie,Plant,Flowering Plants,Other Flowering Plants,Gentiana puberulenta,Prairie Gentian,SX,G4G5
Niagara,Animal,Amphibians,Frogs and Toads,Lithobates clamitans,Green Frog,S5,G5
Franklin,Plant,Flowering Plants,Other Flowering Plants,Hedeoma hispida,Rough Pennyroyal,S2S3,G5
Monroe,Animal,Birds,Hummingbirds and Swifts,Chaetura pelagica,Chimney Swift,S5B,G5
Ulster,Animal,Birds,Cardinals and Buntings,Piranga olivacea,Scarlet Tanager,S5B,G5
Monroe,Plant,Flowering Plants,Other Flowering Plants,Stuckenia filiformis,Slender Pondweed,S1,G5
Oneida,Plant,Flowering Plants,Orchids,Platanthera ciliaris,Orange Fringed Orchid,S1,G5
St. Lawrence,Animal,Birds,"Grouse, Pheasants, Turkeys",Falcipennis canadensis,Spruce Grouse,S2,G5
Warren,Animal,Birds,Wood-Warblers,Setophaga discolor,Prairie Warbler,S5B,G5
Onondaga,Plant,Flowering Plants,Other Flowering Plants,Astragalus neglectus,Cooper's Milkvetch,S1,G4
Ulster,Animal,Birds,Sparrows and Towhees,Pipilo erythrophthalmus,Eastern Towhee,S5B,G5
Bronx,Plant,Flowering Plants,Other Flowering Plants,Crotalaria sagittalis,Rattlebox,S1,G5
Richmond,Plant,Flowering Plants,Other Flowering Plants,Chamaelirium luteum,Fairywand,S1S2,G5
Orange,Plant,Flowering Plants,Other Flowering Plants,Scutellaria integrifolia,Hyssop-skullcap,S1,G5
Columbia,Plant,Flowering Plants,Other Flowering Plants,Acalypha virginica,Virginia Three-seeded Mercury,S1,G5
Suffolk,Animal,Butterflies and Moths,Moths,Renia nemoralis,Chocolate Renia,SU,G4
Madison,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Buteo lineatus,Red-shouldered Hawk,S4B,G5
Rensselaer,Animal,Birds,Wood-Warblers,Parkesia noveboracensis,Northern Waterthrush,S5B,G5
Montgomery,Natural Community,Uplands,Open Uplands,Calcareous cliff community,Calcareous Cliff Community,S3,G4
Niagara,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Falco sparverius,American Kestrel,S5B,G5
Jefferson,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Chlidonias niger,Black Tern,S2B,G4
Ulster,Plant,Flowering Plants,Other Flowering Plants,Oxalis violacea,Violet Wood Sorrel,S2S3,G5
Jefferson,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Gallinago delicata,Wilson's Snipe,S5B,G5
Niagara,Natural Community,Uplands,Barrens and Woodlands,Calcareous talus slope woodland,Calcareous Talus Slope Woodland,S3,G3G4
Chautauqua,Animal,Mussels and Clams,Freshwater Mussels,Pleurobema sintoxia,Round Pigtoe,S1,G4G5
Cayuga,Plant,Flowering Plants,Sedges,Eleocharis uniglumis,Salt-marsh Spike Rush,S2,G5
Essex,Natural Community,Freshwater Nontidal Wetlands,Forested Mineral Soil Wetlands,Silver maple-ash swamp,Silver Maple-Ash Swamp,S3,G4
Fulton,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Accipiter striatus,Sharp-shinned Hawk,S4,G5
Richmond,Animal,Birds,Sparrows and Towhees,Spizella passerina,Chipping Sparrow,S5B,G5
Dutchess,Animal,Birds,Finches and Crossbills,Haemorhous mexicanus,House Finch,SNA,G5
Wyoming,Animal,Birds,Wood-Warblers,Setophaga virens,Black-throated Green Warbler,S5B,G5
Columbia,Animal,Birds,Sparrows and Towhees,Melospiza melodia,Song Sparrow,S5B,G5
Chenango,Plant,Flowering Plants,Other Flowering Plants,Hypericum prolificum,Shrubby St. John's Wort,S2,G5
Richmond,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Nycticorax nycticorax,Black-crowned Night-Heron,S3,G5
Broome,Animal,Birds,Woodpeckers,Dryocopus pileatus,Pileated Woodpecker,S5,G5
Broome,Animal,Reptiles,Turtles,Graptemys geographica,Common Map Turtle,S3,G5
Richmond,Plant,Flowering Plants,Other Flowering Plants,Commelina erecta,Slender Dayflower,SX,G5
Yates,Animal,Birds,"Ducks, Geese, Waterfowl",Lophodytes cucullatus,Hooded Merganser,S4,G5
Livingston,Animal,Mussels and Clams,Freshwater Mussels,Potamilus alatus,Pink Heelsplitter,S2S3,G5
Nassau,Natural Community,Freshwater Nontidal Wetlands,Open Mineral Soil Wetlands,Coastal plain pond shore,Coastal Plain Pond Shore,S2,G3G4
Dutchess,Plant,Flowering Plants,Other Flowering Plants,Heuchera americana var. americana,American Alumroot,S3,G5T5
Greene,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Charadrius vociferus,Killdeer,S5,G5
Ontario,Animal,Amphibians,Salamanders,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,S5,G5
Delaware,Animal,Birds,Sparrows and Towhees,Junco hyemalis,Dark-eyed Junco,S5B,G5
Livingston,Animal,Birds,Blackbirds and Orioles,Agelaius phoeniceus,Red-winged Blackbird,S5B,G5
Hamilton,Plant,Flowering Plants,Other Flowering Plants,Galium kamtschaticum,Northern Wild Licorice,S1,G5
Jefferson,Animal,Birds,Flycatchers,Tyrannus tyrannus,Eastern Kingbird,S5B,G5
Jefferson,Animal,Butterflies and Moths,Moths,Paectes abrostolella,A Notodontid Moth,S1,G4
New York,Animal,Birds,Blackbirds and Orioles,Icterus spurius,Orchard Oriole,S4B,G5
Columbia,Plant,Flowering Plants,Other Flowering Plants,Ranunculus micranthus,Small-flowered Crowfoot,S3,G5
Rensselaer,Animal,Amphibians,Frogs and Toads,Lithobates palustris,Pickerel Frog,S5,G5
Suffolk,Plant,Flowering Plants,Other Flowering Plants,Hypericum densiflorum,Bushy St. John's-wort,S1,G5
