CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,ACTION,VIOLATION CODE,INSPECTION TYPE,NTA
50070414,SONORA,Brooklyn,174,HOWARD AVENUE,11233.0,7185748100,Mexican,D,06C,Pre-permit (Non-operational) / Initial Inspection,BK35
40840921,CONNOLLY'S CORNER,Queens,7115,GRAND AVENUE,11378.0,7185657383,Continental,D,10F,Cycle Inspection / Re-inspection,QN30
40390696,HAN BAT RESTAURANT,Manhattan,53,WEST   35 STREET,10001.0,2126295588,Korean,F,09C,Cycle Inspection / Initial Inspection,MN17
50002512,WING LING,Bronx,159B,EAST  170 STREET,10452.0,7185380278,Chinese,G,10B,Cycle Inspection / Initial Inspection,BX63
41713504,ISIS RESTAURANT,Bronx,739,ALLERTON AVENUE,10467.0,7183241054,Mexican,D,06F,Cycle Inspection / Re-inspection,BX07
40378212,CUCHIFRITO,Manhattan,168,EAST  116 STREET,10029.0,2128764846,Mexican,P,06D,Cycle Inspection / Initial Inspection,MN34
50085980,NICKS PIZZA LOUNGE,Bronx,292,EAST BURNSIDE AVENUE,10457.0,3472972890,Pizza,D,04A,Pre-permit (Operational) / Re-inspection,BX41
50090616,PLAY DATE CAFE BAYSIDE,Queens,20803,35TH AVE,11361.0,9293811094,American,F,10F,Pre-permit (Operational) / Initial Inspection,QN46
50076485,ABRACADABRA MAGIC DELI,Brooklyn,190,KNICKERBOCKER AVENUE,11237.0,3474138644,Turkish,D,10F,Cycle Inspection / Re-inspection,BK77
50008870,TACOS EL DORADO,Brooklyn,763A,FLATBUSH AVENUE,11226.0,7188566677,Tex-Mex,D,10B,Cycle Inspection / Initial Inspection,BK60
40368897,HATSUHANA RESTAURANT,Manhattan,17,EAST   48 STREET,10017.0,2123553345,Japanese,D,02B,Cycle Inspection / Re-inspection,MN17
41617538,DUNKIN,Brooklyn,8925,AVENUE D,11236.0,7184511213,Donuts,D,08A,Cycle Inspection / Initial Inspection,BK50
50061387,FAMILY ALTAGRACIA CARIBBEAN CUISINE,Brooklyn,5601,CLARENDON ROAD,11203.0,9177212661,Caribbean,F,08A,Cycle Inspection / Initial Inspection,BK96
50047275,HI NOODLE THAI,Brooklyn,333,GRAHAM AVENUE,11211.0,9173043857,Thai,D,10F,Cycle Inspection / Initial Inspection,BK90
50043733,THE OZONE DINER,Queens,13335,79TH ST,11414.0,7182963141,American,U,10H,Cycle Inspection / Initial Inspection,QN57
50010297,FONDA OF CHELSEA,Manhattan,189,9 AVENUE,10011.0,9175255252,Mexican,D,09C,Cycle Inspection / Initial Inspection,MN13
50018562,BURGER TIME,Bronx,1080,MORRIS PARK AVENUE,10461.0,7182396210,Hamburgers,D,08A,Cycle Inspection / Re-inspection,BX37
41281381,RED BOWL CHINESE RESTAURANT,Brooklyn,208,BEDFORD AVENUE,11249.0,7183888898,Chinese,F,02G,Cycle Inspection / Initial Inspection,BK73
50083970,LITTLE ITALY PIZZA,Manhattan,958,3 AVENUE,10022.0,2123553434,Pizza,D,08C,Cycle Inspection / Initial Inspection,MN19
41491151,TINY'S GIANT SANDWICH SHOP,Manhattan,129,RIVINGTON STREET,10002.0,2122284919,Sandwiches,B,,Administrative Miscellaneous / Initial Inspection,MN27
50078107,AYURVEDIC PLATE,Brooklyn,1616,CORTELYOU ROAD,11226.0,7185766335,Indian,D,10F,Cycle Inspection / Re-inspection,BK42
50042380,LA VELA DINING AND BAR,Manhattan,558,11 AVENUE,10036.0,2126952112,Italian,G,08A,Cycle Inspection / Initial Inspection,MN15
41435037,SALIMAR,Bronx,357,EAST  138 STREET,10454.0,9179815492,Latin American,U,06D,Cycle Inspection / Initial Inspection,BX39
41576098,JR PRIMOS RESTAURANT,Bronx,698,ALLERTON AVENUE,10467.0,3474495680,Spanish,D,06C,Cycle Inspection / Re-inspection,BX07
41142418,CAFE D'ALSACE,Manhattan,1695,2 AVENUE,10128.0,2127225133,French,D,10F,Cycle Inspection / Initial Inspection,MN32
50041624,HOW GREEK IT IS,Staten Island,2224,HYLAN BOULEVARD,10306.0,7182733200,Greek,D,06A,Cycle Inspection / Re-inspection,SI45
40758427,LA COVACHA,Manhattan,368,COLUMBUS AVENUE,10024.0,2127122929,Mexican,U,10F,Cycle Inspection / Initial Inspection,MN12
40364439,SEVILLA RESTAURANT,Manhattan,62,CHARLES STREET,10014.0,2129293189,Latin American,F,10F,Cycle Inspection / Initial Inspection,MN23
50053689,BURGER KING,Brooklyn,2848,CHURCH AVENUE,11226.0,7182271100,Hamburgers,D,02G,Cycle Inspection / Initial Inspection,BK95
50050884,CASA PIZZA,Manhattan,1427,3 AVENUE,10028.0,2125355700,Pizza,F,02G,Cycle Inspection / Initial Inspection,MN32
50012300,TARTINERY,Manhattan,225,LIBERTY STREET,10280.0,6467558484,French,P,08A,Cycle Inspection / Initial Inspection,MN25
41304269,HAI SUN RESTAURANT,Brooklyn,651,FLATBUSH AVENUE,11225.0,7186935805,Chinese,F,09B,Cycle Inspection / Initial Inspection,BK60
41178691,"HARRY'S CAFE, HARRY'S STEAK",Manhattan,1,HANOVER SQUARE,10004.0,2127859200,American,P,10F,Cycle Inspection / Initial Inspection,MN25
50066991,MOTHERSHIP MEAT COMPANY,Queens,2716,40TH AVE,11101.0,9177483218,American,D,10F,Pre-permit (Operational) / Re-inspection,QN68
41705474,DRAUGHT 55 BAR & KITCHEN,Manhattan,245,EAST   55 STREET,10022.0,2123004096,American,D,10B,Cycle Inspection / Re-inspection,MN19
40564625,WAKAMBA,Manhattan,543,8 AVENUE,10018.0,2125642042,American,U,06D,Cycle Inspection / Initial Inspection,MN13
50001945,OOKI SUSHI,Manhattan,1575,3 AVENUE,10128.0,2128283388,Japanese,P,02B,Cycle Inspection / Initial Inspection,MN32
50069755,MUNCHIES,Manhattan,1405,SAINT NICHOLAS AVENUE,10033.0,2127408100,Spanish,D,10B,Pre-permit (Non-operational) / Initial Inspection,MN35
41695440,BEST BAKERY,Brooklyn,5812,8 AVENUE,11220.0,7184395138,Chinese,U,22F,Cycle Inspection / Re-inspection,BK34
40521343,MCDONALD'S,Staten Island,803,FOREST AVENUE,10310.0,7188766088,Hamburgers,U,06D,Cycle Inspection / Re-inspection,SI35
