CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,ACTION,VIOLATION CODE,INSPECTION TYPE,NTA
41680592,SPICY VILLAGE,Manhattan,68B,FORSYTH STREET,10002.0,9176891882,Chinese,D,09C,Cycle Inspection / Initial Inspection,MN27
41676147,MEI HAO RESTAURANT,Brooklyn,4415,8 AVENUE,11220.0,7186866699,Chinese,F,02B,Cycle Inspection / Initial Inspection,BK34
50048281,TAJ MASALA,Brooklyn,256,MALCOLM X BOULEVARD,11233.0,3473782655,Indian,D,06C,Cycle Inspection / Re-inspection,BK35
50038882,MIKES DELI,Brooklyn,9510,4 AVENUE,11209.0,9176925786,American,D,10F,Cycle Inspection / Initial Inspection,BK31
50054346,NORTH PENGUIN TORNADO CREPES,Brooklyn,307,KNICKERBOCKER AVENUE,11237.0,9172576661,Pancakes/Waffles,D,08A,Cycle Inspection / Initial Inspection,BK77
41702705,ZZ'S PIZZA & GRILL,Staten Island,1,RICHMOND TERRACE,10301.0,7185240707,Pizza,U,03A,Cycle Inspection / Re-inspection,SI22
50090861,DRINK TEA,Brooklyn,4722,8 AVENUE,11220.0,9179091001,"Juice, Smoothies, Fruit Salads",F,10B,Pre-permit (Operational) / Initial Inspection,BK34
50077433,LITTLE PIZZA,Queens,84-04,ASTORIA BOULEVARD,11370.0,7188999899,Pizza,D,08A,Cycle Inspection / Initial Inspection,QN28
40385461,CLOISTER CAFE,Manhattan,238,EAST    9 STREET,10003.0,2127779128,American,P,04L,Cycle Inspection / Initial Inspection,MN22
50045402,IRVING FARM COFFEE ROASTERS,Manhattan,200,BROADWAY,10038.0,6469187761,Coffee/Tea,E,15F7,Smoke-Free Air Act / Initial Inspection,MN25
50017967,PROSPERITY NOODLE,Brooklyn,947,4 AVENUE,11232.0,9176831622,Chinese,U,06D,Cycle Inspection / Initial Inspection,BK32
50070665,HIBACHI BUFFET,Bronx,216,EAST  161 STREET,10451.0,7185901627,Chinese,F,02G,Cycle Inspection / Re-inspection,BX14
41139255,HUDSON FOOD COURT,Manhattan,333,HUDSON STREET,10013.0,2123672192,American,D,02B,Cycle Inspection / Re-inspection,MN24
41319530,PAX,Manhattan,966,6 AVENUE,10018.0,2129672820,Sandwiches/Salads/Mixed Buffet,F,22G,Administrative Miscellaneous / Initial Inspection,MN17
50079762,TIPICO DOMINICANO,Manhattan,1390,SAINT NICHOLAS AVENUE,10033.0,2129232700,Latin American,D,10B,Cycle Inspection / Initial Inspection,MN36
50038460,CLINTON HALL,Manhattan,90,WASHINGTON STREET,10006.0,2123636000,American,D,10F,Cycle Inspection / Initial Inspection,MN25
41305723,CANNELLE PATISSERIE,Bronx,7559,31 AVENUE,,7185656200,French,D,10F,Cycle Inspection / Initial Inspection,
41396673,STAND 107,Bronx,1,EAST  161 STREET,10451.0,9172843260,Sandwiches,D,06D,Cycle Inspection / Re-inspection,BX63
41323353,NEW SUN MARY BAKERY,Queens,133-57,41 ROAD,11355.0,7184608800,Bakery Products/Desserts,F,16B,Trans Fat / Re-inspection,QN22
50005331,Vivid Cabaret,Manhattan,61,WEST   37 STREET,10018.0,2123912702,American,D,10B,Cycle Inspection / Re-inspection,MN17
50033122,PARTY WELL RESTAURANT & ORIENTAL BAKERY,Queens,14932,41ST AVE,11355.0,7188860800,Korean,U,02B,Cycle Inspection / Re-inspection,QN51
41524607,THE WHISKEY BROOKLYN,Brooklyn,44,BERRY STREET,11249.0,7183878444,American,F,06D,Cycle Inspection / Initial Inspection,BK73
50071035,JAMROCK BISTRO,Brooklyn,1009,RUTLAND ROAD,11212.0,3473841770,Caribbean,D,10F,Cycle Inspection / Initial Inspection,BK96
50059212,I LOVE DIM SUM,Brooklyn,123,AVENUE U,11223.0,7189962882,Chinese,F,06C,Cycle Inspection / Initial Inspection,BK29
50039510,KETSIE GROCERY,Bronx,865-869,E 149TH ST,10455.0,7187426755,Latin American,D,10F,Cycle Inspection / Re-inspection,BX33
41615409,HOT KITCHEN,Manhattan,104,2 AVENUE,10003.0,2122283090,Chinese,D,10B,Cycle Inspection / Re-inspection,MN22
50060943,L'INDUSTRIE PIZZERIA,Brooklyn,254,SOUTH    2 STREET,11211.0,7185990002,Pizza,D,10F,Cycle Inspection / Initial Inspection,BK73
41111464,100 FUN,Brooklyn,932934,60 STREET,,7184368883,Asian/Asian Fusion,P,10F,Cycle Inspection / Initial Inspection,
40996665,CELTIC GASTHAUS,Queens,64-04,MYRTLE AVENUE,11385.0,7184568341,American,P,08A,Cycle Inspection / Initial Inspection,QN19
41374707,FRESH & CO,Manhattan,1211,6 AVENUE,10036.0,2127688080,American,D,22F,Cycle Inspection / Initial Inspection,MN17
40391272,LINA RESTAURANT,Manhattan,500,WEST  207 STREET,10034.0,2125675031,Latin American,P,08A,Cycle Inspection / Initial Inspection,MN01
50069965,191 KNICKERBOCKER AVENUE,Brooklyn,191,KNICKERBOCKER AVENUE,11237.0,9293053625,American,E,08A,Pre-permit (Non-operational) / Initial Inspection,BK77
50035987,BEIJING DUMPLING,Queens,8838,SUTPHIN BLVD,11435.0,7182972935,Chinese,D,06B,Cycle Inspection / Re-inspection,QN61
50073680,SWEET CATS CAFE,Queens,16817,UNION TPKE,11366.0,9292183130,Coffee/Tea,D,10H,Pre-permit (Operational) / Initial Inspection,QN38
50040467,WAI KANG CHINESE RESTAURANT,Bronx,39,BEDFORD PARK BLVD EAST,10468.0,7189332797,Chinese,D,09C,Cycle Inspection / Initial Inspection,BX05
