UID,Client,Pro Class,Contract Title,Route to Market,Agreement Type,Contract Start Date,Contract Term (Months),Maximum Duration of Contract (Months),Contract End Date,Ext. Applied to Contract,Maximum Extend Date,Review Date,Estimated Annual Value,Estimated Total Value,Supplier Name,Supplier Type,Registered Number,Postcode,Council Directorate
193,Stockport Council,321015-Social Community Care Supplies & Services - Adult : Sheltered Accommodation : ,Extra Care,OJEU Tender,Contract,01-Sep-13,36,72,31-Aug-19,Yes,31-Aug-19,31-Jan-19,"Â£2,523,822.00","Â£15,142,932.00",Creative Support,Large,0027440IP,M1 2HF,Stockport- Services to People
236,Stockport Council,SOCIAL CARE SERVICES : Adult,Provision of Framework for Residential & Nursing Care for Older People,-,-,-,-,-,-,-,-,-,-,-,United Response,VCSE,1133776,SW19 1NE,Stockport- Services to People
284,Stockport Council,201200-Financial Services : Banking : ,Banking Services and Purchasing Card,Call Off (External),Contract,01-Apr-14,60,84,31-Mar-21,Yes,31-Mar-21,31-Mar-18,"Â£400,000.00","Â£2,400,000.00",Barclays Bank PLC,Large,01026167,E14 4BB,Stockport- Corporate & Support Services
346,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Minor Civil Engineering Works ,OJEU Tender,Contract,01-Apr-09,60,120,31-Mar-20,Yes,31-Mar-20,01-Aug-17,"Â£2,816,633.89","Â£28,166,338.86",George Cox Holdings (Ltd),SME,4366302,BL4 7QF,Stockport- Services to Place
352,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance","Structural Maintenance, Retaining Walls ",OJEU Tender,Contract,01-Apr-09,60,120,31-Mar-20,Yes,31-Mar-20,01-Aug-17,"Â£1,650,651.80","Â£16,506,517.97",Bethell Constructions LTD,SME,264322,M26 1GE,Stockport- Services to Place
362,Stockport Council,151612-Street & Traffic Management : Planning : ,"Signage, Access & Parking Strategy/planned highways stuctural maintenance",OJEU Tender,Contract,01-Apr-09,60,120,31-Mar-20,Yes,31-Mar-20,01-Aug-17,"Â£92,523.36","Â£1,017,757.01","DCT Civil engineering, J Cooney",SME,2057769,M2 3EY,Stockport- Services to Place
364,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Carriageway Surfacing ,OJEU Tender,Contract,01-Apr-09,60,120,31-Mar-20,Yes,31-Mar-20,01-Aug-17,"Â£1,048,598.13","Â£11,534,579.44",Tarmac Limited,Large,7533961,WV4 6JP,Stockport- Services to Place
390,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Preventative Surface Treatments ,OJEU Tender,Contract,01-Apr-09,60,120,31-Mar-20,Yes,31-Mar-20,31-Mar-18,"Â£916,666.67","Â£10,083,333.33",Colas Limited,Large,2644726,RH10 4NF,Stockport- Services to Place
392,Stockport Council,182012-Environmental Services : Waste Management : Recycling,Recycling Operations/street lighting schemes,OJEU Tender,Contract,01-Apr-09,60,120,31-Mar-20,Yes,31-Mar-20,31-Mar-18,"Â£246,728.97","Â£2,714,018.69",Acorn Lighting Services Limited,SME,3724243,HG1 3EH,Stockport- Services to Place
399,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Road Lining/anti skid coloured surfacing,OJEU Tender,Contract,01-Apr-09,60,120,31-Mar-20,No,31-Mar-20,31-Mar-18,"Â£123,364.49","Â£1,357,009.35",Galliford Try Infrastructure Limited.,Large,SC055775,LE10 1YL,Stockport- Services to Place
402,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Routine & Reactive Structures,OJEU Tender,Contract,01-Apr-09,60,120,31-Mar-20,Yes,31-Mar-20,31-Mar-18,"Â£122,222.22","Â£1,344,444.44",George Cox and Sons Limited,SME,2775128,BL4 7QF,Stockport- Services to Place
404,Stockport Council,271600-Information Communication Technology : Software : Customised & Bespoke,Stockport Partnership Local Information System project ,Tender,Contract,01-Mar-12,48,96,28-Feb-20,Yes,28-Feb-20,01-Aug-19,"Â£19,466.50","Â£155,732.00",Fluent Technology ,SME,NI 040683,BT8 7QN,Stockport- Corporate & Support Services
407,Stockport Council,231400-Highway Equipment & Materials : Street Lighting : ,Street Lighting & Street Furniture Maintenance ,OJEU Tender,Contract,01-Apr-09,60,120,31-Mar-20,Yes,31-Mar-20,01-Aug-16,"Â£427,777.78","Â£2,566,666.67",Acorn Lighting Services Limited,SME,3724243,HG1 3EH,Stockport- Services to Place
