Production Year,Operator,County,Town,Producing Formation,Active Gas Wells,Inactive Gas Wells,Purchaser Codes
1998,"Rasmussen, Ronnie O.",Seneca,FAYETTE,QUEENSTON,3,0,GC
1992,"Energy Control Unlimited, Inc.",Cattaraugus,COLD SPRING,MEDINA,1,0,GK
1993,"Borglum, Elsie J.",Yates,BENTON,QUEENSTON,1,0,
1997,"Guzzetta, Joseph & Carlyn",Cattaraugus,PERRYSBURG,MEDINA,0,1,
1975,Atlas Drilling Co.,Cattaraugus,OTTO,MEDINA,1,0,GK
1996,Shorewood Farms Drilling,Erie,HAMBURG,MEDINA,1,0,
1999,"Adams, Ronald D.",Cattaraugus,CONEWANGO,MEDINA,1,0,
1996,"Desert Gas Exploration, Inc.",Chautauqua,STOCKTON,MEDINA,1,0,GK
1989,"Lebarron, Paul",Steuben,TROUPSBURG,UNKNOWN,0,1,
1985,"Barnes, Gertrude",Cattaraugus,ALLEGANY,BRADFORD,0,0,OA
1997,"Traxler, Joyce",Genesee,LE ROY,MEDINA,1,0,
1995,"Vandermark Exploration, Inc.",Steuben,HARTSVILLE,ORISKANY,0,1,
1985,"Midwest Exploration, Inc.",Erie,BRANT,MEDINA,2,0,GU
1991,Clover Oil & Gas Co.,Erie,ALDEN,MEDINA,2,0,GN
1971,"Musser, S.  T.",Chautauqua,BUSTI,GLADE,0,0,"OA,OB"
1995,"Brown, Maude S.",Allegany,WIRT,RICHBURG,0,1,
1986,"Envirogas, Inc.",Chautauqua,POLAND,MEDINA,1,2,GH
1983,D-Y-M Corp.,Steuben,WEST UNION,FULMER VALLEY,0,0,
1983,"Templeton Energy,  Inc.",Chautauqua,ELLERY,MEDINA,3,2,
1993,CNG Transmission Corp.,Livingston,LEICESTER,MEDINA,3,0,GI
1996,"Wycoki, Michael",Erie,ELMA,MEDINA,1,0,
1986,"Allegro Oil & Gas,  Inc.",Cattaraugus,CARROLLTON,CHIPMUNK,0,0,OA
1996,"Resource America, Inc.",Chautauqua,HARMONY,MEDINA,1,0,GH
1997,"Alma Gas, Inc.",Allegany,ALMA,UPPER DEVONIAN,23,1,GK
1973,Miller Oil Co.,Cattaraugus,ALLEGANY,BRADFORD,0,0,OA
1975,"Paragon Resources, Inc.",Chautauqua,STOCKTON,MEDINA,38,0,GK
1992,"Northrop, David",Chautauqua,WESTFIELD,MEDINA,1,0,
1990,"Buffalo Block Company, Inc.",Erie,BUFFALO,MEDINA,1,0,
1997,"Saxton, Richard W.",Cayuga,SPRINGPORT,QUEENSTON,0,1,
1992,"Cotton Well Drilling Company,  Inc.",Chautauqua,MINA,MEDINA,3,0,GK
1999,"Cotton Well Drilling Company,  Inc.",Chautauqua,CHAUTAUQUA,MEDINA,3,0,GX
1989,Case Oil Corp.,Allegany,BOLIVAR,RICHBURG,0,0,
1983,"Deptuch, Michael Estate",Cayuga,LOCKE,,1,0,
1992,"O'Shanter Resources,  Inc.",Chautauqua,BUSTI,MEDINA,3,0,GK
1993,"Di Cerbo, Nicholas A.",Cattaraugus,OLEAN,BRADFORD,0,0,
1987,"Templeton Energy,  Inc.",Cattaraugus,OTTO,MEDINA,5,0,GK
1980,"Pagels, James",Erie,WELLSVILLE,FULMER VALLEY,0,2,
1986,"Weil Resources, Inc.",Cattaraugus,EAST OTTO,MEDINA,4,0,"GK,GX"
1991,Vineyard Oil & Gas Company,Chautauqua,RIPLEY,MEDINA,13,0,GK
1984,"Midwest Exploration, Inc.",Erie,ELMA,MEDINA,1,0,GX
1998,Cliffstar Corp.,Chautauqua,DUNKIRK,MEDINA,1,0,
1988,Arlington Exploration Co.,Steuben,CANISTEO,ONONDAGA,1,0,GI
1977,Ward Oil Company,Allegany,,RICHBURG,0,0,
1998,"Oonk, Harvey",Chautauqua,CLYMER,MEDINA,1,0,
1983,National Fuel Gas Supply Corp.,Ontario,WEST BLOOMFIELD,MEDINA,1,0,
1987,Dunning Oil Co.,Allegany,GENESEE,RICHBURG,0,0,OB
1967,Transamerican Petroleum Corp.,Wyoming,,,1,0,GX
1981,Cassadaga Valley Central School,Chautauqua,GERRY,MEDINA,1,0,GX
1985,"Envirogas, Inc.",Chautauqua,PORTLAND,MEDINA,9,0,GK
1986,"Solomons Resources, LLC",Cattaraugus,OLEAN,BRADFORD,0,0,OC
1987,"Dest Exploration, Inc.",Chautauqua,GERRY,MEDINA,6,0,GK
1979,"Lipman,  R. Allan",Erie,LACKAWANNA,MEDINA,2,0,GK
1994,"Morse, John R.",Chautauqua,PORTLAND,MEDINA,1,0,GD
1999,"Cotton Well Drilling Company,  Inc.",Chautauqua,MINA,MEDINA,2,0,GX
1987,Berea Oil & Gas Corp.,Chautauqua,CHERRY CREEK,MEDINA,11,10,GH
1986,"Templeton Energy,  Inc.",Erie,AURORA,MEDINA,5,0,"GK,GX"
1982,Columbia Gas Transmission Corp.,Chautauqua,NORTH HARMONY,BASS ISLAND,0,2,
1998,JoAnn Donovan & the Donald F. Donovan Family Trust,Livingston,WEST SPARTA,MEDINA,1,0,
1997,"Chautauqua Energy, Inc.",Cattaraugus,DAYTON,MEDINA,5,0,GK
1989,"Rupp, Harriett E.",Cattaraugus,PERRYSBURG,AKRON,2,0,
1978,"Flint Oil & Gas, Inc.",Erie,ALDEN,MEDINA,2,1,GK
1988,Seis-Ex Geophysical Ltd,Chautauqua,ELLICOTT,GLADE,0,1,
1977,"Firth, Robert H",Chautauqua,CHARLOTTE,MEDINA,1,0,
1975,P.M.Oil,Cattaraugus,OLEAN,BRADFORD,0,0,OA
1992,Columbia Natural Resources  LLC,Chautauqua,CHERRY CREEK,MEDINA,1,0,GH
1995,Schreiner Oil and Gas Inc.,Chautauqua,PORTLAND,MEDINA,2,0,GX
1995,"Desert Gas Exploration, Inc.",Chautauqua,CARROLL,MEDINA,3,0,GK
1983,"Shultz, Martin K",Cattaraugus,CARROLLTON,CHIPMUNK,0,0,
1987,Petroleum Security Corp.,Erie,ALDEN,MEDINA,8,4,"GK,GN,GX"
1990,Texas Meridian Operating Co.,Chautauqua,RIPLEY,MEDINA,54,3,GX
1997,"Heinzelman, Charles W. III",Chautauqua,BUSTI,MEDINA,1,0,
1972,Ashland Exploration Co.,Cayuga,ASHLAND,QUEENSTON,16,3,GX
1986,"Ebenezer Oil Co., Inc.",Allegany,ALMA,RICHBURG,0,0,OB
1973,"Flint Oil & Gas, Inc.",Chautauqua,POMFRET,MEDINA,4,0,GX
1983,"Alden Aurora Gas Co.,  Inc.",Erie,ALDEN,MEDINA,1,5,
1997,"Cotton Well Drilling Company,  Inc.",Chautauqua,CHAUTAUQUA,MEDINA,3,0,GX
1980,Shorewood Farms Drilling,Erie,HAMBURG,MEDINA,1,0,
1984,"Ekas, David & Archer",Cattaraugus,CARROLLTON,CHIPMUNK,0,0,OC
1996,"Ossman, John",Chautauqua,WESTFIELD,MEDINA,1,0,
1986,"Lipman, Robert & Joan",Erie,LACKAWANNA,MEDINA,2,0,GK
1980,Waste Water Treatment Plant,Chautauqua,DUNKIRK,MEDINA,1,0,
1989,"Abarta Oil & Gas, Inc.",Erie,TONAWANDA,MEDINA,0,1,
1991,"Envirogas, Inc.",Chautauqua,POMFRET,MEDINA,7,0,GK
1973,"Minderler, Lawrence J",Cattaraugus,ALLEGANY,BRADFORD,0,0,OA
1993,United States Gypsum Co.,Wyoming,ATTICA,MEDINA,1,0,
1993,"Evinczik, Paul M.",Chautauqua,BUSTI,GLADE,0,0,
1981,"Ensworth, B A & E V",Cattaraugus,ALLEGANY,CHIPMUNK,0,0,
1994,"Ardent Resources, Inc.",Erie,CONCORD,MEDINA,11,0,GK
1991,"Evinczik, Joseph A",Chautauqua,BUSTI,GLADE,2,0,OB
1985,Gugino Greenhouses,Chautauqua,POMFRET,MEDINA,1,0,
1998,Cal Ban Corp.,Cattaraugus,OLEAN,BRADFORD,0,0,OD
1992,"Sescil, Robert J.",Erie,NEWSTEAD,MEDINA,1,0,
1987,"Templeton Energy,  Inc.",Erie,BRANT,MEDINA,5,1,GK
1994,Miller Brewing Co.,Cayuga,AURELIUS,QUEENSTON,46,0,GB
1998,Belden & Blake Corporation,Chautauqua,RIPLEY,MEDINA,63,0,GK
1985,D. A. Griffin Corp.,Erie,WEST SENECA,MEDINA,1,0,
1982,Estate of Edith Reisdorf,Wyoming,SHELDON,MEDINA,1,0,
1998,"Densmore, Winfield F. & Debra",Chautauqua,BUSTI,MEDINA,1,0,
1984,Joyce - Tullar Oil Co.,Allegany,WELLSVILLE,FULMER VALLEY,0,0,"GK,OB"
1995,"Becker, John",Erie,ALDEN,MEDINA,1,0,
1979,"McGinnis, Tom",Allegany,WILLING,RICHBURG,0,0,OB
1999,Templeton & Woods,Cattaraugus,CARROLLTON,CHIPMUNK,0,0,
1986,Mitchell Exploration Corp.,Seneca,JUNIUS,QUEENSTON,0,1,
1981,"Envirogas, Inc.",Chautauqua,DUNKIRK,MEDINA,1,0,GK
1998,Estate of Edward Eckstrom,Chautauqua,BUSTI,GLADE,0,0,
1990,Columbia Natural Resources  LLC,Chautauqua,SHERMAN,MEDINA,3,0,GH
