Year,Quarter,LocationDesc,HealthTopic,PolicyTopic,Setting,Title,PolicyTypeID,PolicyTopicID
2011,1,New York,Obesity,Sugar Sweetened Beverages,School/After School,New York State Healthy Kids Act,LEG,046SSB
2011,1,Tennessee,Nutrition,Appropriations,Restaurant/Retail,Food and Food Products,LEG,002APP
2010,1,Louisiana,Nutrition,Appropriations,Restaurant/Retail,Rural Development,LEG,002APP
2010,1,Louisiana,Physical Activity,Built Environment and Street-Scale Design,Community,Bicycles,LEG,049BED
2011,1,Texas,Physical Activity,Public Safety,Community,Levy Assessment and Bond Issuance,LEG,039SAF
2011,1,Minnesota,Nutrition,Agriculture and Farming,Community,Capital Improvements,LEG,017AGF
2011,1,Mississippi,Nutrition,School Nutrition,Community,Task Force on Combating Childhood Obesity,LEG,043SNU
2009,1,Nebraska,Nutrition,Access to Healthy Foods,School/After School,Farm to School Program Task Force,LEG,001AHF
2011,1,Ohio,Nutrition,Food Assistance Programs,Community,Drug Testing Requirement for Adults on Assistance,LEG,003FAP
2007,1,Oklahoma,Physical Activity,Physical Education Requirements,School/After School,Fit Kids Physical Education Task Force,LEG,036PER
2010,1,Nebraska,Nutrition,Agriculture and Farming,Restaurant/Retail,Agricultural Opportunities,LEG,017AGF
2011,1,Hawaii,Obesity,Sugar Sweetened Beverages,Restaurant/Retail,Health,LEG,046SSB
2014,1,Hawaii,Nutrition,Farm Direct Foods,Community,Increased Food Security and Food Self-Sufficiency Strategy,LEG,015FDF
2009,1,District of Columbia,Physical Activity,Public Safety,Community,Neighborhood Economic Development Corporation,LEG,039SAF
2011,1,Massachusetts,Nutrition,Trans Fats,Restaurant/Retail,Foods Containing Artificial Trans Fats,LEG,050FAT
2011,1,Massachusetts,Nutrition,Access to Healthy Foods,Community,Farmers' Markets,LEG,001AHF
2011,1,New York,Nutrition,Disparities/Equity,Community,Home Delivered Meal Assistance Program,LEG,013DEQ
2011,1,Florida,Obesity,Appropriations,School/After School,State Revenue Enhancement Act of 2011,LEG,002APP
2003,1,Alabama,Physical Activity,Task Forces/Councils,Community,An Act to Make Appropriation,LEG,047TFC
2009,1,Rhode Island,Obesity,Disparities/Equity,Medical and/or Hospital,Office of Health Equity,LEG,013DEQ
2010,1,Connecticut,Nutrition,Vending,Community,Vending Machine Sales,LEG,051VEN
2013,1,South Carolina,Nutrition,Farm Direct Foods,School/After School,Relating to the Duties of the Department of Agriculture,LEG,015FDF
2010,1,Minnesota,Physical Activity,Public Transportation,Community,Capital Improvements,LEG,040TRS
2011,1,Arkansas,Nutrition,School Nutrition,School/After School,Appropriation to the Department of Human Services,LEG,043SNU
2010,1,Florida,Nutrition,Task Forces/Councils,School/After School,School Wellness and Physical Education Policies,LEG,047TFC
2004,1,New Mexico,Nutrition,School Nutrition,Community,Comprehensive Strategic Plan for Health,LEG,043SNU
2010,1,Louisiana,Obesity,Appropriations,Community,Capital Outlay,LEG,002APP
2013,2,Texas,Physical Activity,Task Forces/Councils,School/After School,An act relating to the establishment of community partnerships and the development of policy recommendations for increasing physical activity and improving fitness among public school students,LEG,047TFC
2009,1,Alabama,Nutrition,Agriculture and Farming,Community,Government Appropriations,LEG,017AGF
2010,1,Colorado,Nutrition,Food Policy Councils,School/After School,Campaign to End Childhood Hunger By 2015,LEG,022FPC
2011,1,Georgia,Nutrition,School Nutrition,School/After School,Georgia Grown Farm Products,LEG,043SNU
2009,1,Indiana,Nutrition,Incentives,Community,Sales Tax On Spring Water,LEG,029INC
2010,1,Maine,Nutrition,Appropriations,Restaurant/Retail,Schedule of Minimum Prices,REG,002APP
2011,1,Minnesota,Nutrition,Agriculture and Farming,School/After School,Higher Education,LEG,017AGF
2011,1,Nebraska,Obesity,Appropriations,School/After School,Children's Health Advisory Committee,LEG,002APP
2010,1,District of Columbia,Physical Activity,Bicycling,Restaurant/Retail,Budget Support Congressional Review,LEG,005BIK
2011,1,Hawaii,Nutrition,Liability and Indemnity,School/After School,Public Safety,LEG,030LAI
2011,1,Virginia,Nutrition,Nutrition Standards,Community,Agency Meals Food Standards,LEG,010NUS
2010,1,Georgia,Nutrition,Fruits and Vegetables,School/After School,Supplemental Appropriations,LEG,025FAV
2011,1,Illinois,Physical Activity,Appropriations,Community,Appropriations and Reappropriations for Capital Project,LEG,002APP
2009,1,Massachusetts,Obesity,Appropriations,Community,Transportation System Modernization,LEG,002APP
2009,1,Mississippi,Nutrition,Appropriations,Community,Appropriation,LEG,002APP
2007,1,New Hampshire,Nutrition,Food Assistance Programs,Community,Obesity Insurance Coverage,LEG,003FAP
2011,1,Arkansas,Nutrition,Agriculture and Farming,School/After School,Appropriation to the Department of Human Services,LEG,017AGF
2011,1,West Virginia,Obesity,Appropriations,Community,Food Tax Increasing the Tax on Nonintoxicating Beer,LEG,002APP
