Indicator Name,Age Group,County,Provider,Eligible Population,Number With QI Flag,Rate High?
2AP,18+,Manhattan,County,23913,2526,
3AP,18+,Cattaraugus,County,400,3,
3AP,18+,Albany,CENTRAL NEW YORK HEALTH HOME NETWOR,36,0,
3AP,18+,Westchester,MENTAL HEALTH ASSOCIATION OF WESTCHESTER COUN,325,1,
2AP,18+,Chemung,County,602,68,
2AP,0-17,Bronx,NYC-HHC JACOBI MEDICAL CENTER,60,3,NO
2AP,0-17,Nassau,County,527,21,
2AP,18+,Westchester,SAYVILLE PROJECT - SUNY STONYBROOK,31,4,
2AP,18+,Sullivan,County,181,45,
3AP,18+,Westchester,"HUMAN DEVELOPMENT SVCS. OF WESTCHESTER, INC.",105,1,NO
2AP,18+,Wayne,County,179,28,NO
2AP,18+,Manhattan,BRIDGE BACK TO LIFE CENTER INC,86,4,NO
2AP,0-17,Queens,County,702,33,
2AP,0-17,Tioga,County,15,0,
3AP,0-17,Erie,"CAPITAL BEHAVIORAL HEALTH NETWORK, LLC BHCC",53,0,
3AP,18+,Westchester,SAYVILLE PROJECT - SUNY STONYBROOK,70,1,
2AP,18+,Albany,BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,75,9,
2AP,18+,Suffolk,SAYVILLE PROJECT - SUNY STONYBROOK,76,11,
3AP,18+,Brooklyn,"PESACH TIKVAH-HOPE DEVELOPMENT, INC.",61,0,NO
3AP,18+,Rensselaer,RENSSELAER COUNTY DEPT OF MENTAL HEALTH,139,2,NO
2AP,18+,Columbia,County,223,26,
3AP,0-17,Jefferson,THE CHILDREN'S HOME OF JEFFERSON COUNTY,28,0,NO
2AP,18+,Staten Island,ST. JOSEPH'S MEDICAL CENTER,43,16,YES
3AP,18+,Orange,MIDDLETOWN COMM HEALTH CENTER,27,0,NO
2AP,18+,Monroe,"DELPHI DRUG AND ALCOHOL COUNCIL, INC.",54,0,
2AP,18+,Montgomery,County,487,39,
3AP,18+,Suffolk,SAYVILLE PROJECT SUNY SB SCM,76,0,NO
2AP,18+,Otsego,County,796,63,
3AP,18+,Orange,CATHOLIC CHARITIES COMMUNITY,50,0,NO
2AP,18+,Manhattan,HOUSING WORKS INC AI,227,18,NO
2AP,18+,Schenectady,County,1490,102,
2AP,18+,Staten Island,County,1561,265,
2AP,18+,Essex,County,135,16,
2AP,18+,Ontario,CATHOLIC CHARITIES COMMUNITY SERVICES,70,4,
2AP,0-17,Orange,ORANGE REGIONAL MEDICAL CENTER,69,3,
3AP,18+,Manhattan,"WEST MIDTOWN MANAGEMENT GROUP, INC.",143,0,
2AP,18+,Bronx,"COMMUNITY HEALTHCARE NETWORK, INC.",85,9,
2AP,18+,Westchester,UNIVERSITY BEHAVIORAL ASSOCIATES IN,32,2,
2AP,0-17,Lewis,County,40,1,
3AP,0-17,Monroe,County,1250,3,
