Production Year,Operator,County,Town,Producing Formation,Active Gas Wells,Inactive Gas Wells,Purchaser Codes
1983,Shawnee Operating Co.,Erie,BRANT,MEDINA,20,0,
1986,NY Conference Association of Seventh-Day Adventist,Cayuga,SPRINGPORT,QUEENSTON,2,0,
1981,Bennett Petroleum Corp.,Livingston,LEICESTER,MEDINA,7,6,GK
1987,"Edwards, Nathan B Jr",Steuben,WEST UNION,FULMER VALLEY,0,0,OB
1977,"Hopkins, Angela",Chautauqua,SHERIDAN,MEDINA,1,0,GK
1988,"Universal Resources Holdings, Incorporated",Chautauqua,VILLENOVA,MEDINA,6,0,GK
1987,"Sharon Resources, Inc.",Wyoming,JAVA,MEDINA,2,0,GH
1987,Berea Oil & Gas Corp.,Chautauqua,WESTFIELD,MEDINA,1,0,GH
1979,Columbia Gas Transmission Corp.,Livingston,LEICESTER,MEDINA,0,1,
1986,Visco-Mcdonald,Cattaraugus,DAYTON,MEDINA,0,1,
1980,Sunrise Energy Co. Associates,Steuben,HORNBY,,0,1,
1986,Seis-Ex Geophysical Ltd,Chautauqua,HARMONY,MEDINA,20,0,GK
1998,"Dawydko, Ron",Erie,CLARENCE,MEDINA,2,0,
1980,Akron Central School District,Erie,NEWSTEAD,MEDINA,2,0,
1997,"Energy Control Unlimited, Inc.",Wyoming,ARCADE,MEDINA,0,18,
1989,"Ebenezer Oil Co., Inc.",Allegany,WELLSVILLE,PENNY & FULMER VALLEY,0,0,
1997,"McGinnis, Tom",Allegany,WILLING,RICHBURG,0,0,
1987,"Cordova Resources, Inc.",Cattaraugus,ALLEGANY,BRADFORD,0,0,OA
1994,"Vanscoy, James S & Regina M.",Cattaraugus,CARROLLTON,CHIPMUNK,0,0,OC
1991,"Brown, Maude S.",Allegany,WIRT,RICHBURG,0,2,
1981,Anderson Oil Co.,Steuben,BATH,ONONDAGA,2,0,GH
1995,"Gorton, Leonette",Allegany,ALMA,RICHBURG,0,0,OC
1989,"Envirogas, Inc.",Chautauqua,MINA,MEDINA,1,0,GK
1987,"Solomons Resources, LLC",Cattaraugus,OLEAN,BRADFORD,0,0,OC
1996,"Sampson Creek Acres, Inc.",Seneca,SENECA FALLS,QUEENSTON,1,0,
1997,Seneca Resources Corporation,Cattaraugus,OTTO,MEDINA,1,0,GK
1994,"Zielinski, Jason H.",Chautauqua,ARKWRIGHT,MEDINA,0,1,
1983,Reliagas Co.,Chautauqua,SHERIDAN,MEDINA,1,0,
