Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
"Department for Environment, Food and Rural Affairs",Ministerial Department,"Department for Environment, Food and Rural Affairs",170,161.97,325,310.7,982,949.91,556,532.93,94,91.23,0,0,2127,2046.74,19,19,9,9,55,55,3,3,86,86,2213,2132.74,"£6,883,796","£1,569","£40,835","£55,196","£1,311,251","£575,296","£8,867,943","£679,508","£20,221","£699,729","£9,567,672",
Animal Health and Veterinary Laboratories Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",837,764.73,541,507.53,748,700.41,179,173.42,9,9,0,0,2314,2155.09,53,52.4,2,2,29,29,0,0,84,83.4,2398,2238.49,"£5,319,761","£108,685",£0,"£264,577","£1,048,194","£440,043","£7,181,260","£193,680",£0,"£193,680","£7,374,940",
"Centre for Environment, Fisheries and Aquaculture Science",Executive Agency,"Department for Environment, Food and Rural Affairs",85,79.04,131,125.13,243,228.14,95,91.1,3,3,0,0,557,526.41,0,0,0,0,0,0,0,0,0,0,557,526.41,"£1,298,297","£25,097","£1,687","£26,566","£102,614","£249,024","£1,703,285",£0,£0,£0,"£1,703,285",
Food and Environment Research Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",151,138.29,137,126.36,212,195.51,75,72.02,4,4,18,18,597,554.18,10,10,2,2,5,5,1,1,18,18,615,572.18,"£1,300,282","£18,245","£26,617","£6,884","£93,567","£245,294","£1,690,888","£75,693","£5,149","£80,842","£1,771,731",
Rural Payments Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",789,699.19,645,595.45,577,552.47,166,164.32,16,16,0,0,2193,2027.43,53,53,55,55,0,0,0,0,108,108,2301,2135.43,"£4,648,224","£82,376","£29,900","£77,266","£861,925","£355,169","£6,054,860","£91,088","£567,092","£658,180","£6,713,040",
Veterinary Medicines Directorate ,Executive Agency,"Department for Environment, Food and Rural Affairs",36,34.43,30,28.52,49,48.41,41,40.7,3,3,0,0,159,155.06,8,7,0,0,2,0.04,0,0,10,7.04,169,162.1,"£463,798","£9,725","£1,586","£5,566","£95,185","£40,910","£616,770","£38,538",£0,"£38,538","£655,308",
Agricultural Wages Board for England and Wales,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Board does not employ any staff
Agricultural Wages Committee x 15,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Committees do not employ any staff
Agriculture and Horticulture Development Board,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,0,0,0,0,0,0,0,0,392,380.84,392,380.84,14,14,0,0,12,12,0,0,26,26,414,403.98,"£1,104,407","£41,661",£0,"£4,000","£95,482","£121,687","£1,367,238","£62,113",£0,"£62,113","£1,429,351",AHDB is funded through a levy paid by farmers and others in the agricultural supply chain.  No funding towards staffing or other running costs is received from the Government. 
Consumer Council for Water,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",9,8.42,30,28.98,19,17.92,8,8,4,4,0,0,70,67.32,1,0,1,0,0,0,0,0,2,0,71,66.32,"£169,594",£417,£0,£0,"£30,867","£13,664","£214,542","£10,201",£0,"£10,201","£224,743",
