Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
"Department for Environment, Food and Rural Affairs",Ministerial Department,"Department for Environment, Food and Rural Affairs",171,165.51,332,317.44,952,920.87,531,508.47,95,91.78,0,0,2081,2004.07,13,13,10,10,65,65,2,2,90,90,2171,2094.07,"£8,034,390",£0,£534,"£32,717","£1,338,878","£703,853","£10,110,372","£682,825","£17,939","£700,764","£10,811,136",
Animal Health and Veterinary Laboratories Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",813,741.11,480,451.43,693,649.65,176,170.33,9,9,0,0,2171,2021.52,46,45.6,2,2,29,28.4,0,0,77,76,2248,2097.52,"£4,954,897","£72,600",£0,"£78,919","£968,537","£388,784","£6,463,736","£270,341",£0,"£270,341","£6,734,077",
"Centre for Environment, Fisheries and Aquaculture Science",Executive Agency,"Department for Environment, Food and Rural Affairs",92,85.57,135,129.1,232,216.96,87,84.36,3,3,0,0,549,518.99,0,0,0,0,0,0,0,0,0,0,549,518.99,"£1,373,653","£38,201",£0,"£26,916","£260,104","£113,501","£1,812,375",£0,£0,£0,"£1,812,375",
Food and Environment Research Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",200,183.62,253,228.07,310,286.76,85,82.09,4,4,11,11,863,795.54,14,14,3,3,4,4,2,2,23,23,886,818.54,"£1,864,700","£34,429","£25,100","£15,490","£137,684","£350,608","£2,428,009","£8,058","£18,805","£26,863","£2,454,872",
Rural Payments Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",825,725.97,634,584.22,486,466.51,151,149.98,15,15,0,0,2111,1941.68,26,26,45,45,10,10,0,0,81,81,2192,2022.68,"£4,192,336","£56,780","£35,699","£1,029","£790,464","£320,120","£5,396,428","£761,738",£0,"£761,738","£6,158,166",RPA introduced a new HR system in July and are currently reconciling the information. We are not currently in a position to provide the headcount and FTE figures for August.
Veterinary Medicines Directorate ,Executive Agency,"Department for Environment, Food and Rural Affairs",36,34.46,31,29.52,47,46.41,40,39.52,3,3,0,0,157,152.91,9,8.2,0,0,2,0.4,0,0,11,8.6,168,161.51,"£450,973","£6,630","£11,000","£2,554","£92,105","£40,107","£603,369","£42,777",£0,"£42,777","£646,146",
Agricultural Wages Board for England and Wales,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Board does not employ any staff
Agricultural Wages Committee x 15,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Committees do not employ any staff
Agriculture and Horticulture Development Board,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,0,0,0,0,0,0,0,0,377,365.98,377,365.98,16,16,0,0,13,13,0,0,29,29,406,394.98,"£1,070,160","£34,908","£50,095",£984,"£94,533","£123,087","£1,373,767","£38,951",£0,"£38,951","£1,412,719",AHDB is funded through a levy paid by farmers and others in the agricultural supply chain.  No funding towards staffing or other running costs is received from the Government. 
Consumer Council for Water,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",10,9.42,30,28.98,21,20.09,9,9,4,4,0,0,74,71.49,0,0,0,0,0,0,0,0,0,0,74,71.49,"£182,864",£417,£0,£0,"£31,828","£14,545","£229,654",£958,£0,£958,"£230,612",
