Indicator Name,Age Group,County,Provider,Eligible Population,Number With QI Flag,Rate High?
2AP,18+,Ulster,THE INSTITUTE FOR FAMILY HEALTH,664,78,
2AP,18+,Brooklyn,ARMS ACRES,51,6,NO
2AP,18+,Westchester,ST JOHNS RIVERSIDE HOSPITAL,349,28,NO
2AP,18+,Bronx,County,13751,1447,
2AP,0-17,Saratoga,County,271,6,
2AP,18+,Brooklyn,BROOKDALE FAMILY CARE CTR INC,61,5,
2AP,18+,Staten Island,County,399,114,
2AP,0-17,Putnam,County,27,0,
3AP,18+,Columbia,County,222,2,
2AP,18+,Monroe,County,3046,214,
3AP,18+,Brooklyn,NYC-HHC AGENCY NETWORK,432,1,
2AP,18+,Erie,County,2230,253,NO
3AP,18+,Bronx,UCP ASSO OF NYS STATEN IS,74,0,NO
3AP,18+,Bronx,County,14457,51,
3AP,18+,Manhattan,MOUNT SINAI D&T CENTER,77,0,NO
2AP,18+,Tioga,County,57,16,
2AP,18+,Manhattan,GODDARD RIVERSIDE COMMUNITY CENTER,22,4,
2AP,18+,Herkimer,County,276,25,
3AP,18+,Manhattan,HARLEM UNITED COM AIDS CTR AI,31,0,
2AP,0-17,Ontario,County,121,5,
2AP,0-17,Saint Lawrence,County,153,2,
3AP,18+,Brooklyn,SO BROOKLYN MED ADMIN SVCS,45,2,NO
2AP,18+,Westchester,County,9902,1229,
3AP,18+,Clinton,CHAMPLAIN VALLEY PHYSICIANS HOSP MED CENTER,280,3,
2AP,18+,Manhattan,"BAILEY HOUSE, INC.",133,8,NO
3AP,18+,Bronx,"COMUNILIFE, INC.",23,0,
2AP,0-17,Erie,OMH STATE PC NETWORK,39,1,
2AP,18+,Albany,AIDS COUNCIL OF NENY AI,39,0,
3AP,0-17,Chautauqua,CHAUTAUQUA COUNTY MENTAL HYGIENE SERVICES,84,0,
2AP,18+,Brooklyn,NEW YORK UNIVERSITY HOSPITALS CENTER,937,92,
2AP,18+,Putnam,"PUTNAM FAM & COMM SVCS, INC. DBA COVECARE CTR",113,9,
3AP,18+,Ulster,MENTAL HEALTH ASSOCIATION IN ULSTER COUNTY,29,0,
2AP,0-17,Queens,NYC-HHC AGENCY NETWORK,94,6,NO
