artist,title,album
forever plaid,heart and soul,forever plaid soundtrack
maroon 5,through with you,songs about jane
shawn colvin,84000 different delusions,a few small repairs
jimmy eat world,the middle,bleed american
cake,frank sinatra,fashion nugget
natalie merchant,put the law on you,motherland
color me badd,all 4 love,cmb
spin doctors,two princes,pocket full of kryptonite
man&aacute;,estoy agotado,falta amor
barenaked ladies,call and answer,stunt
cutting crew,(i just) died in your arms,broadcast
john mellencamp,baltimore oriole,trouble no more
the simpsons,end credits (afro-cuban version),songs in the key of springfield
newsies,seize the day,newsies soundtrack
n sync,tearin' up my heart,n sync
glenn frey,you belong to the city,miami vice soundtrack
natalie merchant,the worst thing,motherland
shania twain,love gets me every time,come on over
man&aacute;,vivir sin aire,donde jugaran los ni&ntilde;os?
cranberries,zombie,no need to argue
alison krauss,i'll fly away,o brother where art thou? soundtrack
they might be giants,we're the replacements,don't let's start
weezer,slob,maladroit
weezer,dreamin',weezer (2008)
vivaldi,autumn - 2nd movement,
beatles,help!,help!
norah jones,one flight down,come away with me
cake,alpha beta parking lot,prolonging the magic
smashing pumpkins,to forgive,mellon collie and the infinite sadness - dawn to dusk
savage garden,i want you,savage garden
phil collins,one more night,no jacket required
they might be giants,put your hand inside the puppet head,they might be giants
garth brooks,friends in low places,no fences
creed,my sacrifice,weathered
syesha mercado,got to get you into my life,
rolling stones,start me up,tattoo you
extreme,more than words,extreme ii: pornograffiti
elton john,something about the way you look tonight,the big picture
live,waitress (clean),throwing copper
moby,south side,play
u2,crumbs from your table,how to dismantle an atomic bomb
louis prima,sing sing sing (with a swing),
jimmy eat world,last christmas,the o.c. mix 3: have a very merry chrismukkah
annie lennox,walking on broken glass,diva
kristy lee cook,forever,
david barrus,my funny valentine,on stage 2: more broadway favorites
boyz ii men,end of the road,boomerang soundtrack
red hot chili peppers,warm tape,by the way
they might be giants,museum of idiots,the spine
man&aacute;,se me olvid&oacute; otra vez (vivo),mtv unplugged (man&aacute;)
they might be giants,xtc vs. adam ant,factory showroom
eric carmen,make me lose control,the best of eric carmen
lisa loeb,falling in love,firecracker
they might be giants,wicked little critta,mink car
weird al yankovic,theme from rocky xiii,in 3-d
binomio de oro,olv&iacute;dala,
pet shop boys,west end girls,please
smashing pumpkins,lily (my one and only),mellon collie and the infinite sadness - twilight to starlight
barenaked ladies,wind it up,are me
dashboard confessional,as lovers go,a mark a mission a brand a scar
aerosmith,amazing,get a grip
brian setzer orchestra,the house is rockin',guitar slinger
modest mouse,ocean breathes salty,good news for people who love bad news
hootie and the blowfish,earth stopped cold at dawn,fairweather johnson
beach boys,salt lake city,summer days (and summer nights!!)
shakira,suerte,laundry service
squirrel nut zippers,low down man,perennial favorites
athenaeum,what i didn't know,radiance
weird al yankovic,virus alert,straight outta lynwood
weird al yankovic,taco grande,off the deep end
michael kamen,an american symphony (mr. holland's opus),mr. holland's opus soundtrack
ram jam,black betty,ram jam
collective soul,where the river flows,collective soul
brooke white,you've got a friend,
robbie williams,angels,the ego has landed
a-teens,mamma mia,the abba generation
five for fighting,superman (it's not easy),america town
cake,the distance,fashion nugget
archies,sugar sugar,greatest hits (archies)
counting crows,children in bloom,recovering the satellites
rod stewart,reason to believe,unplugged...and seated
barenaked ladies,tonight is the night i fell asleep at the wheel,maroon
alison krauss &amp; union station,the lucky one,new favorite
barenaked ladies,falling for the first time,maroon
green day,on the wagon,shenanigans
norah jones,i've got to see you again,come away with me
squirrel nut zippers,soon,perennial favorites
oasis,morning glory,(what's the story) morning glory?
when in rome,the promise,when in rome
les mis&eacute;rables,do you hear the people sing?,les mis&eacute;rables soundtrack
diablitos,que no me faltes tu,
david cook,eleanor rigby,
mr. mister,broken wings,welcome to the real world
pretenders,i'll stand by you,last of the independents
olga ta&ntilde;&oacute;n,como olvidar (merengue),yo por ti
natalie merchant,where i go,tigerlily
killers,somebody told me,hot fuss
they might be giants,why must i be sad?,john henry
duran duran,hungry like the wolf,rio
aquabats,giant robot-birdhead,the floating eye of death
weezer,everybody get dangerous,weezer (2008)
diablitos,los caminos de la vida,
they might be giants,she's an angel,severe tire damage
michael mclean,which part is mine?,one heart in the right place
shakira,no,fijaci&oacute;n oral vol. 1
john mayer,why georgia,room for squares
they might be giants,they'll need a crane,lincoln
live,shit towne,throwing copper
offspring,want you bad,conspiracy of one
weezer,no one else,weezer (1994)
abba,mamma mia,abba
sheryl crow,light in your eyes,the very best of sheryl crow
shawn colvin,tennessee,fat city
they might be giants,turn around,apollo 18
blink 182,i miss you,blink 182
tracy chapman,the rape of the world,new beginning
barenaked ladies,the old apartment,rock spectacle
u2,one,achtung baby
michael mclean,if only you believe in yourself,a new kind of love song
weird al yankovic,stuck in a closet with vanna white,even worse
lipps inc,funkytown,mouth to mouth
hootie and the blowfish,little darlin',hootie and the blowfish
cake,never there,prolonging the magic
goo goo dolls,up up up,gutterflower
they might be giants,how can i sing like a girl?,factory showroom
brooke white,let it be,
jewel,i'm sensitive,pieces of you
adam ant,goody two shoes,friend or foe
metallica,fuel (s&amp;m),s&amp;m
les mis&eacute;rables,castle on a cloud,les mis&eacute;rables soundtrack
frankie valli,can't take my eyes off you,solo
the simpsons,springfield blows,testify
collective soul,reach,hints allegations and things left unsaid
mozart,piano sonata in a - rondo alla turca,
bobby mcferrin,menuet - string quintet in e major op.11-5 g. 275,paper music
fugees,killing me softly,the score
david archuleta,we can work it out,
ricardo montaner,b&eacute;same,sue&ntilde;o repetido
chumbawamba,tubthumping,tubthumper
madonna,rain,erotica
weird al yankovic,truck drivin' song,running with scissors
the b-52's,private idaho,wild planet
they might be giants,experimental film,the spine
billy joel,the longest time,an innocent man
they might be giants,bangs,mink car
amy grant,oh how the years go by,house of love
man&aacute;,desapariciones,mtv unplugged (man&aacute;)
chumbawamba,the good ship lifestyle,tubthumper
