CAMIS,DBA,PHONE,CUISINE DESCRIPTION,SCORE,INSPECTION TYPE,BBL,NTA
50074650,CUMIN INDIAN CUISINE,7184322481,Indian,32.0,Cycle Inspection / Re-inspection,2057940501.0,BX29
40512425,MCDONALD'S,7189226085,Hamburgers,33.0,Cycle Inspection / Initial Inspection,3046830042.0,BK96
50107941,LUIGIS PIZZA,7187020270,,,,1021110047.0,MN36
40400544,THE ARCH DINER,7185313718,American,25.0,Cycle Inspection / Initial Inspection,3077630080.0,BK58
50089974,HAAGEN DAZS,5168603386,Frozen Desserts,71.0,Pre-permit (Operational) / Initial Inspection,3084700055.0,BK45
41386625,LILLIE'S RESTAURANT,2123371970,American,3.0,Cycle Inspection / Initial Inspection,1008460012.0,MN13
41310853,MOCA ASIAN BISTRO,7182683333,Asian/Asian Fusion,23.0,Cycle Inspection / Initial Inspection,4032390038.0,QN17
50042004,A TASTE OF SEAFOOD RESTAURANT,2128660275,Seafood,23.0,Cycle Inspection / Initial Inspection,1.0,
50052060,GEORGE'S PIZZA,2125686891,Pizza,29.0,Cycle Inspection / Initial Inspection,1021760119.0,MN36
50072378,DELICIOUS MEI WEI RESTAURANT,7182412189,Chinese,12.0,Cycle Inspection / Initial Inspection,3080030009.0,BK50
41338303,"CAFE BRAVO, POMODORO PIZZA/PLANET GYRO",2124064444,American,12.0,Cycle Inspection / Initial Inspection,1000530041.0,MN25
41427673,SHERATON NEW YORK HOTEL & TOWERS,2128416507,American,12.0,Cycle Inspection / Initial Inspection,1010050001.0,MN17
41087789,ISOHAMA,2128280099,Japanese,12.0,Cycle Inspection / Initial Inspection,1015220035.0,MN40
40575863,FAMOUS JOE'S PIZZA,2123661182,Pizza,12.0,Cycle Inspection / Initial Inspection,1005890045.0,MN23
50008942,VIVI BUBBLE TEA,7184390288,Coffee/Tea,19.0,Cycle Inspection / Initial Inspection,3008660049.0,BK34
41617855,FENWICKS,7185434343,American,27.0,Cycle Inspection / Re-inspection,2057702003.0,BX29
40591422,THE PARLOUR,2125808923,Irish,26.0,Cycle Inspection / Initial Inspection,1012330011.0,MN12
50068448,KUNG FU LITTLE STEAMED BUNS RAMEN,2128048556,Chinese,22.0,Cycle Inspection / Initial Inspection,1013090146.0,MN19
41689524,PARKSANBAL BABS,7188408467,Korean,21.0,Cycle Inspection / Initial Inspection,4053340017.0,QN51
41055817,BLAKE BAKERY & TAKE OUT FOOD,7186935133,Caribbean,12.0,Cycle Inspection / Re-inspection,3049300071.0,BK95
41394680,LA BAGUETTE SHOP,7184682525,Bakery Products/Desserts,12.0,Cycle Inspection / Initial Inspection,4104470001.0,QN07
41168966,STARBUCKS,2124866764,Coffee/Tea,4.0,Cycle Inspection / Initial Inspection,1014157501.0,MN31
50002632,O'NEILL'S,7184570100,American,15.0,Cycle Inspection / Initial Inspection,4023740101.0,QN30
40864145,TIMES DELI & CAFE,2129441234,Sandwiches,27.0,Cycle Inspection / Initial Inspection,1009960156.0,MN17
50017341,GREGORY'S COFFEE,6466570803,Coffee/Tea,15.0,Cycle Inspection / Initial Inspection,1005800039.0,MN24
50075625,NIFOROS COFFEE SHOP,7187867759,American,24.0,Cycle Inspection / Initial Inspection,4004450014.0,QN31
40724205,MCDONALD'S,7184109150,Hamburgers,7.0,Cycle Inspection / Initial Inspection,2028430069.0,BX63
50002562,EXQUISITO RESTAURANT,7187843505,Spanish,9.0,Cycle Inspection / Re-inspection,4003480019.0,QN68
41564527,THE ORIGINAL CULPEPPERS RESTAURANT,7189404122,Caribbean,53.0,Cycle Inspection / Re-inspection,3050300040.0,BK60
50052610,SANTO DOMINGO RESTAURANT,6466453636,Latin American,5.0,Cycle Inspection / Reopening Inspection,3044530002.0,BK82
40394566,MEMBERS DINING ROOM @ THE MET MUSEUM,2125703974,American,9.0,Cycle Inspection / Re-inspection,1011110001.0,MN99
41269825,EL QUINTO PINO,2122066900,Latin American,12.0,Cycle Inspection / Re-inspection,1007220037.0,MN13
50008241,HEALTHY BITE,7325479465,American,12.0,Cycle Inspection / Initial Inspection,1.0,
40396421,CAFFE ROMA,2122268413,Bakery Products/Desserts,11.0,Cycle Inspection / Initial Inspection,1004710036.0,MN24
41608360,MOMOFUKU MILK BAR UWS,2122560586,Coffee/Tea,9.0,Cycle Inspection / Initial Inspection,1012010001.0,MN12
50001713,"BRASSIERIE 1605, BROADWAY 49 BAR & LOUNGE (MAIN KITCHEN), GRIND & CO",2123156000,American,13.0,Cycle Inspection / Re-inspection,1010200046.0,MN17
41570413,DAWAT,2123557555,Indian,10.0,Cycle Inspection / Initial Inspection,1013310039.0,MN19
50053175,CASA APICII,9175730571,Italian,57.0,Cycle Inspection / Initial Inspection,1005720011.0,MN23
50078069,SUSHI SUSHI,2128667876,Asian/Asian Fusion,17.0,Pre-permit (Operational) / Re-inspection,1019880031.0,MN06
41713178,DARO'S PIZZA AND CHICKEN,7184244466,Chicken,9.0,Cycle Inspection / Initial Inspection,4013000026.0,QN63
41419101,CHELTON'S BAR AND GRILL (DOUBLETREE BY HILTON),6466169638,American,16.0,Cycle Inspection / Initial Inspection,1008040054.0,MN17
50037168,MISTER PIZZA,6463712210,Pizza,9.0,Cycle Inspection / Re-inspection,2023470033.0,BX63
41060193,DUDLEYS,2129257355,Australian,25.0,Cycle Inspection / Initial Inspection,1004130043.0,MN27
41204508,CAFE CLUNY,2122556900,French,6.0,Cycle Inspection / Initial Inspection,1006240048.0,MN23
50075742,PINKBERRY,2128610574,Frozen Desserts,25.0,Pre-permit (Operational) / Initial Inspection,1015270028.0,MN32
50070032,CROWN HEIGHTS MOZZARELLA,3477751725,Jewish/Kosher,13.0,Pre-permit (Operational) / Initial Inspection,3013830002.0,BK61
41353386,BAR VELOCE,2122539500,Tapas,30.0,Cycle Inspection / Initial Inspection,1005260084.0,MN23
41087273,"Caf̩ Medi, Jia Lounge",2124752600,American,40.0,Cycle Inspection / Initial Inspection,1004100048.0,MN27
41610426,GLOW THAI RESTAURANT,7187481920,Thai,9.0,Cycle Inspection / Re-inspection,3058910007.0,BK31
40966966,MOONSTRUCK,2128672545,American,29.0,Cycle Inspection / Initial Inspection,1008670057.0,MN20
50064806,PURE GREEN,9174438917,"Juice, Smoothies, Fruit Salads",13.0,Cycle Inspection / Initial Inspection,1012810021.0,MN17
40559546,PASHA TURKISH RESTAURANT,2125798751,Turkish,13.0,Cycle Inspection / Re-inspection,1011230061.0,MN14
