Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
"Department for Environment, Food and Rural Affairs",Ministerial Department,"Department for Environment, Food and Rural Affairs",169,163.81,333,319.66,940,909.79,533,510.63,95,91.78,0,0,2068,1992.06,12,12,16,16,66,66,2,2,96,96,2164,2088.06,"£7,436,473",£0,£534,"£35,474","£1,444,364","£634,500","£9,551,345","£839,483","£15,040","£854,523","£10,405,868",
Animal Health and Veterinary Laboratories Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",807,735.22,484,454.48,695,651.49,176,170.6,9,9,0,0,2171,2020.79,52,51.6,3,3,35,34.4,0,0,90,89,2261,2109.79,"£4,948,504","£61,534",£0,"£61,951","£965,591","£384,171","£6,421,751","£297,217",£0,"£297,217","£6,718,968",
"Centre for Environment, Fisheries and Aquaculture Science",Executive Agency,"Department for Environment, Food and Rural Affairs",92,85.57,136,129.34,236,220.96,88,84.95,3,3,0,0,555,523.82,0,0,0,0,0,0,0,0,0,0,555,523.82,"£1,297,398","£51,141",£0,"£27,245","£245,316","£113,797","£1,734,897",£0,£0,£0,"£1,734,897",
Food and Environment Research Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",199,182.52,253,226.47,327,302.35,87,84.09,4,4,11,11,881,810.43,14,14,3,3,4,4,2,2,23,23,904,833.43,"£1,849,217","£36,975","£4,250","£17,085","£130,562","£345,974","£2,384,063","-£7,911","£16,566","£8,655","£2,392,718",
Rural Payments Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",825,725.97,634,584.22,486,466.51,151,149.98,15,15,0,0,2111,1941.68,26,26,45,45,10,10,0,0,81,81,2192,2022.68,"£4,695,355",£0,"£79,370","£3,558","£786,571","£322,939","£5,887,793","£977,858",£0,"£977,858","£6,865,651",RPA introduced a new HR system in July and are currently reconciling the information. We are not currently in a position to provide the headcount and FTE figures for July.
Veterinary Medicines Directorate ,Executive Agency,"Department for Environment, Food and Rural Affairs",35,34.18,31,29.52,46,45.41,40,39.52,3,3,0,0,155,151.63,12,11.2,0,0,2,0.4,0,0,14,11.6,169,163.23,"£446,310","£6,857",£0,£738,"£91,856","£38,449","£584,210","£50,023",£0,"£50,023","£634,233",
Agricultural Wages Board for England and Wales,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Board does not employ any staff
Agricultural Wages Committee x 15,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Committees do not employ any staff
Agriculture and Horticulture Development Board,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,0,0,0,0,0,0,0,0,377,366,377,366,20,20,0,0,19,19,0,0,39,39,416,405,"£1,066,249","£37,422",£0,"£1,089","£93,565","£115,747","£1,314,073","£61,527",£0,"£61,527","£1,375,600",AHDB is funded through a levy paid by farmers and others in the agricultural supply chain.  No funding towards staffing or other running costs is received from the Government. 
Consumer Council for Water,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",11,10.42,31,29.98,21,20.09,9,9,4,4,0,0,76,73.49,0,0,0,0,0,0,0,0,0,0,76,73.49,"£184,583",£417,£0,£0,"£33,738","£14,589","£233,327",£0,£0,£0,"£233,327",
