CAMIS,DBA,PHONE,CUISINE DESCRIPTION,SCORE,INSPECTION TYPE,BBL,NTA
41669157,EMPIRE HOUSE CHINESE RESTAURANT,7182343040,Chinese,13.0,Cycle Inspection / Initial Inspection,3066430052.0,BK29
50016457,ACADEMY CAFE,9173853856,American,11.0,Cycle Inspection / Initial Inspection,4043270001.0,QN23
41260669,MATTEO'S OF HOWARD BEACH,7183222606,Italian,21.0,Cycle Inspection / Initial Inspection,4114720038.0,QN57
50065488,LOS TACOS NO.1,9175133636,Tex-Mex,21.0,Cycle Inspection / Initial Inspection,1010157501.0,MN17
50088420,EL VALLE DEL MOFONGO,3475902821,Spanish,41.0,Cycle Inspection / Initial Inspection,2022820003.0,BX39
41021766,SORRENTO'S PIZZERIA,7188287810,Pizza,19.0,Cycle Inspection / Initial Inspection,2043070028.0,BX49
41653556,AWASH ETHIOPIAN RESTAURANT,7182432151,Ethiopian,18.0,Cycle Inspection / Initial Inspection,3003120032.0,BK33
50093741,CASA TOSCANA,2122479323,Sandwiches,36.0,Pre-permit (Operational) / Re-inspection,1000650020.0,MN25
41490544,BAR PITTI,2129823300,Italian,11.0,Cycle Inspection / Initial Inspection,1005260016.0,MN23
41015002,EL CASTILLO DE YAQUE RESTAURANT,7184395847,Latin American,14.0,Cycle Inspection / Re-inspection,3007560039.0,BK32
41401433,SUBWAY,3473464689,Sandwiches,5.0,Cycle Inspection / Initial Inspection,2044350010.0,BX07
50049007,LENNY'S PIZZERIA,7183632323,Pizza,46.0,Cycle Inspection / Re-inspection,3013200044.0,BK60
50012335,THE BAO,2123889238,Chinese,13.0,Cycle Inspection / Re-inspection,1004640152.0,MN22
50101153,NORIBAR,9292507934,Jewish/Kosher,32.0,Pre-permit (Operational) / Initial Inspection,3056770010.0,BK88
50084922,JUICE POINT,3472940660,"Juice, Smoothies, Fruit Salads",28.0,Cycle Inspection / Initial Inspection,3025970005.0,BK76
50070309,JOE COFFEE COMPANY,3474220304,Coffee/Tea,6.0,Cycle Inspection / Initial Inspection,3002250020.0,BK09
41396661,STAND 320 - PREMIO,9172843260,American,8.0,Cycle Inspection / Initial Inspection,2024930001.0,BX63
40385852,SAM'S PLACE,2125996360,Italian,38.0,Cycle Inspection / Initial Inspection,1008940063.0,MN20
41645644,"THE RITZ-CARLTON HOTEL, AUDEN",2123089100,American,18.0,Cycle Inspection / Initial Inspection,1012747503.0,MN17
40813634,QUEEN OF SHEBA ETHIOPIAN RESTAURANT,2123970610,Ethiopian,38.0,Cycle Inspection / Initial Inspection,1010550062.0,MN15
41061016,PEARL RESTAURANT,7189258899,Chinese,11.0,Cycle Inspection / Re-inspection,4095680048.0,QN55
41495490,UNCLE LOUIE GâS ITALIAN ICES & ICE CREAM,7183332843,Frozen Desserts,12.0,Cycle Inspection / Initial Inspection,3069090001.0,BK29
50059089,LA ROJA DE TODOS,7184243055,Chilean,12.0,Cycle Inspection / Re-inspection,4.0,QN26
50088782,BALADE YOUR WAY,2126897171,Middle Eastern,2.0,Pre-permit (Operational) / Initial Inspection,1012750066.0,MN20
41627867,DAVIDSTEA,2124148599,Coffee/Tea,33.0,Cycle Inspection / Re-inspection,1005900010.0,MN23
50018312,RETRO BLENDS SMOOTHIE BAR,9292631515,"Juice, Smoothies, Fruit Salads",13.0,Cycle Inspection / Initial Inspection,2026100001.0,BX01
41363369,LA CROSTA RESTAURANT,2124725004,Pizza,11.0,Cycle Inspection / Re-inspection,1014660029.0,MN31
50051408,CUCUMBER SUSHI & SALAD BAR,7189661118,Japanese,9.0,Cycle Inspection / Re-inspection,5067240061.0,SI01
40716092,TRIBECA PARK CAFE,2122260665,Sandwiches,15.0,Cycle Inspection / Initial Inspection,1001910018.0,MN24
41702635,KAPPOCK CAFE,7186015500,Sandwiches,11.0,Cycle Inspection / Reopening Inspection,2057230075.0,BX29
41570932,STELLA'S COFFEE SHOP,7182649820,American,13.0,Cycle Inspection / Initial Inspection,4107410058.0,QN34
50045788,CHINELOS II DELI-GROCERY RESTAURANT,2126906077,Mexican,27.0,Inter-Agency Task Force / Initial Inspection,1019880127.0,MN06
41623184,CHARLOTTE PATISSERIE,7183838313,Coffee/Tea,11.0,Cycle Inspection / Initial Inspection,3026800044.0,BK76
50004312,KFC,8776944474,Chicken,9.0,Cycle Inspection / Initial Inspection,1004690030.0,MN22
50057220,SUBWAY,7185766031,Sandwiches,14.0,Cycle Inspection / Re-inspection,2033270084.0,BX43
50044260,BURGER KING,9174719288,Hamburgers,37.0,Cycle Inspection / Initial Inspection,2.0,
41480427,YEMEN CAFE & RESTAURANT,7188349533,Middle Eastern,12.0,Cycle Inspection / Re-inspection,3002860014.0,BK33
50079399,WAGAMAMA,6466502602,Asian/Asian Fusion,10.0,Cycle Inspection / Initial Inspection,1009200012.0,MN19
40609590,MORNINGSTAR RESTAURANT,2125881050,American,12.0,Cycle Inspection / Initial Inspection,1013240124.0,MN19
41163308,LOS POLLITOS III,7186366125,Mexican,13.0,Cycle Inspection / Re-inspection,3018910077.0,BK69
41246951,P.J. CLARKE'S,2129579700,American,9.0,Cycle Inspection / Initial Inspection,1011150057.0,MN14
41706176,FORNO SICILIANO,7182670790,Italian,29.0,Cycle Inspection / Initial Inspection,4007840064.0,QN72
50014157,POLLO SABROSO RESTAURANT,7169071057,Latin American,12.0,Cycle Inspection / Re-inspection,2033040128.0,BX05
