CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,ACTION,VIOLATION CODE,INSPECTION TYPE,NTA
50016731,Malt and Mold,Manhattan,362,2 AVENUE,10010.0,6462380272,American,B,,Cycle Inspection / Initial Inspection,MN21
41418978,BAGEL EXPRESS III,Manhattan,340,3 AVENUE,10010.0,2122134700,Bagels/Pretzels,G,06D,Cycle Inspection / Initial Inspection,MN21
50037128,VEGGIES,Brooklyn,785,FRANKLIN AVENUE,11238.0,3476273247,"Juice, Smoothies, Fruit Salads",F,10B,Cycle Inspection / Re-inspection,BK61
50060534,ANTIQUE GARAGE TRIBECA,Manhattan,313,CHURCH STREET,10013.0,2122260066,Turkish,U,04K,Cycle Inspection / Initial Inspection,MN24
50058469,MADMAN ESPRESSO,Manhattan,54,UNIVERSITY PLACE,10003.0,6467081111,Coffee/Tea,F,08A,Cycle Inspection / Initial Inspection,MN23
41566597,MARINA RESTAURANT,Queens,14403,JAMAICA AVENUE,11435.0,7182976211,Spanish,D,10B,Cycle Inspection / Initial Inspection,QN61
50078307,THE KUSTORY,Manhattan,126,LEXINGTON AVENUE,10016.0,9172615814,Pakistani,F,02G,Cycle Inspection / Re-inspection,MN20
50032677,DANIELA'S CAFE,Brooklyn,3901,NEW UTRECHT AVENUE,11219.0,7184310999,Mexican,D,09C,Cycle Inspection / Re-inspection,BK34
50085108,MJ SMITH FOOD & SPIRITS,Manhattan,9,EAST   45 STREET,10017.0,6462586353,American,U,06C,Cycle Inspection / Initial Inspection,MN17
41118126,VEGGIE CASTLE,Queens,13209,LIBERTY AVENUE,11419.0,7186418342,Vegetarian,F,10B,Cycle Inspection / Initial Inspection,QN55
50060220,CAFE KABILA,Manhattan,250,WEST   39 STREET,10018.0,6463510988,American,D,06D,Cycle Inspection / Initial Inspection,MN17
41286149,REMEDY DINER,Manhattan,245,EAST HOUSTON STREET,10002.0,2126775110,American,F,04C,Cycle Inspection / Initial Inspection,MN27
41692813,GOLDEN YEARS,Brooklyn,221,NORTH    4 STREET,11211.0,7183025100,American,U,04C,Cycle Inspection / Re-inspection,BK73
50045780,FOTEH'S TANDOORI,Brooklyn,2650,CONEY ISLAND AVENUE,11223.0,7189758787,Russian,F,08A,Cycle Inspection / Re-inspection,BK25
40678235,BOURBON STREET,Queens,4012,BELL BOULEVARD,11361.0,7182242200,American,P,02G,Cycle Inspection / Initial Inspection,QN46
50067694,AGRA HEIGHTS,Brooklyn,226,WILSON AVENUE,11237.0,7184435700,Indian,U,08A,Cycle Inspection / Initial Inspection,BK78
40661017,HAIROS NIGHT CLUB,Queens,8109,ROOSEVELT AVENUE,11372.0,7185076158,Latin American,P,05D,Cycle Inspection / Initial Inspection,QN28
40380559,SUPERNOVA-NOVOTEL HOTEL,Manhattan,226,WEST 52 ND STREET,,2123150100,American,F,10B,Cycle Inspection / Re-inspection,
50072785,"DUNKIN DONUTS, BASKIN ROBBINS",Brooklyn,453,MOTHER GASTON BOULEVARD,11212.0,7184980178,Donuts,D,10F,Cycle Inspection / Initial Inspection,BK81
41236401,DUNKIN,Brooklyn,6620,AVENUE U,11234.0,7182414064,Donuts,D,09C,Cycle Inspection / Initial Inspection,BK45
50059399,ONE LUCKY STAR,Queens,20523,LINDEN BLVD,11412.0,7187237628,Chinese,F,09C,Cycle Inspection / Initial Inspection,QN34
40729264,PLAYWRIGHT TAVERN,Manhattan,27,WEST   35 STREET,10001.0,2122688868,Irish,D,04L,Cycle Inspection / Initial Inspection,MN17
41388576,MAMA'S PIZZA CAFE,Manhattan,705,8 AVENUE,10036.0,2129563400,Pizza,D,04J,Cycle Inspection / Initial Inspection,MN15
50081649,PAULIE GEE SLICE JOINT,Brooklyn,110,FRANKLIN STREET,11222.0,9293376385,Pizza,D,04N,Cycle Inspection / Re-inspection,BK76
50073361,THE ISLANDS,Brooklyn,671,WASHINGTON AVENUE,11238.0,7183983575,Caribbean,D,10H,Pre-permit (Operational) / Re-inspection,BK64
50015572,BUTTER LANE,Manhattan,123,EAST    7 STREET,10009.0,2126772880,Bakery Products/Desserts,P,08A,Cycle Inspection / Initial Inspection,MN22
50053120,DELICIAS MEXICANOS,Queens,10214,ROOSEVELT AVE,11368.0,7186724485,Mexican,P,06D,Cycle Inspection / Initial Inspection,QN26
50036890,NEW SHANGHAI TAN RESTAURANT,Queens,13520,40TH RD,11354.0,7186610900,Chinese,U,09C,Cycle Inspection / Re-inspection,QN22
41596469,AVENITA DINER,Queens,8323,PARSONS BOULEVARD,11432.0,7182978540,American,F,04M,Cycle Inspection / Re-inspection,QN35
41617898,CHICKEN BAR,Manhattan,717,8 AVENUE,10036.0,2122455111,Chicken,D,06E,Cycle Inspection / Initial Inspection,MN15
40785056,NEW ANDY'S DELI,Manhattan,873,BROADWAY,10003.0,2124771110,Sandwiches,D,02G,Cycle Inspection / Re-inspection,MN13
50086651,THY'S NOODLES,Manhattan,97,LEXINGTON AVE,10016.0,9173883677,Chinese,F,10H,Pre-permit (Operational) / Initial Inspection,MN21
50016249,ITALY PIZZA,Brooklyn,800,MANHATTAN AVENUE,11222.0,7183839079,Pizza,D,04L,Cycle Inspection / Initial Inspection,BK76
41615115,EL NUEVO CARIDAD RESTAURANT,Manhattan,1618,ST NICHOLAS AVENUE,10040.0,2127811880,Latin American,D,10B,Cycle Inspection / Initial Inspection,MN35
41553437,LA PUNTILLA BAR & RESTAURANT,Queens,9117,37 AVENUE,11372.0,7184243836,Latin American,U,10F,Cycle Inspection / Initial Inspection,QN28
50046264,STARBUCKS COFFEE,Queens,8900,SUTPHIN BLVD,11435.0,3472331463,Coffee/Tea,D,04N,Cycle Inspection / Initial Inspection,QN61
