scientific name,family name,common name
chaerophyllum tainturieri,apiaceae,southern chervil
sideroxylon lycioides,sapotaceae,buckthorn bully
juniperus communis,cupressaceae,common juniper
lyonia fruticosa,ericaceae,coastal plain staggerbush
syngonanthus flavidulus,eriocaulaceae,hatpins
verbena simplex,verbenaceae,narrow leaf vervain
opuntia spinosior,cactaceae,cane cholla
sabatia angularis,gentianaceae,rose pink
centaurea cyanus,asteraceae,bachelor's button
rosa setigera,rosaceae,prarie rose
lonicera involucrata,caprifoliaceae,twinberry
gymnocladus dioicus,fabaceae,kentucky coffeetree
euonymus fortunei,celastraceae,winter creeper
acer nigrum,aceraceae,black maple
viburnum acerifolium,caprifoliaceae,maple leaf viburnum
campsis radicans,bignoniaceae,trumpet creeper
osmorhiza longistylis,apiaceae,long style sweetroot
acer saccharinum,aceraceae,silver maple
cardamine bulbosa,brassicaceae,spring cress
spiranthes ovalis,orchidaceae,october ladies'-tresses
ampelopsis cordata,vitaceae,heartleaf ampelopsis
potentilla simplex,rosaceae,common cinquefoil
selaginella apoda,selaginellaceae,meadow spikemoss
luzula bulbosa,juncaceae,bulbous woodrush
quercus rubra,fagaceae,northern red oak
symphyotrichum pilosum,asteraceae,white heath aster
trichostema brachiatum,lamiaceae,fluxweed
euonymus americanus,celastraceae,strawberry bush
valeriana pauciflora,valerianaceae,largeflower valerian
xyris caroliniana,xyridaceae,carolina yellow eyed grass
magnolia fraseri,magnoliaceae,mountain magnolia
anemone canadensis,ranunculaceae,canadian anemone
quercus marilandica,fagaceae,blackjack oak
leucanthemum vulgare,asteraceae,oxeye daisy
maclura pomifera,moraceae,osage orange
typha latifolia,typhaceae,broadleaf cattail
rhus glabra,anacardiaceae,smooth sumac
heuchera villosa,saxifragaceae,maple leaf alumroot
calycanthus floridus,calycanthaceae,eastern sweetshrub
perilla frutescens,lamiaceae,beefsteak plant
oxalis oregana,oxalidaceae,redwood sorrel
helenium flexuosum,asteraceae,purplehead sneezeweed
salvia urticifolia,lamiaceae,nettleleaf sage
