UID,Client,Pro Class,Contract Title,Route to Market,Agreement Type,Contract Start Date,Contract Term (Months),Maximum Duration of Contract (Months),Contract End Date,Ext. Applied to Contract,Maximum Extend Date,Review Date,Estimated Annual Value,Estimated Total Value,Supplier Name,Supplier Type,Registered Number,Postcode,Council Directorate
193,Stockport Council,321015-Social Community Care Supplies & Services - Adult : Sheltered Accommodation : ,Extra Care,OJEU Tender,Contract,01/09/2013,36,72,31/08/2019,Yes,31/08/2019,31/01/2019,"Â£2,523,822.00","Â£15,142,932.00",Creative Support,Large,0027440IP,M1 2HF,Stockport- Services to People
284,Stockport Council,201200-Financial Services : Banking : ,Banking Services and Purchasing Card,Call Off (External),Contract,01/04/2014,60,84,31/03/2019,No,31/03/2021,31/03/2018,"Â£400,000.00","Â£2,400,000.00",Barclays Bank PLC,Large,01026167,E14 4BB,Stockport- Corporate & Support Services
346,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Minor Civil Engineering Works ,OJEU Tender,Contract,01/04/2009,60,120,31/03/2019,Yes,31/03/2019,01/08/2017,"Â£2,816,633.89","Â£28,166,338.86",George Cox Holdings (Ltd),SME,4366302,BL4 7QF,Stockport- Services to Place
352,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance","Structural Maintenance, Retaining Walls ",OJEU Tender,Contract,01/04/2009,60,120,31/03/2019,Yes,31/03/2019,01/08/2017,"Â£1,650,651.80","Â£16,506,517.97",Bethell Constructions LTD,SME,264322,M26 1GE,Stockport- Services to Place
362,Stockport Council,151612-Street & Traffic Management : Planning : ,"Signage, Access & Parking Strategy/planned highways stuctural maintenance",OJEU Tender,Contract,01/04/2009,60,120,31/03/2019,Yes,31/03/2019,01/08/2017,"Â£92,523.36","Â£1,017,757.01","DCT Civil engineering, J Cooney",SME,2057769,M2 3EY,Stockport- Services to Place
364,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Carriageway Surfacing ,OJEU Tender,Contract,01/04/2009,60,120,31/03/2019,Yes,31/03/2019,01/08/2017,"Â£1,048,598.13","Â£11,534,579.44",Tarmac Limited,Large,7533961,WV4 6JP,Stockport- Services to Place
390,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Preventative Surface Treatments ,OJEU Tender,Contract,01/04/2009,60,120,31/03/2019,Yes,31/03/2019,31/03/2018,"Â£916,666.67","Â£10,083,333.33",Colas Limited,Large,2644726,RH10 4NF,Stockport- Services to Place
392,Stockport Council,182012-Environmental Services : Waste Management : Recycling,Recycling Operations/street lighting schemes,OJEU Tender,Contract,01/04/2009,60,120,31/03/2019,Yes,31/03/2019,31/03/2018,"Â£246,728.97","Â£2,714,018.69",Acorn Lighting Services Limited,SME,3724243,HG1 3EH,Stockport- Services to Place
399,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Road Lining/anti skid coloured surfacing,OJEU Tender,Contract,01/04/2009,60,120,31/03/2019,No,31/03/2019,31/03/2018,"Â£123,364.49","Â£1,357,009.35",Galliford Try Infrastructure Limited.,Large,SC055775,LE10 1YL,Stockport- Services to Place
402,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Routine & Reactive Structures,OJEU Tender,Contract,01/04/2009,60,120,31/03/2019,Yes,31/03/2019,31/03/2018,"Â£122,222.22","Â£1,344,444.44",George Cox and Sons Limited,SME,2775128,BL4 7QF,Stockport- Services to Place
404,Stockport Council,271600-Information Communication Technology : Software : Customised & Bespoke,Stockport Partnership Local Information System project ,Tender,Contract,01/03/2012,48,96,28/02/2020,Yes,28/02/2020,01/08/2019,"Â£19,466.50","Â£155,732.00",Fluent Technology ,SME,NI 040683,BT8 7QN,Stockport- Corporate & Support Services
407,Stockport Council,231400-Highway Equipment & Materials : Street Lighting : ,Street Lighting & Street Furniture Maintenance ,OJEU Tender,Contract,01/04/2009,60,120,31/03/2019,Yes,31/03/2019,01/08/2016,"Â£427,777.78","Â£2,566,666.67",Acorn Lighting Services Limited,SME,3724243,HG1 3EH,Stockport- Services to Place
519,Stockport Council,"321010-Social Community Care Supplies & Services - Adult : Advice, Advocacy & Counselling Services : ",Advice in Fred Perry House and a Telephone Advice Service,Exemption,Contract,01/04/2016,24,36,31/03/2019,Yes,31/03/2019,01/12/2017,"Â£226,750.00","Â£226,750.00",Stockport Citizen's Advice Bureau,VCSE,1097107,sk1 3xe,Stockport- Services to People
637,Stockport Council,271000-Information Communication Technology : Call Systems : ,Electronic Call Monitoring ,OJEU Tender,Contract,19/12/2014,36,48,18/12/2018,Yes,18/12/2018,01/04/2018,"Â£150,000.00","Â£600,000.00",CM2000,SME,6494697,B74 2TZ,Stockport- Corporate & Support Services
650,Stockport Council,271501-Information Communication Technology : Services : ,Fixed Webcasting Service for Council Meetings,Tender,Contract,12/09/2013,36,72,30/09/2019,Yes,30/09/2019,01/04/2019,"Â£13,487.00","Â£80,922.00",Public-I-Group Ltd,SME,03998680,BN3 1DD,Stockport- Corporate & Support Services
726,Stockport Council,171113-Education : Library Books : ,Supply & Servicing of materials to Public Library Authorities Lot 7 Government Info,OJEU Tender,Framework Agreement,01/04/2013,74,74,31/05/2019,Yes,31/05/2019,29/08/2018,"Â£84,000.00","Â£518,000.00",Dandy Booksellers,SME,4846829,NW6 7UP,Stockport- Corporate & Support Services
862,Stockport Council,271600-Information Communication Technology : Software : Customised & Bespoke,Parking Payments by Phone ,Tender,Contract,02/07/2012,60,84,01/07/2019,Yes,01/07/2019,01/01/2019,"Â£16,000.00","Â£112,000.00",Cobalt (Ringo) Telephone Technologies,Large,3151938,RG24 8NE,Stockport- Services to Place
908,Stockport Council,151000-Consultancy : Business : ,Service Support for Business Incubator,OJEU Tender,Contract,01/09/2013,95,95,20/07/2021,Yes,20/07/2021,01/01/2020,"Â£260,302.00","Â£2,082,416.00",Oxford Innovation Ltd,SME,2177191,OX1 1BY,Stockport- Corporate & Support Services
952,Stockport Council,321313-Social Community Care Supplies & Services : Supplies : Non Fitted Equipment,Supply of Complex Aids for Daily Living ,OJEU Tender,Contract,01/10/2015,54,54,31/03/2020,No,31/03/2020,10/01/2019,"Â£600,000.00","Â£2,700,000.00",Rosscare,SME,469301,CH44 7HX,Stockport- Services to People
1162,Stockport Council,182012-Environmental Services : Waste Management : Recycling,Compostable Liners,OJEU Tender,Contract,01/04/2014,36,60,31/03/2019,Yes,31/03/2019,01/08/2018,"Â£240,000.00","Â£1,200,000.00",BioBag,SME,4151564,PR26 7PF,Stockport- Services to Place
1194,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,Occupational and Speech Therapy,OJEU Tender,Contract,01/10/2016,34,46,31/07/2019,No,31/07/2020,01/12/2018,"Â£300,000.00","Â£1,200,000.00",Together Trust ,SME,301722,SK8 1JE ,Stockport- Services to People
1203,Stockport Council,329899-Social Community Care Supplies & Services - Adult : Not Elsewhere Classified : ,Alliance for Positive Relationships,OJEU Tender,Contract,01/08/2015,36,60,31/07/2020,Yes,31/07/2020,30/01/2018,"Â£280,000.00","Â£1,400,000.00",Stockport Without Abuse Alliance,SME,3890735,SK1 3QP,Stockport- Services to People
1204,Stockport Council,329899-Social Community Care Supplies & Services - Adult : Not Elsewhere Classified : ,Targeted Prevention Alliance,OJEU Tender,Contract,01/06/2015,36,60,31/05/2020,Yes,31/05/2020,31/12/2017,"Â£1,500,000.00","Â£7,500,000.00",Stockport Homes ,Large,4521257,SK1 3NQ,Stockport- Services to People
1205,Stockport Council,"321010-Social Community Care Supplies & Services - Adult : Advice, Advocacy & Counselling Services : ",Stockport Advocacy Services ,Tender,Contract,01/04/2015,36,60,31/03/2020,Yes,31/03/2020,30/11/2017,"Â£200,000.00","Â£1,000,000.00",Stockport Advocacy Trust,SME,5274481,SK1 3DL,Stockport- Services to People
1214,Stockport Council,321800-Social Community Care Supplies & Services - Adult : Independent Supported Living : ,Mini comp supported living (103.6 -Phase 4),Mini Competition (Internal),Contract,30/07/2015,36,48,29/07/2019,Yes,29/07/2019,15/04/2018,"Â£287,542.00","Â£1,150,168.00",United Response,VCSE,265249,WN7 3XJ,Stockport- Services to People
1255,Stockport Council,321119-Social Community Care Supplies & Services - Children : Youth Services : Youth Offending Services,Restorative Services to the Youth Offending Service 2016/17,Tender,Contract,01/04/2016,36,36,31/03/2019,No,31/03/2019,31/03/2018,"Â£39,896.00","Â£119,688.00",Remedi,SME,1063359,S1 4FW,Stockport- Services to People
1263,Stockport Council,271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,OJEU Tender,Contract,06/01/2010,84,122,31/03/2020,Yes,31/03/2020,01/03/2019,"Â£75,000.00","Â£750,000.00",Midland HR&Payroll Solutions,SME,08099611,B79 9DZ,Stockport- Corporate & Support Services
1275,Stockport Council,351000-Street & Traffic Management : Parking : Car Parks,Redrock Car Park Management ,OJEU Tender,Contract,18/01/2016,48,84,17/01/2020,No,17/01/2023,01/07/2019,"Â£400,000.00","Â£2,800,000.00",National Car Parks Ltd (NCP),SME,253240,EC1N 8XE,Stockport- Services to Place
1314,Stockport Council,SOCIAL CARE SERVICES : Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 1 - Wellbeing and Indepenence at Home,OJEU Tender,Contract,01/10/2015,36,60,30/09/2019,Yes,30/09/2020,30/03/2019,"Â£300,000.00","Â£1,855,861.00",Age UK,SME,1139547,SK1 3AQ,Stockport- Services to People
1315,Stockport Council,SOCIAL CARE SERVICES : Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 2 - Independent Living and Wellbeing in the Community,OJEU Tender,Contract,01/10/2015,36,60,30/09/2019,Yes,30/09/2020,30/03/2019,"Â£300,000.00","Â£1,500,000.00",Pure Innovations,SME,5241249,SK3 0RF,Stockport- Services to People
1316,Stockport Council,SOCIAL CARE SERVICES : Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 3 - Wellbeing and Independence through Community Transport,OJEU Tender,Contract,01/10/2015,36,60,30/09/2019,Yes,30/09/2020,30/03/2019,"Â£120,000.00","Â£600,000.00",Stockport Car Scheme,SME,1091546,SK4 3LD,Stockport- Services to People
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,OJEU Tender,DPS (Dynamic Purchasing System),01/08/2015,48,48,31/07/2019,No,31/07/2019,01/01/2019,"Â£4,000,000.00","Â£16,000,000.00",Approved supplier list maintained by the Council. Contact STAR Procurement for further details,,,,Stockport- Services to Place
1324,Stockport Council,271300-Information Communication Technology : Services : Maintenance & Support,SIMS Annual Entitlement (including LA Charge and Additional Module Maintenance),Call Off (External),Contract,01/04/2015,48,84,31/03/2019,No,31/03/2022,31/10/2018,"Â£125,176.50","Â£876,235.50",Capita Business Services Ltd,Large,02299747,DL1 9HN,Stockport- Corporate & Support Services
1327,Stockport Council,191000-Facilities & Management Services : Advertising : ,Management & Promotion of Stockport Town Centre Managed Sites,Tender,Concession,12/02/2016,48,48,12/02/2020,Yes,12/02/2020,15/04/2019,"Â£40,000.00","Â£80,000.00",PinPointer Ltd ,SME,5196344,M3 5EJ,Stockport- Corporate & Support Services
1352,Stockport Council,321800-Social Community Care Supplies & Services - Adult : Independent Supported Living : ,Supported Living Services for adults with an LD (103.4 - Phase 2),Mini Competition (Internal),Contract,26/01/2015,48,48,25/01/2019,No,25/01/2019,01/09/2017,"Â£364,853.00","Â£1,459,412.00",Choice Support,VCSE,298149,SK5 6DA,Stockport- Services to People
1366,Stockport Council,191700-Facilities & Management Services : Property Management : ,Fire Risk Assessments,OJEU Tender,Framework Agreement,04/01/2016,24,48,03/01/2020,Yes,03/01/2020,01/10/2019,"Â£50,000.00","Â£100,000.00",Various - see below,Various - see below,Various - see below,Various - see below,Stockport- Services to Place
1366,Stockport Council,191700-Facilities & Management Services : Property Management : ,Fire Risk Assessments,-,-,-,-,-,-,-,-,-,-,-,Firesec North West Ltd,Small,6702659,CH65 3EY,Stockport- Services to Place
1366,Stockport Council,191700-Facilities & Management Services : Property Management : ,Fire Risk Assessments,-,-,-,-,-,-,-,-,-,-,-,The Oakleaf  Surveying Ltd,Medium,6151373,NN3 6WL,Stockport- Services to Place
