OpenedDate,OpenedYear,PracticeCode,PracticeName,BusinessCategory,BusinessName,BusinessCity,BusinessState,BusinessZip
03/08/2019,2019,26,Advertising,Travel,Agoda,New York,NY,10118-4700
05/29/2014,2014,404,Collection Practices,Retail Sales,,Doral,FL,33122    
04/30/2020,2020,22,Failure To Adjust/Refund,"Promoters of performing arts, sports & similar eve",Brown Paper Tickets,Seattle,WA,98109    
03/24/2020,2020,999,Other/Miscellaneous,Auto Sales,,Spokane Valley,WA,99212    
08/03/2018,2018,317,Charge Above Estimate,Motor Vehicle Towing,Seattle Towing,Seattle,WA,98134    
04/13/2015,2015,316,Billing Issues,Health Care,,Enumclaw,WA,98022    
02/17/2021,2021,999,Other/Miscellaneous,Retail Sales,Aqua Quip - Tacoma,Lakewood,WA,98499    
09/27/2019,2019,203,Internet & Mobile device based transaction,Unclassified Establishments,Ziply Fiber fka Frontier Communications,Everett,WA,98201    
03/05/2018,2018,999,Other/Miscellaneous,Commercial Banking,Bank of America NA,Newark,DE,19713    
02/08/2021,2021,104,Non-Fulfillment,Broadband Providers,Comcast,Fife,WA,98424    
03/28/2013,2013,206,Right To Cancel,Books/Magazines & Directory Publishers,Yellow US Pages,New York,NY,10007    
09/21/2017,2017,206,Right To Cancel,Security Systems (including locksmiths),Fluent Home LLC,Lehi,UT,84043    
02/28/2017,2017,303,Questionable Quality Product/Service,Auto Sales,Gilchrist Chevrolet Buick GMC,Tacoma,WA,98409    
08/18/2020,2020,999,Other/Miscellaneous,Government Agencies,United States Postal Service,Washington,DC,20260    
06/06/2020,2020,203,Internet & Mobile device based transaction,Electronic Shopping,,Brooklyn,NY,11226    
03/31/2021,2021,999,Other/Miscellaneous,Retail Sales,,Seattle,WA,98104    
05/03/2013,2013,206,Right To Cancel,Security Systems (including locksmiths),Cencom Inc,Kirkland,WA,98033    
12/06/2017,2017,316,Billing Issues,Waste Management Services,,Portland,OR,97210    
