Academic Year,Level,TAP Level of Study,TAP Sector Group,Recipient Age Group,TAP Financial Status,TAP Recipient Dollars
2000,U,2 yr Undergrad,6-BUS. DEGREE,age 26 - 35,Financial_Dependent,420.0
2004,U,4 yr Undergrad,3-SUNY SO,age 36 - 50,Financial_Independent,250.0
2012,U,2 yr Undergrad,6-BUS. DEGREE,age 36 - 50,Financial_Independent,36329.04
2000,U,4 yr Undergrad,6-BUS. DEGREE,under age 22,Financial_Dependent,637.5
2004,U,4 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Dependent,8029.0
2008,U,2 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Dependent,6759.5
2007,G,Grad,3-SUNY SO,under age 22,Financial_Independent,75.0
2019,U,2 yr Undergrad,6-BUS. DEGREE,age 36 - 50,Financial_Independent,2182.52
2010,U,2 yr Undergrad,6-BUS. DEGREE,over age 50,Financial_Independent,4236.41
2003,U,4 yr Undergrad,3-SUNY SO,over age 50,Financial_Independent,1732.5
2016,U,2 yr Undergrad,7-BUS. NON-DEG,age 22 - 25,Financial_Dependent,3852.0
2011,U,2 yr Undergrad,2-CUNY CC,age 36 - 50,Financial_Independent,1000.0
2002,U,4 yr Undergrad,3-SUNY SO,under age 22,Financial_Independent,51887.5
2015,U,2 yr Undergrad,4-SUNY CC,age 36 - 50,Financial_Independent,14179.5
2001,U,2 yr Undergrad,2-CUNY CC,age 36 - 50,Financial_Independent,1757.0
2003,U,4 yr Undergrad,3-SUNY SO,under age 22,Financial_Dependent,7836.0
2014,U,4 yr Undergrad,6-BUS. DEGREE,age 26 - 35,Financial_Dependent,21104.15
2014,U,2 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,7561.5
2001,U,4 yr Undergrad,6-BUS. DEGREE,age 36 - 50,Financial_Independent,3317.32
2003,U,2 yr Undergrad,8-OTHER,age 36 - 50,Financial_Independent,1551.33
2014,U,4 yr Undergrad,1-CUNY SR,under age 22,Financial_Dependent,30791.68
2005,U,4 yr Undergrad,5-INDEPENDENT,age 22 - 25,Financial_Dependent,1403.0
2002,U,4 yr Undergrad,3-SUNY SO,age 36 - 50,Financial_Independent,2027.0
