OpenedDate,OpenedYear,PracticeCode,PracticeName,BusinessCategory,BusinessName,BusinessCity,BusinessState,BusinessZip
08/13/2013,2013,999,Other/Miscellaneous,Unclassified Establishments,,Rock Island,IL,61201    
03/17/2014,2014,316,Billing Issues,Telecommunications,Sprint Executive Services,Irving,TX,75016    
11/20/2015,2015,316,Billing Issues,Transit & ground passenger transportation,Seattle Town Car,Seattle,WA,98122    
06/20/2018,2018,203,Internet & Mobile device based transaction,"Admin. & support services (office admin., faciliti",Washington-information.org,,  ,         
09/21/2020,2020,999,Other/Miscellaneous,Electronic Shopping,Amazon.com,Seattle,WA,98108-1226
07/31/2020,2020,999,Other/Miscellaneous,Electronic Shopping,,Fairfield,NJ,07004    
10/06/2015,2015,316,Billing Issues,Collections,CCS Commercial / CCS Services,Newton,MA,02459    
11/15/2018,2018,999,Other/Miscellaneous,Restaurants and Bars,,Kent,WA,98032    
03/04/2020,2020,301,Failure To Deliver/Perform,Broadband Providers,Ziply Fiber fka Frontier Communications,Everett,WA,98201    
11/26/2013,2013,26,Advertising,Auto Sales,North City Motors,Lynnwood,WA,98087    
08/15/2016,2016,317,Charge Above Estimate,Contractors,,Burien,WA,98168    
05/08/2020,2020,26,Advertising,Telecommunications,AT&T Mobility,Dallas,TX,75202    
01/05/2021,2021,999,Other/Miscellaneous,Auto Sales,Rairdon Chrysler Dodge Jeep Ram of Monroe,Monroe,WA,98272    
08/26/2015,2015,316,Billing Issues,Collections,RPM / Receivables Performance Management,Lynnwood,WA,98036    
07/16/2014,2014,19,Inadequate Disclosure,Electronic Shopping,Amazon.com,Seattle,WA,98108-1226
05/19/2020,2020,999,Other/Miscellaneous,Travel,,Marysville,WA,98270    
04/06/2021,2021,203,Internet & Mobile device based transaction,"Promoters of performing arts, sports & similar eve",Brown Paper Tickets,Seattle,WA,98109    
01/07/2020,2020,998,Governement agency complaint,Government Agencies,Washington State Department of Retirement Systems,Olympia,WA,98504-8380
02/19/2019,2019,58,Telemarketing,Unclassified Establishments, Unknown,,  ,         
04/02/2021,2021,316,Billing Issues,Health Care,,Spokane Valley,WA,99216    
03/06/2014,2014,303,Questionable Quality Product/Service,Auto Repair,,,WA,         
11/27/2018,2018,316,Billing Issues,Insurance,The Hartford Financial Services Group Inc,Hartford,CT,06155    
10/17/2018,2018,316,Billing Issues,Health Care,Valley Medical Center,Renton,WA,98055    
07/12/2019,2019,316,Billing Issues,Health Care,CHI Franciscan Health Systems,Tacoma,WA,98402-3400
09/20/2013,2013,508,Unordered/Unsolicited Merchandise,Books/Magazines & Directory Publishers,Progressive Business Publications,Malvern,PA,19355    
03/05/2019,2019,999,Other/Miscellaneous,Unclassified Establishments, Unknown,,  ,         
07/15/2019,2019,204,Unsolicited E-mail,Spam, Unknown,,  ,         
07/13/2020,2020,22,Failure To Adjust/Refund,Insurance,Safeco Insurance,Seattle,WA,98187    
07/02/2020,2020,203,Internet & Mobile device based transaction,Photographic Services,,Brentwood,TN,37027    
04/23/2021,2021,303,Questionable Quality Product/Service,Software Publishers,Microsoft Corporation,Redmond,WA,98052    
09/03/2015,2015,316,Billing Issues,Health Care,,Lacey,WA,98500    
05/18/2015,2015,320,Unsatisfactory Repair/Service,Travel,Expedia,Bellevue,WA,98004    
04/19/2017,2017,26,Advertising,Auto Sales,,Olympia,WA,98502    
12/09/2016,2016,448,Student Loan Issue,Educational Services,US Department of Education,Washington,DC,20202    
04/25/2020,2020,61,Phishing,Unclassified Establishments, Unknown,,  ,         
05/29/2020,2020,415,Unemployment Fraud,Government Agencies,Washington State Employment Security Department,Olympia,WA,98507    
08/17/2016,2016,203,Internet & Mobile device based transaction,Broadband Providers,Ziply Fiber fka Frontier Communications,Everett,WA,98201    
03/19/2015,2015,59,Automatic Dialing,Phishing, Unknown,,  ,         
05/16/2020,2020,415,Unemployment Fraud,Electronic Shopping,Amazon.com,Seattle,WA,98108-1226
07/30/2018,2018,203,Internet & Mobile device based transaction,Electronic Shopping,Amazon.com,Seattle,WA,98108-1226
03/21/2019,2019,999,Other/Miscellaneous,Auto Sales,Park Place LTD,Bellevue,WA,98005    
04/06/2017,2017,26,Advertising,Electronic Shopping,Door Dash,Seattle,WA,98121    
10/07/2014,2014,203,Internet & Mobile device based transaction,Educational Services,"Internet Order, LLC dba Stroll dba Pimsleur Approach",Philadelphia,PA,19103-2803
02/12/2020,2020,303,Questionable Quality Product/Service,Telecommunications,AT&T Mobility,Dallas,TX,75202    
12/31/2020,2020,642,Landlord/Tenant - Residential,Travel,,Bremerton,WA,98312    
10/20/2020,2020,999,Other/Miscellaneous,Auto Repair,The Wrench,Silverdale,WA,98383    
11/17/2020,2020,999,Other/Miscellaneous,Legal Services,Beacon Immigration,Kennewick,WA,99336    
09/24/2015,2015,320,Unsatisfactory Repair/Service,Water Transportation,Washington State Department of Transportation,Olympia,WA,98504-7300
10/29/2013,2013,518,Unregistered or Unlicensed Business,Contractors,,Everett,WA,98203    
10/20/2015,2015,316,Billing Issues,"Automotive Rental & Leasing (includes cars, trucks",Dollar Rent A Car,Tulsa,OK,74153-1167
05/12/2020,2020,13,Misrepresentation of product or service,Contractors,,Mount Vernon,WA,98273    
09/26/2017,2017,999,Other/Miscellaneous,Health Care,,Bothell,WA,98021    
02/18/2015,2015,442,Short Sale,Electronic Shopping,TickPick,New York,NY,10018    
03/23/2015,2015,100,Misrepresentation of Terms,Auto Sales,Rainier Dodge,Olympia,WA,98502-1101
09/15/2017,2017,999,Other/Miscellaneous,Credit Reporting & Related Activities,,Atlanta,GA,30348    
02/09/2021,2021,316,Billing Issues,Health Care,,North Salt Lake,UT,84054    
06/12/2017,2017,999,Other/Miscellaneous,Health Care,Swedish Hospital Medical Center,Seattle,WA,98122-4307
08/12/2013,2013,16,Identity Theft,Commercial Banking,,Nashville,TN,37229-1286
08/30/2016,2016,22,Failure To Adjust/Refund,Broadband Providers,Godaddy.com,Scottsdale,AZ,85260    
02/08/2016,2016,100,Misrepresentation of Terms,Consumer Lending & Transfer Agents,Progressive Leasing,Draper,UT,84020    
06/10/2013,2013,19,Inadequate Disclosure,Charities,Christian Prayer Center AKA Velorum Inc,Seattle,WA,98115    
07/03/2014,2014,320,Unsatisfactory Repair/Service,Contractors,,Post Falls,ID,83854    
03/08/2019,2019,17,Imposter scam,Advance Fee Fraud,,"Port Louis, Mauritius",  ,         
03/08/2016,2016,301,Failure To Deliver/Perform,Unclassified Establishments,,Seattle,WA,98125    
11/18/2014,2014,447,Property Preservation,Mortgage Lending,Ocwen Loan Servicing LLC / Ocwen Financial Corporation,Orlando,FL,32878-5061
